web-scraper-order,web-scraper-start-url,brand,name,price
"1635597136-86","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","Electrolux","Electrolux 30'' Over-the-Range Convection Microwave Oven","$488.10"
"1635597136-90","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","LG","LG Countertop Microwave with TrueCookPlus","$139.00"
"1635597136-83","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE(R) 1.9 Cu Ft Over-the-Range Sensor Microwave Oven","$472.58"
"1635597136-101","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","BOSCH","Bosch 30"" Slide-in Dual-Fuel Range with 5 Sealed Burners Stainless Steel","$2,171.01"
"1635597136-99","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE(R) 1.7 Cub Ft Over the Range Sensor Microwave Oven","$338.72"
"1635597136-97","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","WHIRLPOOL","R) 1.7 cu. ft. Microwave Hood Combination with 2-Speed Fan - White","$215.84"
"1635597136-89","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE(R) 24inc Standard Clean Free-Standing Gas Range","$771.00"
"1635597136-88","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE(R) 1.6 Cub Ft Over-the-Range Microwave Oven","$299.00"
"1635597136-96","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE(R) 1.5 Cub Ft. Over-the-Range Microwave Oven","$342.82"
"1635597136-78","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","BOSCH","30"" Over-the-Range Microwave 300 Series - Black","$359.10"
"1635597136-100","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE(R) 1.6 Cu. Ft. Over-the-Range Microwave Oven","$205.00"
"1635597136-79","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","WHIRLPOOL","1.7 cu. ft. Microwave Hood Combination with 1,000-Watts Cooking Power","$289.00"
"1635597136-82","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE(R) 2.0 Cub Ft. Capacity Countertop Microwave Oven","$244.00"
"1635597136-80","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","WHIRLPOOL","Whirlpool(R) 1.6 cu. ft. Countertop Microwave with 1200 Watts","$189.00"
"1635597136-91","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","SHARP","Sharp R930AK - 1.5 Cu. Ft. Countertop Microwave Oven - Black","$409.00"
"1635597136-87","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE(R) 1.9 Cub Ft Over-the-Range Sensor Microwave Oven with","$456.92"
"1635597136-92","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE(R) 1.9 Cub Ft Over-the Range Sensor Microwave Oven with","$456.92"
"1635597136-85","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","WHIRLPOOL","Whirlpool(R) 1.6 cu. ft. Countertop Microwave with 1,200 Watts","$180.00"
"1635597136-93","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","FRIGIDAIRE","Frigidaire Affinity Series FAQE7001LW -  7.0 Cu. Ft. Electric  White","$599.00"
"1635597136-81","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","FRIGIDAIRE","Frigidaire 1.6 Cu. Ft. Built-in Microwave","$221.98"
"1635597136-84","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","LG","LG 1.8 cu.ft. Over-the-Range Microwave Oven","$239.00"
"1635597136-98","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE Profile(TM) Series 1.9 Cub Ft Over-the-Range Sensor Microwave Oven","$389.00"
"1635597136-94","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","General Electric","GE(R) 1.7 Cub Ft Over-the-Range Sensor Microwave Oven","$287.64"
"1635597136-95","https://www.abesofmaine.com/Store/Large_Appliances/Ranges/","FRIGIDAIRE","Frigidaire Gallery 1.7 Cu. Ft. Over-The-Range Microwave","$317.10"
