web-scraper-order,web-scraper-start-url,brand,name,price
"1635475039-205","https://www.abesofmaine.com/Store/Photography/Flashes/","KIT-COMBO-BUNDLE","Canon Speedlite 600EX-RT Flash , Pouch, Bracket, Pro Kit","$499.00"
"1635475039-209","https://www.abesofmaine.com/Store/Photography/Flashes/","VIDPRO","Z-96K Professional Photo & Video LED Light Kit","$169.00"
"1635475039-202","https://www.abesofmaine.com/Store/Photography/Flashes/","SIGMA","Sigma EF-610 DG SUPER Electronic Flash for Nikon Digital SLR Cameras","$279.00"
"1635475039-199","https://www.abesofmaine.com/Store/Photography/Flashes/","VIVITAR","DF-283-PANA Bounce Zoom Swivel DSLR AF Flash for Panasonic","$109.95"
"1635475039-212","https://www.abesofmaine.com/Store/Photography/Flashes/","BOWER","SFD926S Digital Autofocus TTL Power Zoom Shoe Mount Flash for Sony SLR","$299.00"
"1635475039-210","https://www.abesofmaine.com/Store/Photography/Flashes/","SIGMA","Sigma EF 610 DG Super Flash for Canon","$229.00"
"1635475039-208","https://www.abesofmaine.com/Store/Photography/Flashes/","Canon","Canon 430EX II Speedlite Flash","$239.00"
"1635475039-207","https://www.abesofmaine.com/Store/Photography/Flashes/","Canon","Canon Speedlite 270EX II Flash-","$135.00"
"1635475039-197","https://www.abesofmaine.com/Store/Photography/Flashes/","Canon","Canon Speedlite 430EX III-RT Flash","$229.00"
"1635475039-196","https://www.abesofmaine.com/Store/Photography/Flashes/","NIKON","Nikon SB-5000 AF Speedlight","$449.00"
"1635475039-201","https://www.abesofmaine.com/Store/Photography/Flashes/","Canon","Canon Speedlite 470EX-AI","$279.00"
"1635475039-203","https://www.abesofmaine.com/Store/Photography/Flashes/","","Speedlite Di 622 Mark II Flash System for Nikon - Black","$229.00"
"1635475039-216","https://www.abesofmaine.com/Store/Photography/Flashes/","SIGMA","Sigma EF-630 Electronic Flash for Nikon Cameras","$395.00"
"1635475039-213","https://www.abesofmaine.com/Store/Photography/Flashes/","BOWER","SFD926C Digital Autofocus TTL Power Zoom Shoe Mount Flash for Canon SLR","$299.00"
"1635475039-214","https://www.abesofmaine.com/Store/Photography/Flashes/","VIDPRO","K-120 LED Video Light","$109.00"
"1635475039-206","https://www.abesofmaine.com/Store/Photography/Flashes/","BOWER","Fully Dedicated i-TTL Digital Macro Ring Flash for Nikon Cameras","$149.95"
"1635475039-211","https://www.abesofmaine.com/Store/Photography/Flashes/","NIKON","Nikon SB-910 AF Speedlight","$599.00"
"1635475039-200","https://www.abesofmaine.com/Store/Photography/Flashes/","Canon","Canon Speedlite 600EX II-RT","$429.00"
"1635475039-198","https://www.abesofmaine.com/Store/Photography/Flashes/","BOWER","Bower SFD5400 Digital Autofocus DSLR Flash","$399.00"
"1635475039-215","https://www.abesofmaine.com/Store/Photography/Flashes/","","Professional Bounce, Zoom, Swivel, TTL Flash for Nikon with Backlit LCD Screen","$399.00"
"1635475039-195","https://www.abesofmaine.com/Store/Photography/Flashes/","NIKON","Nikon SB-700 Speedlight Flash","$269.00"
"1635475039-204","https://www.abesofmaine.com/Store/Photography/Flashes/","SIGMA","EF 610 DG ST Flash For Canon","$164.95"
