web-scraper-order,web-scraper-start-url,brand,name,price
"1635476165-286","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Sony","Sony FE 28-60mm f/4-5.6 Lens","$239.00"
"1635476163-248","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","FUJIFILM","FUJIFILM XF 8-16mm f/2.8 R LM WR Lens","$1,478.00"
"1635476163-241","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","Panasonic","Panasonic Lumix S PRO 50mm f/1.4 Lens","$2,297.99"
"1635476163-251","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","FUJIFILM","FUJIFILM XF 35mm f/2 R WR Lens (Black)","$399.00"
"1635476165-279","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","NIKON","Nikon NIKKOR Z 20mm f/1.8 S Lens","$879.00"
"1635476163-264","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","AA","52mm Multi Coated UV Filter","$79.99"
"1635476163-252","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","FUJIFILM","FUJIFILM XF 10-24mm f/4 R OIS WR Lens","$879.00"
"1635476165-285","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Sony","Sony ZV-1 Digital Camera (White)","$659.00"
"1635476163-259","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","CRYSTAL OPTICS","43 mm 3 Piece Filter Kit","$99.95"
"1635476165-270","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","AA","52mm Wide Angle Rubber Lens Hood","$19.99"
"1635476163-265","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","","G1X Adapter for 58mm Lenses","$29.95"
"1635476165-275","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Canon","Canon RF 800mm f/11 IS STM Lens","$799.00"
"1635476165-283","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","NIKON","Nikon NIKKOR Z 35mm f/1.8 S Lens","$679.00"
"1635476163-243","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","Panasonic","Panasonic Lumix DMC-G7 Mirrorless Micro Four Thirds Digital Camera with 14-42mm and 45-150mm Lenses (Black)","$597.99"
"1635476165-287","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Sony","Sony FE 20mm f/1.8 G Lens","$848.00"
"1635476165-282","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","NIKON","Nikon NIKKOR Z 50mm f/1.8 S Lens","$499.00"
"1635476165-278","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","NIKON","Nikon NIKKOR Z 24-50mm f/4-6.3 Lens","$269.00"
"1635476163-250","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","FUJIFILM","FUJIFILM XF 50mm f/2 R WR Lens (Black)","$449.00"
"1635476165-266","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Canon","Canon Mount Adapter EF-EOS R","$299.00"
"1635476165-284","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Sony","Sony ZV-1 Digital Camera (Black)","$689.00"
"1635476163-242","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","Panasonic","Panasonic Lumix DC-G100 Mirrorless Digital Camera with 12-32mm Lens","$747.99"
"1635476163-261","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","MERKURY INNOVATIONS","3-Piece High Resolution Filter Set (UV, F-DL, PL) w/ Carrying Case","$299.00"
"1635476165-269","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","BOWER","Lens Cap Holder","$5.95"
"1635476163-254","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","AA","72mm Wide Angle Rubber Lens Hood","$19.99"
"1635476163-245","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","FUJIFILM","FUJIFILM XF 16mm f/2.8 R WR Lens (Black)","$399.00"
"1635476163-249","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","FUJIFILM","FUJIFILM XF 80mm f/2.8 R LM OIS WR Macro Lens","$989.00"
"1635476165-289","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Sony","Sony FE 400mm f/2.8 GM OSS Lens","$11,799.00"
"1635476165-281","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","NIKON","Nikon NIKKOR Z 70-200mm f/2.8 VR S Lens","$2,019.00"
"1635476165-273","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Panasonic","Panasonic Leica DG Vario-Elmarit 50-200mm f/2.8-4 ASPH. POWER O.I.S. Lens","$1,349.00"
"1635476163-247","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","FUJIFILM","FUJIFILM XF 200mm f/2 R LM OIS WR Lens with XF 1.4x TC F2 WR Teleconverter Kit","$5,999.00"
"1635476165-294","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Panasonic","Panasonic Leica DG Summilux 25mm f/1.4 II ASPH. Lens","$697.99"
"1635476165-271","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Canon","Canon Mount Adapter EF-EOS M without Tripod Mount","$144.00"
"1635476163-253","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","FUJIFILM","FUJIFILM XF 50mm f/1.0 R WR Lens","$1,499.00"
"1635476163-263","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","AA","77mm Multi Coated UV Filter","$149.99"
"1635476165-272","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Panasonic","Panasonic Leica DG Macro-Elmarit 45mm f/2.8 ASPH. MEGA O.I.S. Lens","$797.99"
"1635476163-240","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","Panasonic","Panasonic Lumix S PRO 70-200mm f/4 O.I.S. Lens","$1,697.99"
"1635476165-288","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Sony","Sony FE 600mm f/4 GM OSS Lens","$12,998.00"
"1635476163-260","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","MERKURY INNOVATIONS","30.5mm UV Filter","$16.95"
"1635476165-293","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Panasonic","Panasonic Lumix S PRO 70-200mm f/2.8 O.I.S. Lens","$2,597.99"
"1635476165-290","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Sony","Sony FE 70-300mm f/4.5-5.6 G OSS Lens","$1,079.00"
"1635476165-276","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","NIKON","Nikon NIKKOR Z 14-24mm f/2.8 S Lens","$1,948.00"
"1635476165-295","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Panasonic","Panasonic Leica DG Vario-Summilux 10-25mm f/1.7 ASPH. Lens","$1,447.99"
"1635476163-258","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","BOWER","Bower 95mm Digital 3pc HD Filter Kit","$299.00"
"1635476163-257","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","AA","95MM Multi Coated UV Filter","$149.99"
"1635476165-280","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","NIKON","Nikon NIKKOR Z 24-200mm f/4-6.3 VR Lens","$819.00"
"1635476165-277","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","NIKON","Nikon NIKKOR Z 50mm f/1.2 S Lens","$1,949.00"
"1635476163-244","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","Panasonic","Panasonic Lumix DC-G95 Mirrorless Digital Camera with 12-60mm Lens","$997.99"
"1635476165-267","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","","Lens Cap Keeper","$24.95"
"1635476163-246","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","FUJIFILM","FUJIFILM XF 16mm f/2.8 R WR Lens (Silver)","$399.00"
"1635476163-256","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","AA","67mm Multi Coated UV Filter","$59.99"
"1635476165-268","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","","Large Padded Protective Lens Pouch","$38.95"
"1635476163-262","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","BOWER","0.16X 58mm dHD FishEye Lens W/ Adapters","$149.95"
"1635476165-274","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Panasonic","Panasonic Leica DG Vario-Elmarit 8-18mm f/2.8-4 ASPH. Lens","$849.00"
"1635476163-255","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=2","AA","77mm Wide Angle Rubber Lens Hood","$19.99"
"1635476165-292","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Panasonic","Panasonic Lumix S PRO 16-35mm f/4 Lens","$1,497.99"
"1635476165-291","https://www.abesofmaine.com/Store/Photography/Lens_Accessories/?Page=1","Panasonic","Panasonic Lumix S 20-60mm f/3.5-5.6 Lens","$597.99"
