web-scraper-order,web-scraper-start-url,brand,name,price
"1635475441-235","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","0.45X Crystal Wide Angle Lens with Macro","$149.95"
"1635475441-226","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","58mm 6 Piece Color Graduated Filter Kit - Glass with Case","$199.99"
"1635475441-234","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","Professional Crystal 2.0X Telephoto Lens","$149.95"
"1635475441-224","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","62mm 4 Piece Multi-coated Glass Close Up Macro Filter Set (+1 +2 +4 +10)","$99.00"
"1635475441-221","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","67mm 4 Piece Macro Filter Kit (+1+2+4+10) Glass","$299.00"
"1635475441-217","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","58mm Glass Telephoto Lens Doubler","$289.95"
"1635475441-230","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","Professional Crystal 4 Piece Macro Filter Kit (+1+2+4+10)","$119.95"
"1635475441-232","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","KIT-COMBO-BUNDLE","72mm 4 Piece Multi-coated Glass Close Up Macro Filter Set (+1 +2 +4 +10)","$189.00"
"1635475441-223","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","67mm 0.43X Glass Wide Angle Lens with Macro","$89.95"
"1635475441-237","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","Generic","72mm Crystal HD Wide Angle Converter Lens","$149.95"
"1635475441-222","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","67mm 2.0X Glass Telephoto Lens","$299.00"
"1635475441-225","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","6 Piece Pro Color Graduated Filter Kit - Crystal with Case","$179.95"
"1635475441-236","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","Generic","72mm Crystal HD Telephoto Converter Lens","$149.95"
"1635475441-229","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","2.0X HD Crystal Doubler Teleconverter Lens","$89.95"
"1635475441-231","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","Professional Crystal 4 Piece Macro Filter Kit (+1+2+4+10)","$119.00"
"1635475441-218","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","58mm Wide Angle Lens Macro with Lens Bag","$279.95"
"1635475441-233","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","4 Piece Close-Up Macro Filter Kit (+1+2+4+10) Glass","$199.99"
"1635475441-228","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","0.5X HD Crystal Wide Angle Lens","$89.95"
"1635475441-227","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","2.0X HD Crystal Doubler Teleconverter Lens","$99.99"
"1635475441-220","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","77mm 4 Piece Close Up Macro Filter Set (+1 +2 +4 +10)","$149.95"
"1635475441-219","https://www.abesofmaine.com/Store/Photography/Optical_Converters/","","58MM Professional Macro Filter Kit, 4 Piece Close Up Kit","$149.95"
