web-scraper-order,web-scraper-start-url,brand,name,price
"1635399770-1293","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","Sony","Sony Alpha a6300 ILCE-6300 24.2 MP Mirrorless 4K Black Body Only","$696.00"
"1635399767-1264","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=7","Canon","Canon EOS 80D Digital SLR Camera + 18-200mm f/3.5-5.6 IS Lens","$1,096.00"
"1635399785-1450","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=1","FUJIFILM","FUJIFILM X-T30 Mirrorless Digital Camera (Body Only, Black)","$699.00"
"1635399773-1326","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","Canon","Canon EOS Rebel T6i DSLR with EF-S 18-135mm f/3.5-5.6 IS STM Lens","$709.00"
"1635399767-1252","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=7","Olympus","Olympus OM-D E-M10 Mark II Mirrorless Micro Four Thirds Digital Camera with 14-42mm II R Lens (Black)","$599.00"
"1635399779-1382","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","Canon","Canon EOS Rebel T8i DSLR Camera with 18-55mm Lens","$899.00"
"1635399776-1342","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=4","NIKON","D90 D-SLR Camera with 18-105mm DX VR Lens","$999.00"
"1635399776-1348","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=4","Canon","Canon EOS 70D DSLR Camera with 18-135mm f/3.5-5.6 STM Lens","$1,015.00"
"1635399782-1419","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=2","Canon","Canon EOS M5 Mirrorless Digital Camera with 18-150mm Lens","$919.00"
"1635399779-1361","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","Panasonic","Panasonic Lumix DC-GH5S Mirrorless Micro Four Thirds Digital Camera","$1,569.00"
"1635399770-1296","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","Sony","Sony Alpha a7S II Mirrorless Digital Camera (Body Only)","$1,899.00"
"1635399782-1396","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=2","Canon","Canon EOS 7D Mark II DSLR 18-135mm IS STM Lens - Black","$1,499.00"
"1635399776-1356","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=4","NIKON","Nikon D5500 DSLR Camera (Body Only, Black)","$509.00"
"1635399779-1372","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","FUJIFILM","Fujifilm X-T100 Mirrorless Digital Camera (Body Only, Dark Silver)","$599.00"
"1635399770-1291","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","Panasonic","Panasonic Lumix G DMC-GX8K 20.3 MP Mirrorless 4K - Black - Body Only","$695.00"
"1635399765-1234","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=8","FUJIFILM","Fujifilm X-T20 Mirrorless Digital Camera (Body Only, Black)","$569.00"
"1635399782-1412","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=2","Canon","Canon EOS Rebel T6i DSLR Camera (Body)","$489.00"
"1635399779-1365","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","Sony","Sony Alpha a6500 Mirrorless with 16-50mm Lens","$1,089.00"
"1635399779-1387","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","Canon","Canon EOS R5 Mirrorless Digital Camera (Body Only)","$3,549.00"
"1635399767-1247","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=7","Olympus","Olympus OM-D E-M5 Mark II Mirrorless Micro Four Thirds Digital Camera with 12-40mm f/2.8 Lens Kit (Silver)","$1,698.00"
"1635399782-1399","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=2","Panasonic","Panasonic Lumix G DC-GH5 Mirrorless Ultra HD Digital 4K Body Only","$1,159.00"
"1635399776-1337","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=4","Canon","Canon EOS Rebel T8i DSLR Camera (Body Only)","$739.00"
"1635399782-1392","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=2","Canon","Canon EOS Rebel T6 Digital SLR Camera (Body Only)","$349.00"
"1635399773-1324","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","Olympus","OM-D E-M10 Mirrorless Micro Four Thirds Digital Camera (Body Only, Black)","$689.00"
"1635399785-1430","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=1","Sony","Sony Alpha a7 III Mirrorless Digital Camera (Body Only)","$1,639.00"
"1635399770-1284","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","Sony","Sony a77 II DSLR Camera with 16-50mm Lens - Black","$1,425.00"
"1635399782-1410","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=2","Panasonic","Panasonic Lumix DMC-FZ1000 4K QFHD/HD 16X Long Zoom Digital Camera - Black","$489.00"
"1635399770-1295","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","Canon","Canon PowerShot SX610 HS 20.2 MP Compact Digital Camera - Black","$209.00"
"1635399785-1442","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=1","Canon","Canon EOS M50 Mirrorless Camera Body w/4K Video (Black)","$499.00"
"1635399776-1343","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=4","NIKON","D3100 D-SLR Camera With 18-55mm f/3.5-5.6 VR & 55-300mm F/ 4.5-5.6G Nikkor DX VR Lenses","$726.95"
"1635399773-1330","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","NIKON","1 J5 Mirrorless Digital Camera with 10-30mm Lens (White)","$495.00"
"1635399776-1347","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=4","KIT-COMBO-BUNDLE","Canon EOS Rebel 70D DSLR Camera with EF-S 18-200mm f/3.5-5.6 IS Bundle","$1,259.00"
"1635399773-1315","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","NIKON","Nikon D3300 DSLR Camera with 18-55mm Lens Black","$369.00"
"1635399767-1261","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=7","Panasonic","Panasonic Lumix DMC-ZS100 20.0 MP Compact Digital Camera - Silver","$629.00"
"1635399773-1303","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","NIKON","D3200 Digital SLR Camera Body - Red","$259.00"
"1635399782-1394","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=2","NIKON","Nikon D780 DSLR Camera (Body Only)","$1,609.00"
"1635399776-1358","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=4","Olympus","Olympus OM-D E-M1 Mirrorless Micro Four Thirds Digital Camera","$645.00"
"1635399765-1230","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=8","Sony","Sony Alpha A99 II DSLR Camera (Body Only)","$2,996.00"
"1635399779-1366","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","Canon","Canon EOS Rebel SL2/200D Digital SLR Camera Body -WiFi","$475.00"
"1635399773-1312","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","NIKON","Nikon D3200 Digital SLR Camera with 18-55mm NIKKOR VR Lens Black","$375.00"
"1635399782-1406","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=2","Canon","Canon EOS 70D Digital SLR Camera Body Black","$749.00"
"1635399770-1285","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","NIKON","Nikon D5500 DSLR Camera with 18-140mm Lens (Red)","$849.00"
"1635399779-1384","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","NIKON","Nikon COOLPIX P950 Digital Camera","$749.00"
"1635399767-1266","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=7","Panasonic","Panasonic Lumix DMC-TZ110 Digital Camera Black","$679.00"
"1635399773-1327","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","Canon","Canon EOS Rebel T6s DSLR Camera with EF-S 18-135mm f/3.5-5.6 IS STM","$829.00"
"1635399773-1304","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","PENTAX","645Z Medium Format DSLR Camera (Body Only)","$7,999.00"
"1635399779-1377","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","Canon","Canon EOS Rebel T6 DSLR Camera with 18-55mm and 75-300mm Lenses Kit","$409.00"
"1635399767-1251","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=7","Olympus","Olympus OM-D E-M10 Mark II Mirrorless Micro With Zuiko Digital ED 12-40mm f/2.8 PRO Lens (Black)","$1,549.99"
"1635399767-1257","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=7","Canon","Canon G5 X Digital Camera","$629.00"
"1635399767-1255","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=7","Olympus","Olympus PEN-F Mirrorless Micro Four Thirds Digital Camera (Body Only, Silver)","$1,099.00"
"1635399767-1267","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=7","Panasonic","Panasonic Lumix DMC TZ80 Digital Camera Silver","$499.00"
"1635399779-1388","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","NIKON","Nikon Z6 II Mirrorless Digital Camera (Body Only)","$1,759.00"
"1635399779-1389","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","NIKON","Nikon Z 6II Mirrorless Digital Camera with 24-70mm f/4 Lens","$2,296.00"
"1635399770-1289","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","Sony","Alpha a99 DSLR Camera (Body Only)","$2,199.00"
"1635399773-1316","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","NIKON","Nikon D5300 DSLR Camera18-55mm VR Lens - Black","$469.00"
"1635399776-1354","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=4","Canon","Canon 5D Mark III Digital SLR Camera Body","$1,896.00"
"1635399776-1333","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=4","Canon","Canon EOS 2000D (Rebel T7) DSLR Camera with 18-55mm f/3.5-5.6 Zoom Lens","$439.00"
"1635399779-1373","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","FUJIFILM","Fujifilm X-T100 Mirrorless Digital Camera with 15-45mm Lens (Black)","$699.00"
"1635399773-1301","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","Olympus","OM-D E-M1 Mirrorless Micro Four Thirds Digital Camera (Silver, Body Only)","$995.00"
"1635399779-1371","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","FUJIFILM","Fujifilm X-T100 Mirrorless Digital Camera (Body Only, Black)","$599.00"
"1635399779-1364","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","FUJIFILM","Fujifilm X-E3 Mirrorless Digital Camera (Body Only) - Silver","$775.00"
"1635399773-1308","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=5","Sony","Sony Alpha a7II Mirrorless with FE 28-70mm f/3.5-5.6 OSS Lens","$1,099.00"
"1635399782-1393","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=2","Canon","Canon EOS 90D DSLR Camera with 18-135mm Lens","$1,398.00"
"1635399779-1367","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=3","FUJIFILM","Fujifilm X-T20 Mirrorless Digital Camera with 16-50mm Lens (Silver)","$779.00"
"1635399785-1433","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=1","Canon","Canon EOS Rebel T7i DSLR Camera (Body Only)","$729.00"
"1635399770-1297","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","KIT-COMBO-BUNDLE","Canon EOS 5DS R 24-70mm f/2.8 70-300mm 128GB CF Pro Combo","$4,549.00"
"1635399770-1277","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","FUJIFILM","X-E2 Mirrorless Digital Camera (Black, Body Only)","$549.00"
"1635399770-1274","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","NIKON","1 J5 Mirrorless Digital Camera with 10-30mm Lens (Silver)","$495.00"
"1635399785-1444","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=1","Canon","Canon EOS R Mirrorless Digital Camera with 24-105mm Lens","$2,396.00"
"1635399770-1279","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=6","FUJIFILM","X-T1 Mirrorless Digital Camera with 18-135mm Lens (Black)","$1,679.00"
"1635399765-1238","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=8","Canon","Canon EOS Rebel SL2 DSLR Camera with EF-S 18-55mm STM Lens - WiFi Enabled","$679.00"
"1635399782-1404","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=2","Canon","Canon G9 X Digital Camera Silver","$389.00"
"1635399767-1256","https://www.abesofmaine.com/Store/Photography/SLR_Cameras/?Page=7","Panasonic","Panasonic DMC-GH4 Mirrorless with Lumix G Vario 14-140mm Lens","$1,169.00"
