web-scraper-order,web-scraper-start-url,brand,name,price
"1635482697-367","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=1","Panasonic","Panasonic HC-X1 4K Ultra HD Professional Camcorder (Black)","$2,849.00"
"1635482697-353","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=1","Panasonic","Panasonic HC-X2000 UHD 4K 3G-SDI/HDMI Pro Camcorder with 24x Zoom + AOM Starter Bundle (International Version)","$2,299.00"
"1635482697-346","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=1","Panasonic","Panasonic AGDVX200PJ Ultra HD Camcorder - 4K","$2,796.00"
"1635482694-324","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=2","Sony","NEX-FS100U Super 35mm Sensor Camcorder (Body Only)","$2,699.00"
"1635482697-361","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=1","Panasonic","Panasonic AG-UX90PJ 4K Professional Camcorder","$1,449.00"
"1635482694-329","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=2","Canon","Canon XA10 HD Professional Camcorder with 64GB Internal","$1,225.00"
"1635482697-351","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=1","Panasonic","Panasonic HC-X1000 4K DCI Ultra HD Full HD Camcorder with 64GB SDXC 5900 mAh Battery, Jumbo Case, Charger, Polarizing Filter (CPL) Fluorescent Daylight Filter (FL-D) + Extras","$1,896.00"
"1635482697-355","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=1","Canon","Canon Vixia HF G40 3.09 MP Camcorder - 1080p","$939.00"
"1635482694-327","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=2","JVC","GY-HM600 ProHD Camera","$3,199.00"
"1635482697-357","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=1","Canon","Canon EOS C300 Mark II 9.84 MP Ultra HD Camcorder - 4K - Body Only","$9,799.00"
"1635482697-360","https://www.abesofmaine.com/Store/Video/Camcorders/?Page=1","Sony","Sony PXW-FS5 XDCAM Super 35 Camera System","$4,349.00"
