web-scraper-order,web-scraper-start-url,brand,name,price
"1635556819-19","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SG250-08-K9-NA 8-Port Gigabit Smart Switch","$89.99"
"1635556824-37","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG200-26 Gigabit Ethernet Smart Switch with 24 10/100/1000 Ports and 2 Combo Mini-GBIC Ports (SLM2024T-NA)","$249.00"
"1635556819-10","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","CISCO SYSTEMS Sg350 10-Port Gigabit Managed Switch (SG35010K9NA)","$199.00"
"1635556819-16","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SG350X-24MP Layer 3 Switch","$1,199.00"
"1635556824-52","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","CISCO SYSTEMS 24 Port Ethernet Switch (SF11024NA)","$49.00"
"1635556819-22","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco Small Business SG350X-48P-K9 Switch","$999.00"
"1635556824-57","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG220-26-K9 26-Port Gigabit Smart Plus Switch","$159.00"
"1635556819-18","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SG250-08HP 8-Port Gigabit PoE Smart Switch","$149.00"
"1635556819-25","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SG350X-48MP 48-Port Gigabit PoE Stackable Managed Switch","$1,399.00"
"1635556824-47","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SF200-48 SLM248GT-NA 48 10/100 Port 2 Combo Mini-GBIC Smart Switch","$185.00"
"1635556824-42","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG200-08P 8 port Gigabit PoE Smart Switch SLM2008PT-NA","$139.00"
"1635556819-15","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SG550X-24-K9-NA Systems 24 Port Stackable Switch","$749.00"
"1635556819-14","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SG350-52MP 52-Port Gigabit Max-PoE Managed Switch","$1,399.00"
"1635556824-36","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","CISCO SYSTEMS 24-Port Gigabit Switch (SG11224NA)","$129.00"
"1635556824-45","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","CISCO SYSTEMS 16-Port PoE Gigabit Switch (SG11016HPNA)","$179.00"
"1635556824-60","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco (SG300-52P-K9-NA) 52-Port Gigabit PoE Managed Switch","$729.00"
"1635556824-34","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG500X-24-K9 Smb Sg500X-24-L3 24X10/1 Stackable Managed Switch","$799.00"
"1635556819-12","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SG350 X 24 Port Stackable Swtch","$499.00"
"1635556819-21","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco Small Business SG300-28 Switch - SRW2024-K9","$499.00"
"1635556819-28","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","CISCO RV340 VPN Router with 4 Gigabit Ethernet (GbE) Ports plus Dual WAN, Limited Lifetime Protection (RV340-K9-NA),Black","$189.00"
"1635556824-38","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SG300-10 10-port Gigabit Managed Switch (SRW2008-K9-NA)","$199.00"
"1635556819-11","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","CISCO SYSTEMS 15-Button Attendant Console (SPA500DS)","$99.00"
"1635556819-26","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SF350-48P 48 Port 10/100 Managed Switch (SF350-48P-K9-NA)","$699.00"
"1635556819-23","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=2","CISCO","Cisco SPA500S Expansion Module","$49.00"
"1635556824-59","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SF 302-08 (SRW208G-K9-NA) 8-Port 10/100 Managed Switch with Gigabit Uplinks","$101.95"
"1635556824-41","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","CISCO SYSTEMS SG500X-48P-K9-NA 48 Port Gigabit PoE","$1,679.00"
"1635556824-58","https://www.abesofmaine.com/Store/Computers/Networking/Switches_Networking/?Page=1","CISCO","Cisco SF500-24P-K9-NA 24 Port Fast Ethernet PoE+","$345.00"
