web-scraper-order,web-scraper-start-url,name
"1633590755-41","https://boostedusa.com/collections/accessories","Boosted Motor Driver Screws / Wings"
"1633590755-14","https://boostedusa.com/collections/accessories","Boosted Skate Tool"
"1633590755-20","https://boostedusa.com/collections/accessories","Loaded Caguama 85's Complete Purple"
"1633590755-16","https://boostedusa.com/collections/accessories","Boa Constrictor Wheels 100mm 76a"
"1633590755-15","https://boostedusa.com/collections/accessories","CaliRides 105's"
"1633590755-57","https://boostedusa.com/collections/accessories","Boosted Rev Brake Lever"
"1633590755-21","https://boostedusa.com/collections/accessories","Boosted Lunar Wheels - 80mm - Orange"
"1633590755-69","https://boostedusa.com/collections/accessories","Boosted Rev Frame"
"1633590755-49","https://boostedusa.com/collections/accessories","Magura MT-5 Disc Brake Upgrade Kit for Boosted Rev"
"1633590755-48","https://boostedusa.com/collections/accessories","Boosted Beams"
"1633590755-9","https://boostedusa.com/collections/accessories","Boosted Pulley / Belt Upgrade Kit"
"1633590755-74","https://boostedusa.com/collections/accessories","Boosted Stealth Deck and Wires"
"1633590755-65","https://boostedusa.com/collections/accessories","Boosted Rev Kickstand"
"1633590755-18","https://boostedusa.com/collections/accessories","Loaded Caguama 85's Complete Blue"
"1633590755-61","https://boostedusa.com/collections/accessories","Boosted Rev Caliper Kit"
"1633590755-7","https://boostedusa.com/collections/accessories","Boosted Belt Kit"
"1633590755-47","https://boostedusa.com/collections/accessories","Deck Hardware"
"1633590755-29","https://boostedusa.com/collections/accessories","Boosted Remote"
"1633590755-54","https://boostedusa.com/collections/accessories","Rev Tube"
"1633590755-58","https://boostedusa.com/collections/accessories","Boosted Rev Rotor Kit"
"1633590755-8","https://boostedusa.com/collections/accessories","Bearing Service Kit"
"1633590755-75","https://boostedusa.com/collections/accessories","Boosted Mini-X Deck Only"
"1633590755-79","https://boostedusa.com/collections/accessories","Boosted T-Shirt"
"1633590755-59","https://boostedusa.com/collections/accessories","Boosted Rev Grips"
"1633590755-33","https://boostedusa.com/collections/accessories","Standard Range Battery Pack"
"1633590755-55","https://boostedusa.com/collections/accessories","Boosted Rev Stem Catch"
"1633590755-80","https://boostedusa.com/collections/accessories","Boosted Trucker Snapback Hats"
"1633590755-44","https://boostedusa.com/collections/accessories","Boosted Chop Sticks"
"1633590755-22","https://boostedusa.com/collections/accessories","Boosted Lunar Wheels - 80mm - Grey"
"1633590755-30","https://boostedusa.com/collections/accessories","Boosted Daypack"
"1633590755-23","https://boostedusa.com/collections/accessories","Boosted Stratus Wheels - 85mm - Orange"
"1633590755-60","https://boostedusa.com/collections/accessories","Boosted Rev Headlight"
"1633590755-26","https://boostedusa.com/collections/accessories","Boosted 105's"
"1633590755-73","https://boostedusa.com/collections/accessories","Boosted V2 Deck and Wires"
"1633590755-67","https://boostedusa.com/collections/accessories","Boosted Rev Valve Extender"
"1633590755-71","https://boostedusa.com/collections/accessories","Boosted Rev Deck Screw Kit"
"1633590755-77","https://boostedusa.com/collections/accessories","Stickers"
"1633590755-42","https://boostedusa.com/collections/accessories","Boosted Battery Screws / Wings"
"1633590755-13","https://boostedusa.com/collections/accessories","Emfiss Skate Tool"
"1633590755-24","https://boostedusa.com/collections/accessories","Boosted Stratus Wheels - 85mm - Grey"
"1633590755-53","https://boostedusa.com/collections/accessories","Boosted Rev Tire"
"1633590755-68","https://boostedusa.com/collections/accessories","Boosted Rev Stem"
"1633590755-11","https://boostedusa.com/collections/accessories","Boosted Motor kits"
"1633590755-10","https://boostedusa.com/collections/accessories","Boosted Skid Plates"
"1633590755-36","https://boostedusa.com/collections/accessories","Motor Driver / ESC / Motor Controller"
"1633590755-72","https://boostedusa.com/collections/accessories","Boosted Rev Deck"
"1633590755-27","https://boostedusa.com/collections/accessories","Boosted Helmet"
"1633590755-70","https://boostedusa.com/collections/accessories","Boosted Rev Motor Driver (ESC)"
"1633590755-45","https://boostedusa.com/collections/accessories","Clear / Black Tail Puck"
"1633590755-64","https://boostedusa.com/collections/accessories","Boosted Rev headset collar"
"1633590755-28","https://boostedusa.com/collections/accessories","Triple 8 Gotham Helmet"
"1633590755-17","https://boostedusa.com/collections/accessories","Loaded Caguama 85's - Pairs Of Two Wheels Only"
"1633590755-35","https://boostedusa.com/collections/accessories","Boosted Rear Drive Complete"
"1633590755-76","https://boostedusa.com/collections/accessories","Boosted Mini-S Deck Only"
"1633590755-40","https://boostedusa.com/collections/accessories","Boosted Trucks"
"1633590755-52","https://boostedusa.com/collections/accessories","Boosted Rev Brake Pads (Pair)"
"1633590755-39","https://boostedusa.com/collections/accessories","Boosted Risers"
"1633590755-25","https://boostedusa.com/collections/accessories","2nd Gen Wheels - 80mm"
