web-scraper-order,web-scraper-start-url,nnn,ppp
"1635232324-22691","https://colemanfurniture.com/accents/decor/poufs.htm","Sweed Valley Natural And White Pouf","$109.00"
"1635232324-22689","https://colemanfurniture.com/accents/decor/poufs.htm","Benedict Natural Pouf","$149.00"
"1635232324-22734","https://colemanfurniture.com/accents/decor/poufs.htm","Ice Blue Viscose Pouf","$178.00"
"1635232324-22736","https://colemanfurniture.com/accents/decor/poufs.htm","Victorian Silver Moon And Spots Pouffe","$369.00"
"1635232324-22718","https://colemanfurniture.com/accents/decor/poufs.htm","Lyssa Jacquard Fabric Pouf","$135.00"
"1635232324-22706","https://colemanfurniture.com/accents/decor/poufs.htm","Victorian White And Gold Spots Pouffe","$369.00"
"1635232324-22747","https://colemanfurniture.com/accents/decor/poufs.htm","Pouf86118Sq Grey Crossways Square Pouf","$150.00"
"1635232324-22775","https://colemanfurniture.com/accents/decor/poufs.htm","Cobbler Black Leather And Grey Canvas Pouf","$159.00"
"1635232324-22699","https://colemanfurniture.com/accents/decor/poufs.htm","Hazel Gray Square Pouf","$145.00"
"1635232324-22733","https://colemanfurniture.com/accents/decor/poufs.htm","Noosa Natural Jute Pouffe","$139.00"
"1635232324-22765","https://colemanfurniture.com/accents/decor/poufs.htm","PJ Black Velvet Pouf","$345.00"
"1635232324-22743","https://colemanfurniture.com/accents/decor/poufs.htm","Kodi Beige Square Pouf","$119.00"
"1635232324-22724","https://colemanfurniture.com/accents/decor/poufs.htm","Olfen Gray Pouf","$239.80"
"1635232324-22731","https://colemanfurniture.com/accents/decor/poufs.htm","Valda Gray Wool Pouf","$239.80"
"1635232324-22716","https://colemanfurniture.com/accents/decor/poufs.htm","Felicity Multicolor Pouffe","$379.00"
"1635232324-22732","https://colemanfurniture.com/accents/decor/poufs.htm","Willow Cream Pouf","$229.00"
"1635232324-22754","https://colemanfurniture.com/accents/decor/poufs.htm","Cobbler Brown 19"" Leather Pouf","$169.00"
"1635232324-22771","https://colemanfurniture.com/accents/decor/poufs.htm","Jazzy Grey Pouf","$355.00"
"1635232324-22721","https://colemanfurniture.com/accents/decor/poufs.htm","Pincushion Red Woven Pouffe","$129.00"
"1635232324-22696","https://colemanfurniture.com/accents/decor/poufs.htm","Chevron Blue Pouf","$119.00"
"1635232324-22759","https://colemanfurniture.com/accents/decor/poufs.htm","Donoma Southwest Pouffe","$299.00"
"1635232324-22708","https://colemanfurniture.com/accents/decor/poufs.htm","Lattice Cream And Black Pouf","$145.00"
"1635232324-22728","https://colemanfurniture.com/accents/decor/poufs.htm","Lattice Cream And Black Pouf","$145.00"
"1635232324-22752","https://colemanfurniture.com/accents/decor/poufs.htm","Lamb White Fur Pouf","$559.00"
"1635232324-22769","https://colemanfurniture.com/accents/decor/poufs.htm","Victorian Silver Satin Pouffe","$369.00"
"1635232324-22729","https://colemanfurniture.com/accents/decor/poufs.htm","Uriah White Pouf","$283.80"
"1635232324-22753","https://colemanfurniture.com/accents/decor/poufs.htm","PJ Blue Velvet Pouf","$345.00"
"1635232324-22695","https://colemanfurniture.com/accents/decor/poufs.htm","Moriah Navy Pouf","$89.00"
"1635232324-22712","https://colemanfurniture.com/accents/decor/poufs.htm","Hide Herringbone With Foil Square Pouf","$200.00"
"1635232324-22774","https://colemanfurniture.com/accents/decor/poufs.htm","Hidden Treasures Brown Leather Bazaar Large Square Pouf","$749.00"
"1635232324-22714","https://colemanfurniture.com/accents/decor/poufs.htm","Pouf85718Sq Soho Oasis Square Pouf","$150.00"
"1635232324-22773","https://colemanfurniture.com/accents/decor/poufs.htm","Lamb Charcoal Grey Fur Pouf","$559.00"
"1635232324-22719","https://colemanfurniture.com/accents/decor/poufs.htm","Shiro Beige Pouf","$239.80"
"1635232324-22707","https://colemanfurniture.com/accents/decor/poufs.htm","Pouf85418Sq Sunset Oasis Square Pouf","$150.00"
"1635232324-22710","https://colemanfurniture.com/accents/decor/poufs.htm","Sweed Valley Natural and Charcoal Pouf","$89.00"
"1635232324-22742","https://colemanfurniture.com/accents/decor/poufs.htm","Willow Black Jute Jute Knit Pouf","$329.00"
"1635232324-22740","https://colemanfurniture.com/accents/decor/poufs.htm","Gypsy Red and Blue Braided Pouffe","$229.00"
"1635232324-22717","https://colemanfurniture.com/accents/decor/poufs.htm","Cobbler Espresso Leather And Tan Canvas Pouf","$159.00"
"1635232324-22757","https://colemanfurniture.com/accents/decor/poufs.htm","XU-1016-15 Grey Spotted Goat Fur Pouf","$329.00"
"1635232324-22694","https://colemanfurniture.com/accents/decor/poufs.htm","Sweed Valley Natural and Black Pouf","$89.00"
"1635232324-22738","https://colemanfurniture.com/accents/decor/poufs.htm","Pincushion Blue Woven Pouffe","$129.00"
"1635232324-22766","https://colemanfurniture.com/accents/decor/poufs.htm","Bronya Beige Pouf","$425.00"
"1635232324-22750","https://colemanfurniture.com/accents/decor/poufs.htm","Jazzy Green Pouf","$355.00"
