web-scraper-order,web-scraper-start-url,nnn,ppp
"1635233129-23218","https://colemanfurniture.com/accents/decor/rugs.htm","Campo Ivory Small Rug","$297.00"
"1635233129-26013","https://colemanfurniture.com/accents/decor/rugs.htm","Kingston Ruby And Ivory Rania 39"" X 26"" Rug","$55.00"
"1635233129-24155","https://colemanfurniture.com/accents/decor/rugs.htm","Bungalow Mocha Mosaic XXL Area Rug","$1189.00"
"1635233129-22939","https://colemanfurniture.com/accents/decor/rugs.htm","Kallita Natural And Brown Small Rug","$119.00"
"1635233129-26110","https://colemanfurniture.com/accents/decor/rugs.htm","Roxy Grey And Gold Palette Extra Large Rug","$479.00"
"1635233129-24596","https://colemanfurniture.com/accents/decor/rugs.htm","Havana Ivory and Blue Rainforest 96"" X 60"" Rug","$619.00"
"1635233129-26973","https://colemanfurniture.com/accents/decor/rugs.htm","Skyline Grey Matrix Medium Rug","$159.00"
"1635233129-26402","https://colemanfurniture.com/accents/decor/rugs.htm","Hue Light Blue Farrah Small Area Rug","$85.00"
"1635233129-26676","https://colemanfurniture.com/accents/decor/rugs.htm","Bungalow Grey Metro Large Area Rug","$419.00"
"1635233129-26964","https://colemanfurniture.com/accents/decor/rugs.htm","Illusions Ivory And Blue Elements Small Rug","$129.00"
"1635233129-25539","https://colemanfurniture.com/accents/decor/rugs.htm","Avalon Ivory And Blue Landscapes Large Rug","$389.00"
"1635233129-24829","https://colemanfurniture.com/accents/decor/rugs.htm","Acanthus Beige and Brown Small Area Rug","$289.00"
"1635233129-22934","https://colemanfurniture.com/accents/decor/rugs.htm","Avi Gray And White Large Rug","$159.00"
"1635233129-26838","https://colemanfurniture.com/accents/decor/rugs.htm","Misti Silver And Ivory Natural Fiber Large Rug","$659.00"
"1635233129-26021","https://colemanfurniture.com/accents/decor/rugs.htm","Libby Langdon Hamptons Slate And Navy Highview Small Rug","$65.00"
"1635233129-25021","https://colemanfurniture.com/accents/decor/rugs.htm","Roxy Blue And Red Mirage Large Rug","$359.00"
"1635233129-22783","https://colemanfurniture.com/accents/decor/rugs.htm","Jirou Gray and Taupe Large Rug","$229.00"
"1635233129-23576","https://colemanfurniture.com/accents/decor/rugs.htm","Inspire Grey Parisian Medium Rug","$299.00"
"1635233129-24563","https://colemanfurniture.com/accents/decor/rugs.htm","Eternity Ocean Landscapes 45"" X 27"" Rug","$119.00"
"1635233129-22784","https://colemanfurniture.com/accents/decor/rugs.htm","Coulee Natural Medium Rug","$109.00"
"1635233129-26268","https://colemanfurniture.com/accents/decor/rugs.htm","Guthrie Hair-On-Hide Large Area Rug","$1015.00"
"1635233129-24823","https://colemanfurniture.com/accents/decor/rugs.htm","Black Earnest Dog Door Mat","$59.00"
"1635233129-24534","https://colemanfurniture.com/accents/decor/rugs.htm","Cambridge Beige and Ivory Kashan Medallion 39"" X 27"" Rug","$65.00"
"1635233129-23288","https://colemanfurniture.com/accents/decor/rugs.htm","Eternity Lime and Mocha Landscapes 45"" X 27"" Rug","$119.00"
