web-scraper-order,web-scraper-start-url,nnn,ppp
"1635228758-18508","https://colemanfurniture.com/accents/pet-beds.htm","Yorkshire Navy Pet Bed","$229.00"
"1635228758-18512","https://colemanfurniture.com/accents/pet-beds.htm","Piperton Natural Pet Bed Frame","$239.00"
"1635228758-18510","https://colemanfurniture.com/accents/pet-beds.htm","Husky Grey Pet Bed","$199.00"
"1635228758-18516","https://colemanfurniture.com/accents/pet-beds.htm","Dachshund Grey Pet Bed","$219.00"
"1635228758-18506","https://colemanfurniture.com/accents/pet-beds.htm","Husky Navy Pet Bed","$199.00"
"1635228758-18517","https://colemanfurniture.com/accents/pet-beds.htm","Hound Navy Pet Bed","$249.00"
"1635228758-18511","https://colemanfurniture.com/accents/pet-beds.htm","Yorkshire Pink Pet Bed","$229.00"
"1635228758-18519","https://colemanfurniture.com/accents/pet-beds.htm","Peeta Dark Taupe Cat Pet House","$215.00"
"1635228758-18518","https://colemanfurniture.com/accents/pet-beds.htm","Beagle Grey Pet Bed","$219.00"
"1635228758-18507","https://colemanfurniture.com/accents/pet-beds.htm","Yorkshire Gray Pet Bed","$229.00"
"1635228758-18520","https://colemanfurniture.com/accents/pet-beds.htm","Peeta White Cat Pet House","$215.00"
"1635228758-18515","https://colemanfurniture.com/accents/pet-beds.htm","Dachshund Navy Pet Bed","$219.00"
"1635228758-18509","https://colemanfurniture.com/accents/pet-beds.htm","Beagle Light Blue Pet Bed","$179.00"
"1635228758-18514","https://colemanfurniture.com/accents/pet-beds.htm","Poodle Blush Pet Bed","$219.00"
"1635228758-18513","https://colemanfurniture.com/accents/pet-beds.htm","Poodle Forest Green Pet Bed","$185.00"
