web-scraper-order,web-scraper-start-url,nnn,ppp
"1635228553-18488","https://colemanfurniture.com/accents/umbrella-stands.htm","Logan Medium Brown Costumer","$369.00"
"1635228553-18497","https://colemanfurniture.com/accents/umbrella-stands.htm","Logan White Costumer","$369.00"
"1635228553-18493","https://colemanfurniture.com/accents/umbrella-stands.htm","Logan Light Brown Costumer","$305.70"
"1635228553-18503","https://colemanfurniture.com/accents/umbrella-stands.htm","Mirror Umbrella Stand","$539.00"
"1635228553-18492","https://colemanfurniture.com/accents/umbrella-stands.htm","Rex Walnut Umbrella Stand with Metal Tray","$105.00"
"1635228553-18504","https://colemanfurniture.com/accents/umbrella-stands.htm","Poppins Hors D'Oeuvres Umbrella Stand","$199.00"
"1635228553-18486","https://colemanfurniture.com/accents/umbrella-stands.htm","Brooklyn White Easel","$306.06"
"1635228553-18487","https://colemanfurniture.com/accents/umbrella-stands.htm","Hacienda Umbrella Stand","$163.75"
"1635228553-18499","https://colemanfurniture.com/accents/umbrella-stands.htm","Portland Cappuccino Umbrella Stand","$99.00"
"1635228553-18491","https://colemanfurniture.com/accents/umbrella-stands.htm","Jana Umbrella Stand with Metal Tray","$125.00"
"1635228553-18494","https://colemanfurniture.com/accents/umbrella-stands.htm","Genoa Silver Costumer","$529.29"
"1635228553-18502","https://colemanfurniture.com/accents/umbrella-stands.htm","Stow Nickel Away Umbrella Stand","$350.00"
"1635228553-18489","https://colemanfurniture.com/accents/umbrella-stands.htm","Heritage Umbrella Stand","$182.50"
"1635228553-18500","https://colemanfurniture.com/accents/umbrella-stands.htm","Webster Antique Cherry Costumer","$288.71"
"1635228553-18498","https://colemanfurniture.com/accents/umbrella-stands.htm","Tanguay Polished Silver Umbrella Stand","$209.00"
"1635228553-18505","https://colemanfurniture.com/accents/umbrella-stands.htm","Umbrella Holder","$425.00"
"1635228553-18501","https://colemanfurniture.com/accents/umbrella-stands.htm","Take Nickel A Stand Umbrella Stand","$330.00"
"1635228553-18495","https://colemanfurniture.com/accents/umbrella-stands.htm","Richfield Antique Silver Umbrella Stand","$129.00"
"1635228553-18490","https://colemanfurniture.com/accents/umbrella-stands.htm","Rain Brass Rain Go Away Umbrella Stand","$425.00"
"1635228553-18496","https://colemanfurniture.com/accents/umbrella-stands.htm","Hold Satin Grey And Brass For Two Umbrella Stand","$307.50"
