web-scraper-order,web-scraper-start-url,nnn,ppp
"1635093900-1591","https://colemanfurniture.com/kids/kids-chests.htm","Ariston Silver Chest","$1099.00"
"1635093900-1724","https://colemanfurniture.com/kids/kids-chests.htm","Ashby Chest","$1205.00"
"1635093900-1655","https://colemanfurniture.com/kids/kids-chests.htm","Lucida White Chest","$831.00"
"1635093900-1590","https://colemanfurniture.com/kids/kids-chests.htm","Chatsworth Distressed Chalk Chest","$839.00"
"1635093900-1695","https://colemanfurniture.com/kids/kids-chests.htm","Caroline Metallic Lilac Chest","$1097.00"
"1635093900-1618","https://colemanfurniture.com/kids/kids-chests.htm","Dani White Chest","$885.00"
"1635093900-1705","https://colemanfurniture.com/kids/kids-chests.htm","Orion Grey Chest","$469.00"
"1635093900-1725","https://colemanfurniture.com/kids/kids-chests.htm","Calistoga Drawer Chest","$1409.00"
"1635093900-1657","https://colemanfurniture.com/kids/kids-chests.htm","Bonanza White 5 Drawer Chest","$949.98"
"1635093900-1711","https://colemanfurniture.com/kids/kids-chests.htm","Ramon Metallic Sterling Chest","$690.00"
"1635093900-1735","https://colemanfurniture.com/kids/kids-chests.htm","Tranquility White Chest","$1035.00"
"1635093900-1650","https://colemanfurniture.com/kids/kids-chests.htm","Belle Rose Black Cherry 5 Drawer Lift Top Chest","$1077.00"
"1635093900-1757","https://colemanfurniture.com/kids/kids-chests.htm","Lake House Denim Blue 3 Drawer Accent Chest","$699.00"
"1635093900-1621","https://colemanfurniture.com/kids/kids-chests.htm","Willow Distressed Black Lingerie Chest","$495.00"
"1635093900-1748","https://colemanfurniture.com/kids/kids-chests.htm","Colin Dark Oak Chest","$999.00"
"1635093900-1567","https://colemanfurniture.com/kids/kids-chests.htm","Mayville White Chest","$714.00"
"1635093900-1745","https://colemanfurniture.com/kids/kids-chests.htm","Sonoma Creek Brown Door Chest","$995.00"
"1635093900-1612","https://colemanfurniture.com/kids/kids-chests.htm","Ruff Hewn Brown Drawer Chest","$1109.00"
