web-scraper-order,web-scraper-start-url,nnn,ppp
"1635216289-985","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Tandra Natural and Beige Modern Contemporary Outdoor Daybed","$599.00"
"1635216289-991","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Tandra Natural and Navy Modern Outdoor Daybed","$599.00"
"1635216289-994","https://colemanfurniture.com/outdoor/outdoor-beds.htm","August Titanium and Sand Outdoor Daybed","$1115.00"
"1635216289-993","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Tandra Dark Slate Gray and Beige Modern Contemporary Outdoor Daybed","$599.00"
"1635216289-998","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Malibu Natural and Beige Outdoor Daybed","$1149.00"
"1635216289-984","https://colemanfurniture.com/outdoor/outdoor-beds.htm","St Lucia Beach Beige And White Outdoor Daybed","$4915.00"
"1635216289-986","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Pasadena Ash Gray and Beige Outdoor Daybed","$1245.00"
"1635216289-989","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Pasadena Antique White and Navy Outdoor Daybed","$1299.00"
"1635216289-995","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Majorca Brown & Beige Twin Outdoor Daybed","$6735.00"
"1635216289-997","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Malibu Ash Gray and Beige Outdoor Daybed","$1139.00"
"1635216289-992","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Martinique Beach Brown & Beige Twin Outdoor Daybed","$5535.00"
"1635216289-996","https://colemanfurniture.com/outdoor/outdoor-beds.htm","August Brown and Sand Outdoor Daybed","$1115.00"
"1635216289-987","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Aria Light Brown Outdoor Patio Canopy Twin Daybed","$4065.00"
"1635216289-988","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Pasadena Natural and Taupe Outdoor Daybed","$1265.00"
"1635216289-990","https://colemanfurniture.com/outdoor/outdoor-beds.htm","Malibu Antique White and Navy Outdoor Daybed","$1189.00"
