web-scraper-order,web-scraper-start-url,name,price,price2
"1634783043-514","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Imelda Gray Size King Headboard","$689.00","null"
"1634783043-356","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D363-230 Platinum Twin Round Tufted Headboard","$209.00","On Sale$209.00"
"1634783043-487","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Potter White Queen Headboard","$679.00","null"
"1634783043-464","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Clip Corner Heathered Grey Queen Upholstered Headboard and Bench Set","$295.00","On Sale$295.00"
"1634783043-470","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Murrieta Beige Upholstered Full/Queen Tufted Headboard","$525.00","null"
"1634783043-381","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D367-250 Emerald Full  Queen Velvet Channel Headboard","$319.00","On Sale$319.00"
"1634783043-56","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Chloe Blue Velvet Queen Headboard","$309.00","null"
"1634783043-168","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Catalyst Dark Gray And Black Wireless Upholstered Adjustable Split Cal. King Bed Base","$779.00","null"
"1634783043-453","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Hallmar Hemp Beige Arched Twin Headboard","$299.00","null"
"1634783043-198","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","DS-D502-230 Cream Nail Trim Twin Headboard","$119.00","On Sale$119.00"
"1634783043-193","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Gabrielle Antique Gray Wicker Full Size Headboard","$609.00","null"
"1634783043-35","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Axel Arctic Gray Tufted Queen Headboard","$405.00","null"
"1634783043-8","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Pearson Aged Oak King Upholstered Headboard","$799.00","null"
"1634783043-316","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Hallmar Black And White Stripe Twin Headboard","$299.00","null"
"1634783043-42","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","6010Q Brown Queen Size Headboard","$229.00","null"
"1634783043-118","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","Clark Black King/Cal. King Size Metal Frame","$179.00","null"
"1634783043-109","https://colemanfurniture.com/bedroom-furniture/bed-frames-headboards.htm","300183QF White Queen/Full Headboard","$255.00","null"
