web-scraper-order,web-scraper-start-url,name,price
"1634787204-4415","https://colemanfurniture.com/bedroom-furniture/beds.htm","Fairfield Beige Full Upholstered Panel Bed","$415.00"
"1634787204-4113","https://colemanfurniture.com/bedroom-furniture/beds.htm","Vintage Distressed White King Metal Bed","$765.00"
"1634787204-7546","https://colemanfurniture.com/bedroom-furniture/beds.htm","Highlands Espresso Bookcase Full Panel Bed With Two Storage Units","$1730.00"
"1634787204-7664","https://colemanfurniture.com/bedroom-furniture/beds.htm","Belgrade II Rustic Natural Tone King Upholstered Sleigh Bed","$1705.00"
"1634787204-2750","https://colemanfurniture.com/bedroom-furniture/beds.htm","Easton Daphne Cambric Ivory Daphne Queen Upholstered Panel Bed","$1535.00"
"1634787204-6590","https://colemanfurniture.com/bedroom-furniture/beds.htm","Carissa Gray Queen Upholstered Panel Bed","$1359.00"
"1634787204-6120","https://colemanfurniture.com/bedroom-furniture/beds.htm","James Cloud Gray Cal. King Upholstered Platform Bed","$1249.00"
"1634787204-7746","https://colemanfurniture.com/bedroom-furniture/beds.htm","Highlands Alex Driftwood Twin Panel Bed With Trundle","$1161.00"
"1634787204-5224","https://colemanfurniture.com/bedroom-furniture/beds.htm","Biscayne West Sand Cal. King Canopy Bed","$1999.00"
"1634787204-7304","https://colemanfurniture.com/bedroom-furniture/beds.htm","Radcliffe Sanibel Queen Canopy Bed","$1399.00"
"1634787204-7155","https://colemanfurniture.com/bedroom-furniture/beds.htm","Getaway Sand Dollar Boca Grande Key Queen Canopy Bed","$1625.00"
"1634787204-4503","https://colemanfurniture.com/bedroom-furniture/beds.htm","Garcia Gray Cal. King Panel Bed","$831.00"
"1634787204-6053","https://colemanfurniture.com/bedroom-furniture/beds.htm","Zephyr Brown Queen Panel Bed","$315.00"
"1634787204-6383","https://colemanfurniture.com/bedroom-furniture/beds.htm","Barzini White King Upholstered Platform Bed","$1230.00"
"1634787204-3757","https://colemanfurniture.com/bedroom-furniture/beds.htm","Bling Game Metallic Platinum King Panel Bed","$1260.00"
"1634787204-5308","https://colemanfurniture.com/bedroom-furniture/beds.htm","Caracole Classic King Upholstered Panel Bed","$3275.00"
"1634787204-4143","https://colemanfurniture.com/bedroom-furniture/beds.htm","Fallon Natural Oak Carlisle King Panel Bed","$1999.00"
"1634787204-6952","https://colemanfurniture.com/bedroom-furniture/beds.htm","Twin Palms Coco Bay Cal. King Panel Bed","$4199.00"
"1634787204-3585","https://colemanfurniture.com/bedroom-furniture/beds.htm","Rhapsody Beige Tufted King Upholstered Sleigh Bed","$4919.00"
"1634787204-5498","https://colemanfurniture.com/bedroom-furniture/beds.htm","Cherry Grove Classic Antique Cherry Cal. King Low Poster Bed","$1935.00"
"1634787204-2076","https://colemanfurniture.com/bedroom-furniture/beds.htm","Janeiro Gray Queen Storage Panel Bed","$1429.00"
"1634787204-5652","https://colemanfurniture.com/bedroom-furniture/beds.htm","Cross Solid Oak and Metal King Platform Bed","$1399.00"
