web-scraper-order,web-scraper-start-url,name,price
"1634800659-14325","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Brno Black Velvet Bench","$379.00"
"1634800659-14264","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Chahna Small Bench","$437.80"
"1634800659-14330","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Cafe Noir Vanity Seat","$669.00"
"1634800659-14215","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","5west Wisconsin Bravo Cream Bench","$439.00"
"1634800659-14828","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Talita Black Velvet Bench","$1059.00"
"1634800659-14618","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Woodside II Espresso Bench","$245.00"
"1634800659-14047","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Cypress Point Pelham Bed Bench","$685.00"
"1634800659-14348","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Georgia Sage Vanity Stool","$275.00"
"1634800659-14045","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Trespass Marmor Upholstered Storage Bed Bench","$305.00"
"1634800659-14214","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Barney True Taupe Tufted Bench","$595.00"
"1634800659-14261","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Abrosia Black Tufted Bench","$695.00"
"1634800659-14848","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Maisie Champagne Upholstered 48"" Bed Bench","$418.00"
"1634800659-14768","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Bent Light Brown Small Bench","$1325.00"
"1634800659-14060","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Raiden Beige Linen And Rustic Oak Rustic Oak Bench","$379.00"
"1634800659-14824","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Slade Orange And Chrome Bench","$395.00"
"1634800659-14294","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Jenine Cream Polyurethane And Gold Faux Ostrich Square Bench","$229.00"
"1634800659-14362","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Avery Dune Storage Bench","$300.00"
"1634800659-14158","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Diva White Bench","$239.00"
"1634800659-14176","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Madison Stone Large Storage Bench","$399.00"
"1634800659-14302","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Omari Black Leather Gold Bench","$949.00"
"1634800659-14631","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Caracole Modern Black And Bronze Gold Metal Remix Bed Bench","$470.00"
"1634800659-14742","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Fabulous Grey Leather Faux Bench","$3520.00"
"1634800659-14592","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Oliver Grey Stool","$425.00"
"1634800659-14150","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Louve Large Grey and Silver Metal Occasional Bench","$769.00"
"1634800659-14507","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Betsy Artic Gray And Taupe Vanity Chair","$295.00"
"1634800659-14190","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Ushanka Graphite And Grey Stool","$330.00"
"1634800659-14381","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Jasmine Gold Metal And White Plush Fabric Vanity Stool","$145.00"
"1634800659-14527","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Ikon Kenji Bravo Black Bench","$949.00"
"1634800659-14555","https://colemanfurniture.com/bedroom-furniture/benches-seating.htm","Horace Gray And Gold Foil Faux Sheepskin X Square Bench","$299.00"
