web-scraper-order,web-scraper-start-url,name,price
"1634795928-12431","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Steele Smokey Walnut Media Chest","$889.00"
"1634795928-12507","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Charleston Place Brown Media Chest","$1949.00"
"1634795928-12441","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Forge Brushed Steel Media Chest","$1099.00"
"1634795928-12430","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Trenton Distressed Brown Media Chest","$925.00"
"1634795928-12415","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Pine Hill Rustic Pine Wood Media Chest","$1419.00"
"1634795928-12451","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Addison White TV Stand","$789.00"
"1634795928-12388","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Rhapsody Brown Media Chest","$3419.00"
"1634795928-12480","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Bay Creek Toasted Nutmeg Media Chest","$1215.00"
"1634795928-12389","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Grandpa's Cabin Media Chest","$689.00"
"1634795928-12470","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Madison Mahogany Media Chest","$739.00"
"1634795928-12505","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Brookfield Cotton White Media Chest","$1055.00"
"1634795928-12464","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Gavin Cherry Media Chest","$909.00"
"1634795928-12384","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Willow Distressed Weathered Gray Media Chest","$805.00"
"1634795928-12475","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Channing Dark Walnut 3 Drawer Media Chest","$725.00"
"1634795928-12380","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Mandura Cherry Media Chest","$1075.00"
"1634795928-12478","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Legacy Cherry 3 Drawer TV Media Chest","$775.00"
"1634795928-12445","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Santa Fe Dark Chocolate Media Chest","$925.00"
"1634795928-12421","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Farrah Media Chest","$1159.00"
"1634795928-12406","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Willow Distressed Black Media Chest","$749.00"
"1634795928-12453","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Oak Park Mission 5 Drawer Media Chest","$1479.00"
"1634795928-12422","https://colemanfurniture.com/bedroom-furniture/media-chest.htm","Arthur Brown Cherry Media Chest","$1239.00"
