web-scraper-order,web-scraper-start-url,names
"1632280099-32513","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/3.pg","LS2
							Matte Titanium Blaze Adventure Helmet - 436B-1033"
"1632280082-32065","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/6.pg","Arai Helmets
							White VX-Pro 4 Helmet - 886181"
"1632280031-30866","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/14.pg","Arai Helmets
							Purple/Green/Pink VX-Pro 4 Barcia-3 Helmet - 886548"
"1632280064-31484","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/9.pg","Klim
							Non-Current White/Gray Velocity F3 Helmet - 3110-000-170-014"
"1632280031-30785","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/14.pg","AFX
							FX-41DS Helmet Liner - 0134-2941"
"1632279966-29397","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/22.pg","Z1R
							Childs Rise Helmet Orange/Blue Visor Kit - 0132-1242"
"1632280082-31996","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/6.pg","Arai Helmets
							Matte Black Frost VX-Pro 4 Helmet - 886186"
"1632280077-31850","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/7.pg","Pro Grip
							XL Roll-Off Film System for Pro-Grip Goggles - PZ3268XX"
"1632280064-31567","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/9.pg","CKX
							Matte Gray/Black TX319 Arkos Helmet - 511094#"
"1632280046-31120","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/12.pg","AFX
							Visor for the Youth FX-17 Helmet  - 0132-0927"
"1632279977-29703","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/21.pg","LS2
							White/Red/Black Gate Launch Helmet - 437G-1124"
"1632280053-31212","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/11.pg","AFX
							Pearl White/Blue FX17 Force Replacement Visor - 0132-1178"
"1632279977-29738","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/21.pg","Bell Helmets
							Youth Hi-Viz/Black Moto-9 Mips Fasthouse Newhall Good Times LE Helmets - 7132931"
"1632279937-29060","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/24.pg","Oakley
							O-Frame Roll Off Accessory Kit - AOO7010RO 00000100"
"1632279966-29423","https://www.denniskirk.com/dirt-bike/helmets/100.ipp/22.pg","Z1R
							Desert Camo Rise Visor Kit - 0132-1334"
