web-scraper-order,web-scraper-start-url,names
"1632237211-46126","https://www.denniskirk.com/motorcycle/tires/100.ipp/4.pg","Treadwell
							Front/Rear 5.00-16 Track Master Tire - 73335"
"1632237201-45922","https://www.denniskirk.com/motorcycle/tires/100.ipp/6.pg","Pirelli
							Scorpion Trail II Tire"
"1632237223-46571","https://www.denniskirk.com/motorcycle/tires/100.ipp/2.pg","Drag Specialties
							15"" Inner Tube w/Side Rubber Valve Stem (5.00) - DS-181228"
"1632237207-46084","https://www.denniskirk.com/motorcycle/tires/100.ipp/5.pg","Drag Specialties
							18 in. x 6.5 in. Rim Strip - DS-181509"
"1632237201-45854","https://www.denniskirk.com/motorcycle/tires/100.ipp/6.pg","Shinko
							Front or Rear SR550 Whitewall Scooter Tire"
"1632237207-46124","https://www.denniskirk.com/motorcycle/tires/100.ipp/5.pg","Metzeler
							Karoo 3 Tire"
"1632237217-46276","https://www.denniskirk.com/motorcycle/tires/100.ipp/3.pg","Moose
							18"" Heavy Duty Inner Tube w/TR-6 Center Metal Valve Stem (4.00-5.00, 130-140/80, 130/90) - M800-20"
"1632237217-46323","https://www.denniskirk.com/motorcycle/tires/100.ipp/3.pg","Drag Specialties
							15 in. x 5 in. Rim Strip - DS-181508"
"1632237196-45658","https://www.denniskirk.com/motorcycle/tires/100.ipp/7.pg","Bridgestone
							Battlax Adventurecross Tourer AX41T Tire"
"1632237228-46715","https://www.denniskirk.com/motorcycle/tires/100.ipp/1.pg","No-Mar
							Yellow Thing Bead Keeper - AC-YELLOWTHING"
"1632237189-45536","https://www.denniskirk.com/motorcycle/tires/100.ipp/8.pg","Dunlop
							Rear K180 Blackwall 140/80-19Tire  - 45241544"
"1632237196-45642","https://www.denniskirk.com/motorcycle/tires/100.ipp/7.pg","Kenda
							12"" Economical Inner Tube w/ TR-6 Center Metal Valve Stem (120-130/70) - 61905287"
"1632237182-45322","https://www.denniskirk.com/motorcycle/tires/100.ipp/9.pg","Kenda
							19 in. Heavy-Duty Inner Tube w/TR-6 Center Metal Valve Stem (110/90 - 120/90) - 68905298"
"1632237211-46222","https://www.denniskirk.com/motorcycle/tires/100.ipp/4.pg","IRC
							8"" Inner Tube w/JS-244A Center Metal 90 Degree Bend Tall Valve Stem (3.50/4.00) - T20084"
"1632237223-46591","https://www.denniskirk.com/motorcycle/tires/100.ipp/2.pg","Drag Specialties
							19 in. x .75 in. Rim Strip - DS-181510"
"1632237211-46181","https://www.denniskirk.com/motorcycle/tires/100.ipp/4.pg","IRC
							10"" Heavy Duty Inner Tube w/ TR-4 Center Metal Valve Stem (60/100) - T20100"
"1632237201-45832","https://www.denniskirk.com/motorcycle/tires/100.ipp/6.pg","Dunlop
							Front K180 Blackwall 130/80-19Tire - 45241428"
"1632237223-46580","https://www.denniskirk.com/motorcycle/tires/100.ipp/2.pg","Bridgestone
							Battlax T31 Sport Touring Tire"
"1632237182-45268","https://www.denniskirk.com/motorcycle/tires/100.ipp/9.pg","Parts Unlimited
							17"" TR-4 CMV Heavy-Duty Inner Tube  70/100-17 - 0350-0361"
"1632237228-46626","https://www.denniskirk.com/motorcycle/tires/100.ipp/1.pg","Kenda
							18""/19"" Rim Strip - Y7321802"
"1632237223-46532","https://www.denniskirk.com/motorcycle/tires/100.ipp/2.pg","IRC
							18"" Inner Tube w/TR-4 Chrome Center Metal Valve Stem (3.50/4.00) - T20063"
"1632237207-46056","https://www.denniskirk.com/motorcycle/tires/100.ipp/5.pg","Parts Unlimited
							18"" TR-4 CMV Inner Tube 2.25/2.50-18 - 0350-0340"
"1632237182-45243","https://www.denniskirk.com/motorcycle/tires/100.ipp/9.pg","Parts Unlimited
							19"" TR-4 CMV Heavy-Duty Inner Tube 70/100-19 - 0350-0366"
"1632237211-46163","https://www.denniskirk.com/motorcycle/tires/100.ipp/4.pg","Michelin
							Rear Enduro Xtreme 140/80-18Tire - 17232"
"1632237196-45636","https://www.denniskirk.com/motorcycle/tires/100.ipp/7.pg","Avon
							AV84 & AV85 TrekRider Tire"
"1632237196-45699","https://www.denniskirk.com/motorcycle/tires/100.ipp/7.pg","Metzeler
							Rear FeelFree 130/80P-16 Blackwall Tire - 1659900"
"1632237228-46708","https://www.denniskirk.com/motorcycle/tires/100.ipp/1.pg","Dunlop
							Rear K180 Blackwall 180/80-14 Tire - 45089437"
"1632237182-45287","https://www.denniskirk.com/motorcycle/tires/100.ipp/9.pg","No-Mar
							Xtra Hand Clamp - AC-EH-CLAMP"
"1632237217-46252","https://www.denniskirk.com/motorcycle/tires/100.ipp/3.pg","Parts Unlimited
							15"" TR-4 CMV Inner Tube 130/90 140/80-15 - 0350-0325"
"1632237182-45288","https://www.denniskirk.com/motorcycle/tires/100.ipp/9.pg","Moose
							Tubeless Tire Valve Tool - 0365-0098"
"1632237196-45686","https://www.denniskirk.com/motorcycle/tires/100.ipp/7.pg","Dunlop
							Roadsport II Tire"
"1632237182-45256","https://www.denniskirk.com/motorcycle/tires/100.ipp/9.pg","IRC
							M5B EVO Tire"
"1632237196-45666","https://www.denniskirk.com/motorcycle/tires/100.ipp/7.pg","Kenda
							16"" Heavy Duty Inner Tube w/TR-6 Center Metal Valve Stem (3.50, 90/100) - 64405277"
"1632237211-46138","https://www.denniskirk.com/motorcycle/tires/100.ipp/4.pg","Metzeler
							4.0/4.6-110/140-18 - 2109610"
"1632237182-45276","https://www.denniskirk.com/motorcycle/tires/100.ipp/9.pg","Continental
							Contiroad Tire"
"1632237207-46100","https://www.denniskirk.com/motorcycle/tires/100.ipp/5.pg","Parts Unlimited
							17"" TR-4 CMV Inner Tube 4.00/5.1/110/130-17 - 0350-0339"
"1632237228-46650","https://www.denniskirk.com/motorcycle/tires/100.ipp/1.pg","IRC
							16"" Inner Tube w/TR-4 Chrome Center Metal Valve Stem (5.10, 130/90) - T20037"
"1632237228-46710","https://www.denniskirk.com/motorcycle/tires/100.ipp/1.pg","Continental
							Front/Rear Contistreet 2.50-17 Tire  - 02403740000"
"1632237223-46525","https://www.denniskirk.com/motorcycle/tires/100.ipp/2.pg","Metzeler
							Roadtec Z8 Interact 1 ""M-Spec"" Tire"
"1632237217-46289","https://www.denniskirk.com/motorcycle/tires/100.ipp/3.pg","Dunlop
							491 Elite ll Tire"
"1632237228-46721","https://www.denniskirk.com/motorcycle/tires/100.ipp/1.pg","Shinko
							Rear SX216 Series 140/80-18 Tire - 87-4741"
"1632237201-45924","https://www.denniskirk.com/motorcycle/tires/100.ipp/6.pg","Kenda
							12"" Heavy Duty Inner Tube w/TR-6 Center Metal Valve Stem (80/100) - 61705281"
"1632237189-45578","https://www.denniskirk.com/motorcycle/tires/100.ipp/8.pg","No-Mar
							Xtra Hand Clamp - AC-EH-CLAMP"
"1632237211-46207","https://www.denniskirk.com/motorcycle/tires/100.ipp/4.pg","Pirelli
							17"" TR-6 CMV (Oval Base) Inner Tube2.75/3.75-70/100-17 - 2108210"
"1632237182-45332","https://www.denniskirk.com/motorcycle/tires/100.ipp/9.pg","Counteract
							18"" Inner Tube w/Balancing Beads w/TR-6 Center Metal Valve Stem (4.00/4.60) - MKT-05"
"1632237182-45269","https://www.denniskirk.com/motorcycle/tires/100.ipp/9.pg","Counteract
							17"" Inner Tube w/Balancing Beads w/TR-6 Center Metal Valve Stem (6.00/6.50) - MKT-03"
