web-scraper-order,web-scraper-start-url,names
"1632236503-31713","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/16.pg","Zan Headgear
							Black Vented Sport Flydanna  - ZVS114"
"1632236558-33308","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/6.pg","Unik International
							Men's Black Knuckle Armor Cowhide Leather Gloves - 8245.00L"
"1632236511-31964","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/14.pg","Schampa
							Purple Paisley Facefit Facemask - FMV-223"
"1632236511-31925","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/14.pg","Speed and Strength
							Hi-Vis/Black Hot Head Mesh Gloves - 1102-0125-1554"
"1632236498-31496","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/17.pg","AMiGAZ
							Antique Silver Fleur Shield Clip-On Pendant - K-FLSHP"
"1632236541-32808","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/9.pg","Icon 1000
							White Alchem Jersey - 2824-0056"
"1632236546-33046","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/8.pg","Lethal Threat
							Piston Eagle Button Down Long Sleeve Shirt - MG60100M"
"1632236578-33948","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/2.pg","Hot Leathers
							Black Unisex Heavyweight Premium Leather Dual Pocket Chaps - CHM1009L"
"1632236506-31839","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/15.pg","Klim
							Navy Blue Teton Merino 1/4 Zip Wool Shirt - 3919-001-150-210"
"1632236506-31857","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/15.pg","Zan Headgear
							Full-Face Skull Face Mask - WNFM023"
"1632236535-32632","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/10.pg","Tour Master
							Womens Response 2.0 WP Road Boots - 8602-2235-43"
"1632236503-31716","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/16.pg","Z1R
							Women's Black 938 Gloves - 3301-2852"
"1632236541-32799","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/9.pg","Icon
							Hi-Viz Contra 2 Leather Jacket - 2810-3656"
"1632236523-32307","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/12.pg","Hot Leathers
							Black 6 in. Naked Leather Bi-Fold Wallet - WLC3101"
"1632236511-31969","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/14.pg","FXR Racing
							Charcoal Heather/Hi-Vis Elevation Tech Zip Up - 201100-0665-07"
"1632236550-33118","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/7.pg","Icon
							White Hooligan Gloves - 3301-3881"
"1632236503-31685","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/16.pg","AMiGAZ
							Silver Link Chain Bracelet w/Skull XL Pendant - BC11-SKXL"
"1632236503-31735","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/16.pg","Zan Headgear
							Black/White Sportflex Flag Balaclava - WB4L091"
"1632236578-33958","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/2.pg","Joe Rocket
							Black/Brown/Cream Dakota Leather Gloves - 2022-1004"
"1632236578-33941","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/2.pg","Icon
							Womens Merc Stealth Jacket - 2822-0937"
"1632236529-32558","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/11.pg","AMiGAZ
							Chrome Skull XL Clip-On Pendant - K-SKULLXL"
"1632236569-33698","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/4.pg","Unik International
							Men's Black Cowhide Leather Shotgun Conceal And Carry Vest - 6666.00XXXXL"
"1632236558-33354","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/6.pg","Icon
							Womens Mesh Attack Fit CE Jacket - 2822-1141"
"1632236506-31777","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/15.pg","AMiGAZ
							Black Triple Leather Strap Bracelet w/Rivets - BBH50TPL"
"1632236546-32997","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/8.pg","Hot Leathers
							Womens Skull Bouquet Tank - GLF2028L"
"1632236573-33855","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/3.pg","Unik International
							Men's Black Cowhide Leather Perforated Gloves - 1272.00XXL"
"1632236506-31797","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/15.pg","Hot Leathers
							American Flag Beanie - KHC1009"
"1632236546-33066","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/8.pg","Klim
							Black/Hi-Vis Override Alloy Jacket - 3394-000-140-060"
"1632236511-31907","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/14.pg","Icon
							Womens Stealth Overlord SB2 CE Jacket - 2822-1159"
"1632236550-33120","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/7.pg","Hot Leathers
							Black Ol' Bikes and Whiskey T-Shirt - GMS1074XXXL"
"1632236535-32638","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/10.pg","AMiGAZ
							Distressed Silver Flat Iron Knight Hack Bracelet - BC74H"
"1632236573-33831","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/3.pg","Fly Racing
							Brown Tradesman Boots - 6199 361-100-10"
"1632236541-32853","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/9.pg","Icon
							Men's Black Patrol CE Gloves - 3301-3477"
"1632236511-31932","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/14.pg","Hot Leathers
							Sugar Skulls Mesh Lined Adjustable Face Wrap - FWC2007"
"1632236558-33282","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/6.pg","Schampa
							Black/Pink Coolskin Mini Doo-Z Headwrap - DZ015B-09"
"1632236529-32556","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/11.pg","Scorpion
							Black Abrams Riding Shirt - 13701-5"
"1632236535-32573","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/10.pg","Icon 1000
							Black Truant 2 Boots - 3403-0929"
"1632236582-34165","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/1.pg","Scorpion
							Black Covert Tactical Vest - 3603-17"
"1632236550-33159","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/7.pg","Hot Leathers
							Black Cry Hard Onesie - GYS1016-12M"
"1632236506-31820","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/15.pg","Hot Leathers
							Motorcycle Pant Bungees - BUA2014"
"1632236506-31845","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/15.pg","Joe Rocket
							Red/Black Alter Ego 4.1 Jacket - 1802-5104"
"1632236523-32296","https://www.denniskirk.com/harley-davidson/apparel/100.ipp/12.pg","Fly Racing
							Neon Orange Fast-Pass Vest - 6179 478-6002-5"
