web-scraper-order,web-scraper-start-url,names
"1632238585-76146","https://www.denniskirk.com/motorcycle/apparel/100.ipp/21.pg","Alpinestars
							Forest Green Gravity Jacket - 3203720-680-L"
"1632238687-78717","https://www.denniskirk.com/motorcycle/apparel/100.ipp/7.pg","Alpinestars
							Caliber Leather Jacket - 3107319-80-48"
"1632238724-79717","https://www.denniskirk.com/motorcycle/apparel/100.ipp/2.pg","Tour Master
							Black Synergy 7.4-Volt Battery Powered Gloves - 8430-7405-08"
"1632238694-78966","https://www.denniskirk.com/motorcycle/apparel/100.ipp/6.pg","Z1R
							Women's Black Zephyr Jacket - 2822-0986"
"1632238550-75170","https://www.denniskirk.com/motorcycle/apparel/100.ipp/26.pg","RZ Mask
							Red V2 Exhalation Mask Valve - AC-9658:20917"
"1632238687-78787","https://www.denniskirk.com/motorcycle/apparel/100.ipp/7.pg","Klim
							Navy Transition Pants - 3254-000-140-210"
"1632238613-76873","https://www.denniskirk.com/motorcycle/apparel/100.ipp/17.pg","Alpinestars
							Black/White T-Faster Air Jacket - 3303618-12-M"
"1632238732-79973","https://www.denniskirk.com/motorcycle/apparel/100.ipp/1.pg","Klim
							Asphalt/Strike Orange Inferno Jacket - 3354-006-120-601"
"1632238694-78987","https://www.denniskirk.com/motorcycle/apparel/100.ipp/6.pg","Joe Rocket
							Women's Black/Pink Atomic Limited Jacket - 2061-5903"
"1632238530-74692","https://www.denniskirk.com/motorcycle/apparel/100.ipp/29.pg","Jack Daniels
							White Pocket T-Shirt - 15261466JD-01-XL"
"1632238673-78460","https://www.denniskirk.com/motorcycle/apparel/100.ipp/9.pg","Alpinestars
							Black HT Heat Tech Vest - 4753922-10-L"
"1632238558-75390","https://www.denniskirk.com/motorcycle/apparel/100.ipp/25.pg","Firstgear
							Women's Olive Contour Jacket - 1001-1219-0652"
"1632238550-75189","https://www.denniskirk.com/motorcycle/apparel/100.ipp/26.pg","Zan Headgear
							Silver Bullet Full Face Mask - WNFM416"
"1632238516-74227","https://www.denniskirk.com/motorcycle/apparel/100.ipp/31.pg","Yamaha Apparel
							Navy Yamaha Raceway Hat - Y19A-H362"
"1632238620-77054","https://www.denniskirk.com/motorcycle/apparel/100.ipp/16.pg","Tour Master
							Women's Black/Gray Advanced Jacket - 8736-0107-76"
"1632238592-76390","https://www.denniskirk.com/motorcycle/apparel/100.ipp/20.pg","Alpinestars
							Women's Black/Navy Stella Dyno v2 Leather Jacket - 3112518-7830-38"
"1632238573-75721","https://www.denniskirk.com/motorcycle/apparel/100.ipp/23.pg","Alpinestars
							Black/Black Crazy 8 Leather Gloves - 3509018-1100-L"
