web-scraper-order,web-scraper-start-url,names
"1632244438-169998","https://www.denniskirk.com/utv/exhaust/100.ipp/6.pg","Moose
							Pipe Armor for 450 4-Strokes - 1861-0612"
"1632244487-170788","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","Moose
							95mm Exhaust Springs - M7719"
"1632244466-170289","https://www.denniskirk.com/utv/exhaust/100.ipp/4.pg","Moose
							Exhaust Gasket Kit - 0934-5310"
"1632244482-170657","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","Bikeman Performance
							Ceramic Chrome High Performance Header - 18-302-C"
"1632244487-170786","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","Pro Circuit
							Stainless Quiet Tip End Cap for 4-Stroke Silencers - PC4012-0007"
"1632244487-170740","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","Kimpex
							Universal Bolt-On Muffler w/Spark Arrestor - 036100"
"1632244476-170460","https://www.denniskirk.com/utv/exhaust/100.ipp/3.pg","Trinity Racing
							Black Stage 5 Dual Exhaust Slip-On Mufflers - TR-4160-CB"
"1632244466-170331","https://www.denniskirk.com/utv/exhaust/100.ipp/4.pg","Moose
							Exhaust Gasket Kit - 0934-5293"
"1632244447-170193","https://www.denniskirk.com/utv/exhaust/100.ipp/5.pg","Trinity Racing
							Packing Pillow for 15 in. Muffler - TR-AP113-15"
"1632244466-170256","https://www.denniskirk.com/utv/exhaust/100.ipp/4.pg","Moose
							Exhaust Gasket Kit - 0934-5499"
"1632244466-170314","https://www.denniskirk.com/utv/exhaust/100.ipp/4.pg","HMF
							Stainless Steel Titan QS Slip-On Exhaust - 522723637487"
"1632244482-170665","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","Moose
							17.6 oz. Bag Competition Muffler Packing  - 1860-0060"
"1632244466-170251","https://www.denniskirk.com/utv/exhaust/100.ipp/4.pg","Moose
							Exhaust Gasket Kit - 0934-5304"
"1632244487-170782","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","DG
							Utility Series RCM II Slip-On - 051-5700"
"1632244487-170773","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","Big Gun
							Big Gun EVO U Series Exhaust System - 12-1453"
"1632244476-170436","https://www.denniskirk.com/utv/exhaust/100.ipp/3.pg","Bikeman Performance
							Black Double Barrel Slip-On Mufflers - 17-312-CB"
"1632244487-170779","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","Big Gun
							EVO/ECO Dura-Pak 15 in. Exhaust Packing Kit - 40-PK110"
"1632244482-170729","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","Big Gun
							EXO ATV Series Silencer - 13-24702"
"1632244487-170764","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","MBRP
							Race Pipe - AT-9208RP"
"1632244482-170655","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","Moose
							Exhaust Gasket Kit - 0934-5289"
"1632244482-170691","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","Akrapovic
							Evolution Line Titanium Exhaust System - S-Y10E5-ALAGTA"
"1632244447-170185","https://www.denniskirk.com/utv/exhaust/100.ipp/5.pg","Moose
							100mm Exhaust Springs - M7720"
"1632244482-170730","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","Big Gun
							EVO M Series Exhaust System - 10-4903"
"1632244447-170178","https://www.denniskirk.com/utv/exhaust/100.ipp/5.pg","Moose
							Exhaust Gasket Kit - 0934-5302"
"1632244482-170645","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","Bikeman Performance
							Bare Stainless Big Mo Exhaust 90 Degree Turn Out Tip - 17-ET-1-SS"
"1632244476-170442","https://www.denniskirk.com/utv/exhaust/100.ipp/3.pg","Yoshimura
							Spark Arrestor Kit - SA-06-K"
"1632244466-170244","https://www.denniskirk.com/utv/exhaust/100.ipp/4.pg","Cometic
							Exhaust Port Gasket - EX038042AM"
"1632244447-170198","https://www.denniskirk.com/utv/exhaust/100.ipp/5.pg","Trinity Racing
							Stage 5 Brushed Dual System Exhaust  - TR-4168D"
"1632244487-170733","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","Quadboss
							Universal Slip-On Muffler for 350-600CC ATV - 678001"
"1632244466-170267","https://www.denniskirk.com/utv/exhaust/100.ipp/4.pg","MBRP
							Dual Stack PowerTech 4 Slip-On Muffler - AT 9515PT"
"1632244487-170795","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","DG
							V2 Dual Slip-On Mufflers - 073-4103"
"1632244447-170135","https://www.denniskirk.com/utv/exhaust/100.ipp/5.pg","Moose
							Exhaust Gasket Kit - 0934-5323"
"1632244447-170220","https://www.denniskirk.com/utv/exhaust/100.ipp/5.pg","Moose
							Exhaust Gasket Kit - 0934-5277"
"1632244447-170132","https://www.denniskirk.com/utv/exhaust/100.ipp/5.pg","Moose
							Exhaust Gasket Kit - 0934-5297"
"1632244438-170007","https://www.denniskirk.com/utv/exhaust/100.ipp/6.pg","Trinity Racing
							Black Stage 5 Dual Exhaust System - TR-4153-CB"
"1632244487-170793","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","HMF
							Stainless Steel Titan Slip-On Exhaust - 535773637487"
"1632244447-170200","https://www.denniskirk.com/utv/exhaust/100.ipp/5.pg","Trinity Racing
							Stage 5 Brushed Dual Slip-On Muffler  - TR-4167S"
"1632244466-170243","https://www.denniskirk.com/utv/exhaust/100.ipp/4.pg","Big Gun
							EXO Stainless UTV Series Silencer - 14-7972"
"1632244447-170206","https://www.denniskirk.com/utv/exhaust/100.ipp/5.pg","Cycle Performance
							Red 8in. Stainless Steel Tie Wraps - CPP/9074"
"1632244438-170025","https://www.denniskirk.com/utv/exhaust/100.ipp/6.pg","Cycle Performance
							Black 8in. Ladder Style Stainless Steel Tie Wraps - CPP/9078"
"1632244487-170737","https://www.denniskirk.com/utv/exhaust/100.ipp/1.pg","MBRP
							Black Performance Slip-On Muffler - AT 8513P"
"1632244476-170444","https://www.denniskirk.com/utv/exhaust/100.ipp/3.pg","MBRP
							Round Performance Slip-On Muffler - AT-9708PT"
"1632244466-170235","https://www.denniskirk.com/utv/exhaust/100.ipp/4.pg","Big Gun
							EVO U Series Silencer - 12-7982"
"1632244438-169982","https://www.denniskirk.com/utv/exhaust/100.ipp/6.pg","Cometic
							Exhaust Port Gasket - EX817"
"1632244438-169959","https://www.denniskirk.com/utv/exhaust/100.ipp/6.pg","Trinity Racing
							Black Stage 5 Dual Exhaust System - TR-4162D-BK"
"1632244482-170723","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","MBRP
							Black Sport Slip-On Muffler - AT 6107SP"
"1632244476-170453","https://www.denniskirk.com/utv/exhaust/100.ipp/3.pg","Trinity Racing
							Brushed Stage 5 Slip-On Mufflers - TR-4158F"
"1632244482-170668","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","MBRP
							Dual Stack Slip-On Muffler - AT-9522PT"
"1632244438-169972","https://www.denniskirk.com/utv/exhaust/100.ipp/6.pg","S&S Cycle
							Stainless Steel Power Tune Muffler - 550-1042"
"1632244482-170654","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","DG
							Sport Series RCM II Slip-Ons w/ Spark Arrestor - 051-5760"
"1632244466-170311","https://www.denniskirk.com/utv/exhaust/100.ipp/4.pg","Trinity Racing
							Stage 5 Cerakote Dual Slip-On Muffler - TR-4118S-CB"
"1632244438-170019","https://www.denniskirk.com/utv/exhaust/100.ipp/6.pg","HMF
							Stainless Steel Titan Slip-On Exhaust - 535713607487"
"1632244438-169968","https://www.denniskirk.com/utv/exhaust/100.ipp/6.pg","Trinity Racing
							Stage 5 Exhaust System - TR-4174D-BK"
"1632244438-169979","https://www.denniskirk.com/utv/exhaust/100.ipp/6.pg","Big Gun
							EXO Stainless UTV Series Silencer - 14-6922"
"1632244482-170720","https://www.denniskirk.com/utv/exhaust/100.ipp/2.pg","Big Gun
							EVO U Series Silencer - 12-2352"
