web-scraper-order,web-scraper-start-url,names
"1632235731-16216","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/2.pg","Speed Merchant
							Brushed Finish Skid Plate  - SM-STSPBR"
"1632235726-16058","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/3.pg","Pro Pad
							6 in. x 9 in. Come and Take Flage - FLG-MNLB"
"1632235731-16228","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/2.pg","Pro Pad
							Air Wing Rack Flag Mount - RFM-RDVM15"
"1632235731-16241","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/2.pg","Trask
							Black Assault Armor Skid Plate  - TM-5903"
"1632235717-15773","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/5.pg","Pro Pad
							10 in. x 15 in. Coast Guard Flag  - FLG-CG15"
"1632235720-15818","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/4.pg","Pro Pad
							10"" x 15"" Support Our Troops Motorcycle Flag - FLG-SOT15"
"1632235726-16027","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/3.pg","Kuryakyn
							Universal Drink Ring for 1 in. Bar  w/Beverage Carrier - 1488"
"1632235720-15843","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/4.pg","AMiGAZ
							Chrome Ball Chain Key Leash - NC12-8"
"1632235726-16010","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/3.pg","Pro Pad
							Tour Pack Solid Flag Mounts for 5/8 in. Bars - RFM-FXD515-USA"
"1632235717-15797","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/5.pg","Pro Pad
							10 in. x 15 in. Air Force Flag  - FLG-AF15"
"1632235726-16032","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/3.pg","Oxford
							Black/Silver Aquatex Motorcycle Cover - CV204"
"1632235731-16229","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/2.pg","Nelson-Rigg
							Deluxe Cover - Medium - MC-904-02-MD"
"1632235731-16277","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/2.pg","Kuryakyn
							Beverage Carrier - 1459"
"1632235731-16291","https://www.denniskirk.com/harley-davidson/accessories/100.ipp/2.pg","Ciro
							Black Big Ass Drink Holder w/Mount - 50913"
