web-scraper-order,web-scraper-start-url,name
"1629136195-28260","https://www.ecstuning.com/b-ams-performance-parts/2","AMS Performance 2009+ Nissan GT-R R35 Alpha Dual Pass Radiator Upgrade"
"1629136178-28225","https://www.ecstuning.com/b-ams-performance-parts/3","Alpha Performance Center Heat Exchanger"
"1629136222-28296","https://www.ecstuning.com/b-ams-performance-parts/1","Alpha Performance 2012+ Audi C7 S6/S7 Downpipes"
"1629136195-28259","https://www.ecstuning.com/b-ams-performance-parts/2","Alpha Performance M157 / M278 / M133 Auxiliary Heat Exchanger Upgrade"
"1629136222-28297","https://www.ecstuning.com/b-ams-performance-parts/1","Alpha Performance Audi C7 S6/S7 Turbo Cooler System"
"1629136195-28258","https://www.ecstuning.com/b-ams-performance-parts/2","AMS Performance 2009+ Nissan GT-R R35 Alpha Coolant Expansion Tank Kit"
"1629136222-28302","https://www.ecstuning.com/b-ams-performance-parts/1","Alpha Performance Carbon Fiber Performance Intake System"
"1629136222-28305","https://www.ecstuning.com/b-ams-performance-parts/1","Alpha Performance Audi B8 Supercharger Cooler System"
"1629136195-28265","https://www.ecstuning.com/b-ams-performance-parts/2","Alpha Performance Porsche Macan Intercooler System"
"1629136195-28262","https://www.ecstuning.com/b-ams-performance-parts/2","AMS Performance 2009+ Nissan GT-R R35 Alpha Air Oil Separator"
"1629136222-28300","https://www.ecstuning.com/b-ams-performance-parts/1","AMS 3"" Stainless Steel Downpipe With High-Flow Catalytic Converter"
"1629136195-28263","https://www.ecstuning.com/b-ams-performance-parts/2","Alpha Performance Audi S4 B8 Supercharger Cooler System"
"1629136195-28256","https://www.ecstuning.com/b-ams-performance-parts/2","Alpha Performance Auxiliary Heat Exchanger Upgrade"
"1629136195-28261","https://www.ecstuning.com/b-ams-performance-parts/2","Alpha Performance Turbo Cooler System"
"1629136195-28257","https://www.ecstuning.com/b-ams-performance-parts/2","Front Mount Intercooler Kit"
"1629136222-28303","https://www.ecstuning.com/b-ams-performance-parts/1","Turbo Charge Pipe Kit"
"1629136195-28264","https://www.ecstuning.com/b-ams-performance-parts/2","Alpha Performance Porsche Macan Downpipes"
"1629136222-28301","https://www.ecstuning.com/b-ams-performance-parts/1","Alpha Performance Performance Intake System"
"1629136222-28298","https://www.ecstuning.com/b-ams-performance-parts/1","AMS Performance MK7 Golf R Carbon Fiber Intake"
"1629136222-28304","https://www.ecstuning.com/b-ams-performance-parts/1","AMS Performance Turbo Muffler Delete"
"1629136222-28299","https://www.ecstuning.com/b-ams-performance-parts/1","M133 AMG Alpha Intercooler"
