web-scraper-order,web-scraper-start-url,subcat,subcat-href,name
"1629114595-14896","https://www.ecstuning.com/shop-by-brand/","Voxx wheels (110)","https://www.ecstuning.com/b-voxx-wheels-parts/","15"" MGA - Set Of Four"
"1629124577-18403","https://www.ecstuning.com/shop-by-brand/","CTA Tools (1838)","https://www.ecstuning.com/b-cta-tools-parts/","Valve Spring Compressor Kit"
"1629116680-15530","https://www.ecstuning.com/shop-by-brand/","Siliconehoses.com (10)","https://www.ecstuning.com/b-siliconehoses.com-parts/","Straight 3"" Coupler"
"1629120543-17304","https://www.ecstuning.com/shop-by-brand/","Induktiv (14)","https://www.ecstuning.com/b-induktiv-parts/","Induktiv Wireless Device Charging Unit Pre-Installed in Center Console Tray - E9x"
"1629123010-17813","https://www.ecstuning.com/shop-by-brand/","FrankenTurbo (15)","https://www.ecstuning.com/b-frankenturbo-parts/","F21M Hybrid Turbocharger"
"1629125198-18950","https://www.ecstuning.com/shop-by-brand/","Autometer (8)","https://www.ecstuning.com/b-autometer-parts/","Autometer Ultra-Lite 52mm Wideband Air/Fuel Gauge"
"1629117213-15641","https://www.ecstuning.com/shop-by-brand/","SAS Safety (5)","https://www.ecstuning.com/b-sas-safety-parts/","EAR PLUGS-MEDIUM"
"1629119878-17010","https://www.ecstuning.com/shop-by-brand/","Kreissieg Exhaust (3)","https://www.ecstuning.com/b-kreissieg-exhaust-parts/","M5 Valvetronic Exhaust System"
"1629119810-16951","https://www.ecstuning.com/shop-by-brand/","LEAP (62)","https://www.ecstuning.com/b-leap-parts/","Door Armrest Replacement Carbon Fiber - Pair"
"1629124457-18287","https://www.ecstuning.com/shop-by-brand/","Diversified Shafts Solutions (7)","https://www.ecstuning.com/b-diversified-shafts-solutions-parts/","Drive Axle Assembly - Priced Each"
"1629123049-17842","https://www.ecstuning.com/shop-by-brand/","Fluidyne (6)","https://www.ecstuning.com/b-fluidyne-parts/","Fluidyne Oil/Trans Cooler - DB-30816-24"
"1629119496-16682","https://www.ecstuning.com/shop-by-brand/","Mintex (84)","https://www.ecstuning.com/b-mintex-parts/","Red Box Brake Pads"
"1629118889-16109","https://www.ecstuning.com/shop-by-brand/","Pilenga (122)","https://www.ecstuning.com/b-pilenga-parts/","Pilenga Plain Front Rotor - Priced Each (286x12)"
"1629115112-15223","https://www.ecstuning.com/shop-by-brand/","Titan 7 (40)","https://www.ecstuning.com/b-titan-7-parts/","Titan 7 T-S5 18"" Machine Black Square Set Of Four"
"1629118868-16099","https://www.ecstuning.com/shop-by-brand/","Planted Technology (7)","https://www.ecstuning.com/b-planted-technology-parts/","PLANTED SEAT BRACKET- BMW 2 SERIES COUPE [F22 CHASSIS] (2014+) - PASSENGER / RIGHT"
"1629124880-18683","https://www.ecstuning.com/shop-by-brand/","Brisk (55)","https://www.ecstuning.com/b-brisk-parts/","Brisk Silver Racing ER12YS Spark Plugs - Set Of Four"
"1629124997-18798","https://www.ecstuning.com/shop-by-brand/","Bimmian PaintWerke (7)","https://www.ecstuning.com/b-bimmian-paintwerke-parts/","Pre-painted Replacement Grille Set - Imola Red (405)"
"1629119639-16802","https://www.ecstuning.com/shop-by-brand/","Maval (45)","https://www.ecstuning.com/b-maval-parts/","Remanufactured Hydraulic Pump"
"1629119738-16880","https://www.ecstuning.com/shop-by-brand/","LUK (1920)","https://www.ecstuning.com/b-luk-parts/","Dual-Mass Flywheel - SMG Transmission"
"1629115525-15309","https://www.ecstuning.com/shop-by-brand/","Swift (13)","https://www.ecstuning.com/b-swift-parts/","Swift Spec-R Springs For 2009-2016 Nissan 370Z [Z34] (4N905R)"
"1629122972-17790","https://www.ecstuning.com/shop-by-brand/","Fuchs (23)","https://www.ecstuning.com/b-fuchs-parts/","Titan Dual Clutch Transmission Fluid - 1 Liter"
"1629124520-18340","https://www.ecstuning.com/shop-by-brand/","DEC (27)","https://www.ecstuning.com/b-dec-parts/","Exhaust Pipe With Catalytic Converter"
"1629114451-14805","https://www.ecstuning.com/shop-by-brand/","Wiseco (35)","https://www.ecstuning.com/b-wiseco-parts/","Wiseco BMW Turbo 84.50MM Bore +0.50 Oversized 8.8:1 CR Pistons"
"1629124774-18596","https://www.ecstuning.com/shop-by-brand/","Carillo (32)","https://www.ecstuning.com/b-carillo-parts/","Carrillo Forged Connecting Rod Set BM_BR56_OHS_5454B5S-04"
"1629120912-17420","https://www.ecstuning.com/shop-by-brand/","Hepu (65)","https://www.ecstuning.com/b-hepu-parts/","Water Pump"
"1629121358-17537","https://www.ecstuning.com/shop-by-brand/","Grant (4)","https://www.ecstuning.com/b-grant-parts/","Piston Ring Set"
"1629120747-17344","https://www.ecstuning.com/shop-by-brand/","Hutchinson Worldwide (24)","https://www.ecstuning.com/b-hutchinson-worldwide-parts/","Transmission Support Bracket / Mount"
"1629126428-19135","https://www.ecstuning.com/shop-by-brand/","AME Intl. (2)","https://www.ecstuning.com/b-ame-intl.-parts/","Hub Buddy XL Impact Rated Lug Surface Cleaner"
"1629124661-18486","https://www.ecstuning.com/shop-by-brand/","Cometic (95)","https://www.ecstuning.com/b-cometic-parts/","BMW M54B25, M54tuB25 2.5L / M54tuB28 2.8L / M54B30 3.0L MLS Head Gasket"
"1629124869-18664","https://www.ecstuning.com/shop-by-brand/","Brosol (1)","https://www.ecstuning.com/b-brosol-parts/","Fuel Pump With Gasket"
"1629119444-16646","https://www.ecstuning.com/shop-by-brand/","MOMO (78)","https://www.ecstuning.com/b-momo-parts/","MOMO Nero Shift Knob"
"1629114821-15097","https://www.ecstuning.com/shop-by-brand/","Unitronic (203)","https://www.ecstuning.com/b-unitronic-parts/","Unitronic Downpipe 2.0 TSI Gen 3 FWD MQB"
"1629124630-18454","https://www.ecstuning.com/shop-by-brand/","Corbeau (209)","https://www.ecstuning.com/b-corbeau-parts/","Corbeau RRB Seats - Build Your Own Pair"
"1629117213-15645","https://www.ecstuning.com/shop-by-brand/","SAS Safety (5)","https://www.ecstuning.com/b-sas-safety-parts/","Deluxe Clear Face Shield"
"1629119469-16664","https://www.ecstuning.com/shop-by-brand/","MKAH Motorsports (68)","https://www.ecstuning.com/b-mkah-motorsports-parts/","Race Splitter - E36"
"1629114469-14826","https://www.ecstuning.com/shop-by-brand/","Wiechers Sport (500)","https://www.ecstuning.com/b-wiechers-sport-parts/","Front Racingline Strut Tower Brace - Aluminum"
"1629119514-16694","https://www.ecstuning.com/shop-by-brand/","Milltek Sport (1674)","https://www.ecstuning.com/b-milltek-sport-parts/","3"" Cat-Back Exhaust System - Resonated"
"1629119586-16751","https://www.ecstuning.com/shop-by-brand/","Meguiars (22)","https://www.ecstuning.com/b-meguiars-parts/","Hot Rims™ Wheel & Tire Cleaner"
"1629125092-18884","https://www.ecstuning.com/shop-by-brand/","Bay State (2)","https://www.ecstuning.com/b-bay-state-parts/","CV Boot Kit"
"1629118417-15764","https://www.ecstuning.com/shop-by-brand/","RK Autowerks (5)","https://www.ecstuning.com/b-rk-autowerks-parts/","RK Autowerks Carbon Fiber Intake Kit - E70 X5M"
"1629118616-15894","https://www.ecstuning.com/shop-by-brand/","Racequip (388)","https://www.ecstuning.com/b-racequip-parts/","SA-2010 AMBER SHIELD"
"1629124368-18171","https://www.ecstuning.com/shop-by-brand/","EBC (21993)","https://www.ecstuning.com/b-ebc-parts/","Front & Rear RedStuff Performance Brake Pad Kit"
"1629121493-17558","https://www.ecstuning.com/shop-by-brand/","Goldenwrench Supply Co (18)","https://www.ecstuning.com/b-goldenwrench-supply-co-parts/","BLACKLINE Performance Fuel Cap Cover - Gray"
"1629125288-19002","https://www.ecstuning.com/shop-by-brand/","ATE Premium One (23)","https://www.ecstuning.com/b-ate-premium-one-parts/","Rear Brake Rotors - Pair"
"1629121162-17480","https://www.ecstuning.com/shop-by-brand/","HARD Motorsport (86)","https://www.ecstuning.com/b-hard-motorsport-parts/","HARD Motorsport Fender Flares V2"
"1629116771-15569","https://www.ecstuning.com/shop-by-brand/","Seibon (145)","https://www.ecstuning.com/b-seibon-parts/","Carbon Fiber Hood"
"1629124479-18306","https://www.ecstuning.com/shop-by-brand/","Diffs by Turner (42)","https://www.ecstuning.com/b-diffs-by-turner-parts/","E36 Differential Upgrade - Custom Options"
"1629127074-19268","https://www.ecstuning.com/shop-by-brand/","Active Autowerke (108)","https://www.ecstuning.com/b-active-autowerke-parts/","M3 Supercharger kit level 1 - E36 M3 S50"
