web-scraper-order,web-scraper-start-url,nnn
1631656841-6855,https://www.officedepot.com/a/browse/nuts-and-bars/N=5+1418018/,"Wonderful Pistachios, Roasted And Salted, 1.25 Oz, Box Of 12 Packs"
1631656841-7012,https://www.officedepot.com/a/browse/nuts-and-bars/N=5+1418018/,"Quaker Oats Foods Breakfast Squares Soft Baked Bars - Individually Wrapped, No A...4.5 out of 5 stars. 2 reviews"
1631656841-7152,https://www.officedepot.com/a/browse/nuts-and-bars/N=5+1418018/,"Superior Nut Honey Roasted Cashew Snack Mix, 6 Oz, Pack Of 6 Bags5.0 out of 5 stars. 1 review"
1631656841-7267,https://www.officedepot.com/a/browse/nuts-and-bars/N=5+1418018/,"KIND Dark Chocolate Roasted Peanut Bark, 3.6 Oz, Pack Of 2 Pouches4.8 out of 5 stars. 29 reviews"
1631656841-7283,https://www.officedepot.com/a/browse/nuts-and-bars/N=5+1418018/,"thinkTHIN Chunky Chocolate Peanut Protein Bars, 1.41 Oz, Box Of 10 Bars"
1631656841-7401,https://www.officedepot.com/a/browse/nuts-and-bars/N=5+1418018/,"Superior Nut Party Peanuts, 56 oz5.0 out of 5 stars. 4 reviews"
1631656841-6765,https://www.officedepot.com/a/browse/nuts-and-bars/N=5+1418018/,"KAR'S Trail Mix Mixed Nuts Variety Pack, 24 Count4.4 out of 5 stars. 7 reviews"
1631656841-7253,https://www.officedepot.com/a/browse/nuts-and-bars/N=5+1418018/,"Kraft Corn Nuts Ranch, 4 oz, 12 Count4.6 out of 5 stars. 87 reviews"
1631656841-6926,https://www.officedepot.com/a/browse/nuts-and-bars/N=5+1418018/,"Clif® Bar Nut Butter Filled Coconut Almond Butter Bars, 1.76 Oz, Box Of 12 Bars4.9 out of 5 stars. 49 reviews"
1631656841-7374,https://www.officedepot.com/a/browse/nuts-and-bars/N=5+1418018/,"Wonderful No Shell Honey-Roasted Pistachios, 22 Oz0.0 out of 5 stars."
