web-scraper-order,web-scraper-start-url,nnn
1631652930-4613,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,Lance Toast Chee Peanut Butter Cracker Sandwiches - Individually Wrapped - Peanu...0.0 out of 5 stars.
1631652930-4698,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Lorna Doone Shortbread Cookies, 1 Oz, 4 Cookies Per Pack, Box Of 120 Packs"
1631652930-4590,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Austin® Zoo Animal Crackers, 2 Oz, Case Of 364.6 out of 5 stars. 55 reviews"
1631652930-4795,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Mikaela's Simply Divine Biscotti Cookies, Butterscotch Toffee Pecan, Box Of 96 C...0.0 out of 5 stars."
1631652930-4798,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Mikaela's Simply Divine Biscotti Cookies, Chocolate Mint, 6 Oz, Box Of 80.0 out of 5 stars."
1631652930-4708,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Keebler Cookie And Cracker Variety Pack, Pack Of 45 Pouches"
1631652930-4627,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Grandma's Cookies, Variety Pack, Box Of 36 Bags4.9 out of 5 stars. 84 reviews"
1631652930-4760,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Mrs. Fields White Chunk Macadamia Cookies, Box Of 125.0 out of 5 stars. 4 reviews"
1631652930-4695,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"De Beukelaer® Creme De Pirouline Wafers, 14 Oz Tin"
1631652930-4688,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Mrs. Fields White Chunk Macadamia Cookies, Box Of 12"
1631652930-4741,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Nabisco® Cookie Mini Variety Pack, 1 Oz, Box Of 125.0 out of 5 stars. 2 reviews"
1631652930-4625,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Nabisco Honey Maid Teddy Graham Snacks, Honey, 1 Oz, Pack Of 48 Pouches0.0 out of 5 stars."
1631652930-4782,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Mikaela's Simply Divine Biscotti Cookies, Chocolate Chip, 6 Oz, Box Of 80.0 out of 5 stars."
1631652930-4727,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Walkers Shortbread Finger Cookies, 36 Oz, Box Of 245.0 out of 5 stars. 5 reviews"
1631652930-4793,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Mikaela's Simply Divine Biscotti Cookies, Chocolate Brownie, 6 Oz, Box Of 80.0 out of 5 stars."
1631652930-4643,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Nonni's Salted Caramel Biscotti, 0.84 Oz, Tub Of 25 Biscotti4.5 out of 5 stars. 8 reviews"
1631652930-4787,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Gerrit J. Verburg Company Satellite Wafers, 1.65-Lb Box, Pack Of 240 Pieces3.0 out of 5 stars. 4 reviews"
1631652930-4730,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Wellsley Farms Natural Animal Crackers, 62 Oz Tub0.0 out of 5 stars."
1631652930-4630,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Danish Butter Cookies, 3-Lb Tin4.8 out of 5 stars. 63 reviews"
1631652930-4626,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Lorna Doone Shortbread Cookies, 1 Oz, 4 Cookies Per Pack, Box Of 120 Packs5.0 out of 5 stars. 1 review"
1631652930-4624,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Nonni's Biscotti Cioccolati, Tub Of 254.7 out of 5 stars. 11 reviews"
1631652930-4709,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Lance Assorted Cookies And Crackers, 1.38 Oz, Box Of 24 Packs"
1631652930-4612,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"NATURE VALLEY Biscuits Variety Pack, 1.35 Oz, Pack Of 30 Biscuits0.0 out of 5 stars."
1631652930-4749,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Mrs. Fields Milk Chocolate Chip Cookies, 1 Oz, Pack Of 30 Cookies4.9 out of 5 stars. 7 reviews"
1631652930-4788,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Mikaela's Simply Divine Biscotti Cookies, Chocolate Brownie, Box Of 96 Cookies0.0 out of 5 stars."
1631652930-4618,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Oreo Double Stuff Sandwich Cookies, Box Of 48 Packs0.0 out of 5 stars."
1631652930-4761,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Nabisco Honey Maid Honey Graham Crackers, 14.4 Oz Box, Pack of 45.0 out of 5 stars. 2 reviews"
1631652930-4637,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Lance Assorted Cookies And Crackers, 1.38 Oz, Box Of 24 Packs4.3 out of 5 stars. 15 reviews"
1631652930-4632,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Lance Cookie And Cracker Variety Pack, Pack Of 36 Pouches4.8 out of 5 stars. 16 reviews"
1631652930-4640,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Special K Pastry Crisps Variety Pack, Fruit, 30 Crisps Per Box, Case Of 2 Boxes0.0 out of 5 stars."
1631652930-4712,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Special K Pastry Crisps Variety Pack, Fruit, 30 Crisps Per Box, Case Of 2 Boxes"
1631652930-4623,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"De Beukelaer® Creme De Pirouline Wafers, 14 Oz Tin4.9 out of 5 stars. 20 reviews"
1631652930-4715,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Nonni's Salted Caramel Biscotti, 0.84 Oz, Tub Of 25 Biscotti"
1631652930-4673,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Keebler® Fudge Stripes Cookies, 2 Oz, Box Of 8"
1631652930-4678,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,Keebler Grahams Honey Crackers - Individually Wrapped - Honey - 0.49 oz - 200 / ...
1631652930-4766,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Brownie Brittle Salted Caramel, 2.75 Oz, Case Of 8 Bags0.0 out of 5 stars."
1631652930-4655,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Nabisco® Oreos, 3.3-Lb Box, Pack Of 10"
1631652930-4729,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Stauffer's® Animal Crackers Bear Tub, 24 oz.4.5 out of 5 stars. 15 reviews"
1631652930-4679,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Walkers Shortbread Finger Cookies, 36 Oz, Box Of 24"
1631652930-4734,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Oreo® Sandwich Cookies, Chocolate, 2.4 Oz, Box Of 124.5 out of 5 stars. 8 reviews"
1631652930-4580,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Biscoff Gourmet Cookies, 31.2 Oz, Case Of 100 Bags4.6 out of 5 stars. 33 reviews"
1631652930-4676,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Snack Box Pros Quarantine Snack Box, Box Of 42 Snacks"
1631652930-4790,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Famous Amos Chocolate Chip Cookies, 2 Oz, Box Of 36 Bags4.8 out of 5 stars. 16 reviews"
1631652930-4707,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Biscoff® Twin Pack Gourmet Cookies, 0.9 Oz, Box Of 20"
1631652930-4629,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,"Famous Amos Chocolate Chip Cookies, 2-Oz Bag, Pack Of 364.8 out of 5 stars. 4 reviews"
1631652930-4615,https://www.officedepot.com/a/browse/cookies/N=5+1418012/,Quaker Oats Grandma's Vanilla Mini Cookie Cremes - Vanilla - 2.12 oz - 60 / Cart...0.0 out of 5 stars.
