web-scraper-order,web-scraper-start-url,nnn
1631656747-6488,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Jelly Belly® Jelly Beans, Berry Blue, 2-Lb Bag"
1631656747-6746,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Twizzlers Pull 'n' Peel, Cherry, 28-Oz Bags, Pack Of 2 Bags4.1 out of 5 stars. 36 reviews"
1631656747-6302,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Skittles® Original Fruit Candy, 2.17 Oz. Bag"
1631656747-6474,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Jelly Belly® Jelly Beans, Sunkist Lemon, 2-Lb Bag"
1631656747-6381,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Swedish Fish, 2 Oz, Pack Of 24 Boxes"
1631656747-6365,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Starburst Fruit Chews Original Variety, 50 oz"
1631656747-6394,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Life Savers® Gummies® Five Flavors, 7 Oz Bag"
1631656747-6615,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Jelly Belly® Jelly Beans, Very Cherry, 2-Lb Bag5.0 out of 5 stars. 1 review"
1631656747-6666,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,Snack Box Pros Fruit Snack Variety Box0.0 out of 5 stars.
1631656747-6360,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Yummy Earth Pomegranate Pucker Gummy Bears, 2 Oz, Pack Of 12 Bags"
1631656747-6432,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,Office Snax Skittles/Starburst Bulk Fun Pack Mix - 5 lb - 1 Box Per Box
1631656747-6393,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Haribo Twin Snakes, 5 Oz, Pack Of 12"
1631656747-6630,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Red Vines Variety Tray Box, 5 Oz, Pack Of 64.8 out of 5 stars. 10 reviews"
1631656747-6454,https://www.officedepot.com/a/browse/licorice-and-gummy-snacks/N=5+1418017/,"Skittles Variety Pack, Box Of 34 Pouches"
