web-scraper-order,web-scraper-start-url,nnn
1631644770-2515,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Libbey Glassware Glass Wine Decanter, 10 Oz, Clear0.0 out of 5 stars."
1631644770-2505,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Bunn® Pour-O-Matic 12-Cup Decanter, Decaffeinated, Clear/Orange5.0 out of 5 stars. 2 reviews"
1631644770-2513,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Cambro Camwear® Camliter® Beverage Decanter, 50 Oz, Clear5.0 out of 5 stars. 1 review"
1631644770-2502,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,Bunn® Pour-O-Matic 12-Cup Unbreakable Decanter2.7 out of 5 stars. 6 reviews
1631644770-2506,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"BUNN Easy Pour 12 Cup Commercial Coffee Decanter, Decaffeinated, Orange Handle0.0 out of 5 stars."
1631644770-2514,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Coffee Pro 12-Cup Glass Decaf Coffee Decanter, Orange1.0 out of 5 stars. 1 review"
1631644770-2508,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Bunn 12-Cup Coffee Decanter For Pour-O-Matic Coffeemakers, Black/Clear/Stainless...5.0 out of 5 stars. 1 review"
1631644770-2503,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Coffee Pro 12-Cup Unbreakable Coffee Decanter, Black/Clear/Silver2.6 out of 5 stars. 5 reviews"
1631644770-2509,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Cambro CamView Camliter Beverage Decanter, 34 Oz, Clear0.0 out of 5 stars."
1631644770-2504,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,null
1631644770-2511,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Winco 64-Oz Plastic Coffee Decanter, Clear/Black1.0 out of 5 stars. 1 review"
1631644770-2507,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Coffee Pro 12-Cup Polycarbonate Decaf Unbreakable Coffee Decanter, Clear/Orange3.0 out of 5 stars. 2 reviews"
1631644770-2501,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Bunn® Pour-O-Matic 12-Cup Decanter, Regular, Clear/Black4.5 out of 5 stars. 10 reviews"
1631644770-2512,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Cambro Camwear Camliter Beverage Decanter, 16.9 Oz, Clear0.0 out of 5 stars."
1631644770-2510,https://www.officedepot.com/a/browse/coffee-pots/N=5+1154877/,"Libbey Glassware Glass Decanter, 6 Oz, Clear0.0 out of 5 stars."
