web-scraper-order,web-scraper-start-url,nnn
"1631649335-3754","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","National Brand Fresh Organic Petite Baby Carrots, 3-Lb Bag4.7 out of 5 stars. 6 reviews"
"1631649335-3761","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","National Brand Fresh Organic Bananas, 3 Lb, Pack Of 2 Bunches3.9 out of 5 stars. 8 reviews"
"1631649335-3758","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","Jade Food Products Seedless Li Hing0.0 out of 5 stars."
"1631649335-3752","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","National Brand Fresh Gala Apples, Pack Of 85.0 out of 5 stars. 2 reviews"
"1631649335-3759","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","Jade Food Products Red Li Hing Mui Crackseed0.0 out of 5 stars."
"1631649335-3755","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","National Brand Fresh Lemons, 3-Lb Bag5.0 out of 5 stars. 2 reviews"
"1631649335-3757","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","National Brand Fresh Bananas, 3 Lb, Pack Of 2 Bunches1.0 out of 5 stars. 1 review"
"1631649335-3756","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","National Brand Fresh Gold Kiwi, 48 Oz4.0 out of 5 stars. 1 review"
"1631649335-3751","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","National Brand Fresh Premium Seedless Oranges, 8 Lb4.0 out of 5 stars. 14 reviews"
"1631649335-3760","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","Jade Food Products Rock Salt Plum Crackseed5.0 out of 5 stars. 1 review"
"1631649335-3762","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","National Brand Fresh Avocados, Pack Of 5 Avocados5.0 out of 5 stars. 3 reviews"
"1631649335-3753","https://www.officedepot.com/a/browse/fruits-and-vegetables/N=5+1418025/","National Brand Fresh Fuji Apples, Pack Of 80.0 out of 5 stars."
