web-scraper-order,web-scraper-start-url,nnn
1631787342-1274,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"3M™ Doodlebug™ Pads, Scrub 'n Strip, 4 5/8"" x 10"", Brown, 5 Pads Per Box, Case O...0.0 out of 5 stars."
1631787342-1485,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"O-Cel-O StayFresh Sponges - 5.8"" Height x 4.6"" Width x 4.6"" Depth - 40/Carton - ...0.0 out of 5 stars."
1631787342-1325,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"Scotch-Brite™ Medium-Duty No. 74CC Scrub Sponges, Pack Of 100.0 out of 5 stars."
1631787342-1452,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"Genuine Joe Dual-Sided Melamine Eraser Amazing Sponges - 4.5"" Height x 4.5"" Widt...0.0 out of 5 stars."
1631787342-1454,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"SKILCRAFT® Cellulose Scrubber Sponges, 4-1/2"" x 2-3/4"", Yellow, Pack Of 3 Sponge...5.0 out of 5 stars. 1 review"
1631787342-1416,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"Scotch-Brite™ 2000HEX Low-Scratch Scour Pads, 5-3/4"" x 5"", Blue, Pack Of 15 Pads0.0 out of 5 stars."
1631787342-1440,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"GMT Steel Wool Hand Pads, #0000 Super Fine, 16 Pads Per Pack, Carton of 12 Packs0.0 out of 5 stars."
1631787342-1206,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"Niagara™ Griddle Pad 46N, 4"" x 5 1/4"", Case Of 20 Pads"
1631787342-1377,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"S.O.S All Surface Scrubber Sponge - 5.3"" Height x 3"" Width x 0.9"" Depth - 2016/B...0.0 out of 5 stars."
1631787342-1146,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"3M Scotch-Brite™ Cellulose Medium-Duty Scrubbing Sponge, 6 1/4""H x 3 1/2""W x 3/4..."
1631787342-1278,https://www.officedepot.com/a/browse/sponges/N=5+1176188/,"Scotch-Brite Nonscratch Scrub Dots Sponge - 11.7"" Height x 2.3"" Width x 2.5"" Dep...4.3 out of 5 stars. 98 reviews"
