web-scraper-order,web-scraper-start-url,nnn
1631786824-460,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore Pro Squeegee - Rubber Blade - Ergonomic Handle, Changeable Blade, Non-sli..."
1631786824-449,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore Wipe 'n Dry Floor Squeegee - 22"" Rubber Blade - Durable, Rust Resistant, ..."
1631786824-363,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Pro® Stainless Steel Window Squeegee, 12"" Rubber Blade"
1631786824-362,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Boardwalk® Rubber General-Duty Squeegee, 8""W, Black/Red"
1631786824-452,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger® 24"" Auto Squeegee, Black"
1631786824-423,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Carlisle Foam Rubber Floor Squeegee, 22"""
1631786824-398,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Carlisle Spectrum® Floor Squeegee, 24"""
1631786824-367,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore All-purpose Squeegee - Rubber Blade - Plastic Handle - Lightweight, Strea..."
1631786824-409,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"simplehuman® Foldaway Squeegee, Die-cast Zinc & Anodized Aluminum"
1631786824-401,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"SKILCRAFT 24"" FlexSweep Squeegee with Handle - 58"" Aluminum Handle - Heavy Duty,..."
1631786824-446,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger GoldenClip®/GoldenPRO Brass Squeegee Channels, 10"", Pack Of 10 Channels"
1631786824-421,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Quick Floor Sweeper, Rubber Bristles, 42"" Aluminum Handle, White"
1631786824-437,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore Scrubber Metal Handle Auto Squeegee - 8"" Rubber Blade - Aluminum Handle -..."
1631786824-407,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Impact Products Window Cleaner/Sponge Squeegee - 20"" Polypropylene Handle - Blac..."
1631786824-392,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger 18"" Pro Stainless Steel Complete Squeegee - 18"" Blade - Non-slip Grip, Erg..."
1631786824-360,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger Professional Window Cleaning Kit, 56"""
1631786824-448,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger® Aquadozer® Eco Floor Rubber Squeegee, 18"", Black"
1631786824-461,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore Pro+ Squeegee - Rubber Blade - Ergonomic Handle, Changeable Blade, Non-sl..."
1631786824-463,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger® Pro Stainless-Steel Window Squeegee, 18""W, Black"
1631786824-453,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger® Pro Stainless-Steel Squeegee Handle, Black/Steel"
1631786824-406,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Rubbermaid® Indoor/Outdoor Rubber Floor Squeegee, 18"""
1631786824-456,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Carlisle Handheld Window Squeegee, 14""W, Black"
1631786824-436,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Alpine Heavy-Duty Dual Moss Floor Squeegee With Handle, 18"" x 50"", Yellow"
1631786824-430,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore Wipe 'n Dry 18"" Floor Squeegee - Rubber Blade - Durable, Built-in Splash ..."
1631786824-427,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore Brass Squeegee - Rubber Blade - Lightweight, Changeable Blade, Streak-fre..."
1631786824-418,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger® Original StripWasher Replacement Cloth Sleeve, 18""W, White"
1631786824-404,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger Aquadozer Heavy Duty Floor Squeegee, 30 Inch Blade, Green/Black Rubber, St..."
1631786824-444,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger Auto Squeegee Scrubber - 8"" Blade - 18"" Plastic Handle - Heavy Duty - Blac..."
1631786824-441,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Winco Rubber Floor Squeegee, 24"" x 2"", Black"
1631786824-468,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger GoldenClip®/GoldenPRO Brass Squeegee Channels, 16"", Pack Of 10 Channels"
1631786824-467,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger VisaVersa 18"" Squeegee/Washer"
1631786824-419,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger AquaDozer Straight 24"" Floor Squeegee - 24"" EPDM Rubber Blade - Durable, L..."
1631786824-389,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Alpine Dual Moss Floor Squeegee, 2"" x 22"", Silver/Black"
1631786824-396,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Impact Products Window Cleaner/Squeegee Tool - 8"" Blade - 20"" Polypropylene Hand..."
1631786824-393,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger AquaDozer 36"" Heavy Duty Curved Floor Squeegee - 36"" Rubber Blade - Heavy ..."
1631786824-394,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Alpine Dual Moss Heavy-Duty Floor Squeegee, 1"" x 22"", Silver/Black"
1631786824-388,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Rubbermaid® Maximizer Quick Change Squeegee, 13-1/8"""
1631786824-384,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger® Stainless-Steel ""S"" Rubber Squeegee Channel, 14""W, Black"
1631786824-405,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Alpine Dual Moss Heavy-Duty Floor Squeegee, 1"" x 30"", Silver/Black"
1631786824-462,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore Auto Squeegee Scrubber - 8"" Nylon Blade - 16"" Handle - Durable, Streak-fr..."
1631786824-395,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"SKILCRAFT 24"" FlexSweep Squeegee - Heavy Duty, Durable, Changeable Blade - Black..."
1631786824-469,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger AquaDozer Curved 24"" Floor Squeegee - 23.62"" EPDM Rubber Blade - Sturdy, H..."
1631786824-470,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Pro® Stainless Steel Window Squeegee, 16"" Rubber Blade"
1631786824-387,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Rubbermaid® Rubber Floor Squeegee Head, 18"", White"
1631786824-386,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,Unger AquaDozer Heavy Duty Straight Floor Squeegee - Zinc Alloy Handle - Heavy D...
1631786824-391,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger 12"" Pro Stainless Steel Complete Squeegee - 12"" Blade - Non-slip Grip, Erg..."
1631786824-455,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore Stainless BackFlip Cleaning Tool - 14"" Blade - Grooved Handle, Heavy Duty..."
1631786824-459,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,Unger VisaVersa Squeegee Washer - Green
1631786824-457,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger® Strip Washer/Rubber Squeegee, 14"""
1631786824-465,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger AquaDozer Straight 24"" Floor Squeegee - 23.62"" EPDM Rubber Blade - Sturdy,..."
1631786824-472,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger® Water Wand 18"" Floor Squeegee Head, Black/Silver"
1631786824-473,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore All-purpose Squeegee - Lightweight, Streak-free - Blue"
1631786824-390,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Impact Products Plastic Window Squeegee, 12"""
1631786824-385,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger® Heavy-Duty Water Wand Foam Rubber Squeegee, 30"", Black"
1631786824-466,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Alpine Industrial-Duty Curved Floor Squeegee, 24"", Silver/Black"
1631786824-383,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Alpine Dual Moss Floor Squeegee, 2"" x 18"", Red"
1631786824-399,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Carlisle Flo-Pac Double Foam Floor Squeegee, 30"", Red/Black"
1631786824-397,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Alpine Microfiber Window 2-in-1 Professional Squeegee, 15-9/16"", Blue/White"
1631786824-464,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Ettore Stainless BackFlip Cleaning Tool - 10"" Blade - Grooved Handle, Heavy Duty..."
1631786824-402,https://www.officedepot.com/a/browse/squeegees/N=5+1176190/,"Unger SmartFit WaterWand Standard 22"" Squeegee - 22"" Blade - Long Lasting, Reinf..."
