web-scraper-order,web-scraper-start-url,nnn
1631822467-3800,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Mind Reader Vintage First Aid Storage Box, 3-1/4""H x 9-1/2""W x 6-1/2""D, White"
1631822467-3765,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Mind Reader Vintage First Aid Storage Box, 3-1/4""H x 9-1/2""W x 6-1/2""D, Red"
1631822467-3796,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Medline Drug Buster Drug Disposal System, 16 Oz"
1631822467-3794,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Elkay Plastics Low-Density Polyethylene Pull-Tite Double Drawstring Bags, 8"" x 1..."
1631822467-3785,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Elkay Plastics Clear Line Single-Track Seal-Top Bags, 12"" x 15 "", Box Of 500"
1631822467-3812,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Elkay Plastics Clear Line Single-Track Seal-Top Bags, 6"" x 8"", Box Of 1,000"
1631822467-3843,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Medline Drawstring Patient Belonging Bags, 18""H x 20""W x 4""D, White, 25 Per Pack..."
1631822467-3832,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Medline Non-Insulated Plastic Pitchers, 32 Oz, Graphite, Case Of 100"
1631822467-3803,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Elkay Plastics Clear Line Single-Track Seal-Top Bags, 9"" x 12"", Box Of 100"
1631822467-3823,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Elkay Plastics Clear Line Single-Track Seal-Top Bags, 12"" x 15 "", Box Of 1,000"
1631822467-3799,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Elkay Plastics Zipper Lock Bags, 3mil, Amber, 12"" x 12"", Box Of 1,000"
1631822467-3797,https://www.officedepot.com/a/browse/lab-supplies/N=5+1181087/,"Elkay Plastics Clear Line Single-Track Seal-Top Bags, 13"" x 18 "", Box Of 1,000"
