web-scraper-order,web-scraper-start-url,nnn
1631822706-3976,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Braun Honeywell ThermoScan 5 Ear Thermometer0.0 out of 5 stars.
1631822706-3867,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 9839-15 Digital Candy-Deep Fry Thermometer with Adjustable Head - 40°F (-...0.0 out of 5 stars.
1631822706-3862,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Braun Ear Thermometer Lens Filters, Box Of 405.0 out of 5 stars. 1 review"
1631822706-3933,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"TruTemp Oven Dial Thermometer - Hanging Hole, Built-in Stand - Red4.5 out of 5 stars. 2 reviews"
1631822706-3889,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Filac™ FasTemp™ Probe Covers, Pack Of 5005.0 out of 5 stars. 1 review"
1631822706-3919,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Medline Premier Oral Digital Thermometer - 90°F (32.2°C) to 109.9°F (43.3°C) - R...4.0 out of 5 stars. 1 review
1631822706-3913,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Medline No Touch Forehead Thermometer - Reusable, Dual Dial, Infrared - For Home..."
1631822706-3890,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Taylor 1487 Digital Wired Probe Thermometer - Alarm, Adjustable Temperature, Tim...0.0 out of 5 stars."
1631822706-3936,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Learning Resources® Boiling Point Thermometers, Pack Of 102.7 out of 5 stars. 3 reviews"
1631822706-3930,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 1733 Indoor/Outdoor Digital Thermometer with Barometer & Timer - Wire...5.0 out of 5 stars. 2 reviews
1631822706-3985,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Taylor 1700 Indoor/Outdoor Digital Thermometer - Easy-to-read Measurement, Sucti...0.0 out of 5 stars."
1631822706-3932,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Medline MDS9699 Temple Thermometers Probe Covers, Box Of 2500.0 out of 5 stars."
1631822706-3858,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Taylor 9847N 5* Commercial Anti-Microbial Instant Read Thermometer - Auto-off, H...4.3 out of 5 stars. 4 reviews"
1631822706-3908,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Medline MDS9699 Temple Thermometers Probe Covers, Box Of 250"
1631822706-3978,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,American Diagnostic ADTEMP™ Tympanic Ear Thermometer0.0 out of 5 stars.
1631822706-3949,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 9835 Pro LED Digital Thermometer - Hold Function0.0 out of 5 stars.
1631822706-3927,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"MABIS Disposable Probe Covers For Digital Thermometers, Pack Of 5000.0 out of 5 stars."
1631822706-3973,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 5939N Meat Dial Thermometer - Easy-to-read Measurement - For Food - Stain...5.0 out of 5 stars. 3 reviews
1631822706-3912,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Learning Resources® Boiling Point Thermometers, Pack Of 10"
1631822706-3861,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 1732 Indoor Digital Comfort Level Station with Hydrometer - Humidity Indi...4.2 out of 5 stars. 6 reviews
1631822706-3906,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 1733 Indoor/Outdoor Digital Thermometer with Barometer & Timer - Wire...
1631822706-3977,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Starfrit Candy and Deep Fry Thermometer - 104°F (40°C) to 500°F (260°C) - Dishwa...4.0 out of 5 stars. 1 review
1631822706-3909,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"TruTemp Oven Dial Thermometer - Hanging Hole, Built-in Stand - Red"
1631822706-3854,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Digital Non-Contact Infrared Forehead Thermometer, White4.1 out of 5 stars. 98 reviews"
1631822706-3966,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 3504 Meat Dial Thermometer - For Food3.7 out of 5 stars. 3 reviews
1631822706-3872,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"AcuRite Digital Meat Thermometer & Timer with Pager - Timer, Heat Resistant,...4.3 out of 5 stars. 3 reviews"
1631822706-3980,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Filac™ 3000 EZ Oral/Axillary Complete Electronic Thermometer0.0 out of 5 stars.
1631822706-3941,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Veridian Healthcare V Temp Pro, Rechargeable Batteries - Memory Recall, Backlit ...0.0 out of 5 stars."
1631822706-3943,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,TruTemp Instant Read Thermometer - For Kitchen5.0 out of 5 stars. 1 review
1631822706-3864,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Taylor 3516 Digital Instant-Read Thermometer - On/Off Switch, Pocket Clip0.0 out of 5 stars."
1631822706-3900,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Braun Ear Thermometer Lens Filters, Box Of 40"
1631822706-3960,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Medline Flex-Tip Oral Digital Thermometer - 90°F (32.2°C) to 109.9°F (43.3°C) - ...4.0 out of 5 stars. 4 reviews
1631822706-3883,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"3M™ TempaDOT™ Single-Use Sterile Clinical Thermometers, Box Of 1005.0 out of 5 stars. 1 review"
1631822706-3914,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Braun Honeywell ThermoScan 5 Ear Thermometer
1631822706-3886,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Connoisseur 9867B Connoisseur Turbo Read Digital Thermometer - Antimicrobial, Au...0.0 out of 5 stars."
1631822706-3896,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Taylor 9847N 5* Commercial Anti-Microbial Instant Read Thermometer - Auto-off, H..."
1631822706-3895,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Medline Premier Oral Digital Thermometer - 90°F (32.2°C) to 109.9°F (43.3°C) - R...
1631822706-3903,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"MABIS Disposable Probe Covers For Digital Thermometers, Pack Of 500"
1631822706-3946,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"American Diagnostic ADTEMP™ Tympanic Thermometer Probe Covers, Box Of 400.0 out of 5 stars."
1631822706-3931,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"First Aid Only™ NexTemp Disposable Thermometers, Box Of 1000.0 out of 5 stars."
1631822706-3888,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Taylor 1730 Indoor/Outdoor Digital Thermometer with Remote - Wireless, Clock - F...0.0 out of 5 stars."
1631822706-3893,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Veridian Healthcare Temple Touch - Mini  Digital Temple Thermometer - Non-invasi...
1631822706-3882,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Medline Tympanic Quick Probe Release Ear Thermometer, White0.0 out of 5 stars."
1631822706-3937,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Medline No Touch Forehead Thermometer - Reusable, Dual Dial, Infrared - For Home...1.0 out of 5 stars. 1 review"
1631822706-3921,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 3507 Freezer-Refrigerator Thermometer - Durable - For Refrigerator/Freeze...5.0 out of 5 stars. 1 review
1631822706-3905,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 9839-15 Digital Candy-Deep Fry Thermometer with Adjustable Head - 40°F (-...
1631822706-3891,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Dr. Talbot's Infrared Forehead Thermometer, Non-Contact"
1631822706-3925,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Medline Disposable Digital Oral Thermometer Sheaths, Clear, Box Of 1000.0 out of 5 stars."
1631822706-3917,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Veridian Healthcare Temple Touch - Mini  Digital Temple Thermometer - Non-invasi...4.7 out of 5 stars. 3 reviews
1631822706-3953,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Dr. Talbot's Infrared Forehead Thermometer, Non-Contact3.8 out of 5 stars. 1815 reviews"
1631822706-3899,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 1732 Indoor Digital Comfort Level Station with Hydrometer - Humidity Indi...
1631822706-3898,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Medline Flex-Tip Oral Digital Thermometer - 90°F (32.2°C) to 109.9°F (43.3°C) - ...
1631822706-3894,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Taylor 9842 Pro Waterproof Instant Read Thermometer - Water Proof, Auto-off, Ant..."
1631822706-3897,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 3507 Freezer-Refrigerator Thermometer - Durable - For Refrigerator/Freeze...
1631822706-3918,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Taylor 9842 Pro Waterproof Instant Read Thermometer - Water Proof, Auto-off, Ant...5.0 out of 5 stars. 2 reviews"
1631822706-3901,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Medline Disposable Digital Oral Thermometer Sheaths, Clear, Box Of 100"
1631822706-3911,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 5939N Meat Dial Thermometer - Easy-to-read Measurement - For Food - Stain...
1631822706-3902,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Taylor 3516 Digital Instant-Read Thermometer - On/Off Switch, Pocket Clip"
1631822706-3904,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,Taylor 3504 Meat Dial Thermometer - For Food
1631822706-3907,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"First Aid Only™ NexTemp Disposable Thermometers, Box Of 100"
1631822706-3910,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"AcuRite Digital Meat Thermometer & Timer with Pager - Timer, Heat Resistant,..."
1631822706-3892,https://www.officedepot.com/a/browse/thermometers/N=5+1181091/,"Digital Non-Contact Infrared Forehead Thermometer, White"
