web-scraper-order,web-scraper-start-url,nnn
1631889413-505,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,"IdeaStream Locking Pill Box, 3-3/4""H x 5-1/2""W x 5-1/2""D, Multicolor0.0 out of 5 stars."
1631889413-499,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,"IdeaStream Locking Pill Box, 3-3/4""H x 5-1/2""W x 5-1/2""D, White0.0 out of 5 stars."
1631889413-504,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,"IdeaStream Locking Pill Box, 3-3/4""H x 5-1/2""W x 5-1/2""D, Black0.0 out of 5 stars."
1631889413-497,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,"DM Merchandising The Pill Pack Weekly Pill Organizer, 1""H x 3-3/4""W x 2-13/16""D,...4.9 out of 5 stars. 27 reviews"
1631889413-506,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,ACU-LIFE® Deluxe Pill Box & Splitter4.0 out of 5 stars. 1 review
1631889413-501,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,"IdeaStream Locking Medicine Case, 2-13/16""H x 5-5/8""W x 8-5/16""D, Black0.0 out of 5 stars."
1631889413-496,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,"PhysiciansCare Extra Strength Pain Reliever, 2 Per Pack, Box Of 50 Packs4.7 out of 5 stars. 6 reviews"
1631889413-502,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,"MABIS 7-Day Pill Holder, 6 3/4"" x 1"", Clear0.0 out of 5 stars."
1631889413-498,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,"IdeaStream Locking Medicine Case, 2-13/16""H x 5-1/4""W x 8-5/16""D, White0.0 out of 5 stars."
1631889413-503,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,"IdeaStream Locking Medicine Case, 2-13/16""H x 5-5/8""W x 8-5/16""D, Multicolor0.0 out of 5 stars."
1631889413-500,https://www.officedepot.com/a/browse/pill-organizers/N=5+1181136/,"HealthSmart® Weekly Pill Organizer, 9""H x 5""W x 1""D, Clear0.0 out of 5 stars."
