web-scraper-order,web-scraper-start-url,nnn
1631656886-7268,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"WypAll* 40 Towels, Pop-Up Box, White0.0 out of 5 stars."
1631656886-7257,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"Pacific Blue Ultra™ by GP PRO High Capacity 1-Ply Paper Towels, Brown, 1150' Per...0.0 out of 5 stars."
1631656886-7295,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"SKILCRAFT® All-Purpose Embossed 1-Ply Hardwound Paper Towels, 100% Recycled, Nat..."
1631656886-7255,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"Bounty® 2-Ply Paper Towels, 40 Sheets Per Roll, Pack Of 30 Rolls4.0 out of 5 stars. 1915 reviews"
1631656886-7199,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"Pacific Blue Select™ by GP PRO 2-Ply Paper Towels, 85 Sheets Per Roll, Pack Of 3...3.8 out of 5 stars. 22 reviews"
1631656886-7186,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"Highmark® 2-Ply Paper Towels, 100% Recycled, 85 Sheets Per Roll, Pack Of 15 Roll...3.4 out of 5 stars. 94 reviews"
1631656886-7139,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"Marcal® Small Steps™ 1-Ply Paper Towels, 100% Recycled, 60 Sheets Per Roll, Pack...4.0 out of 5 stars. 91 reviews"
1631656886-7265,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"Georgia-Pacific® by GP PRO Preference® 2-Ply Paper Towels, Roll Of 100 Sheets0.0 out of 5 stars."
1631656886-7223,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"Viva Multi-Surface Cloth Choose-A-Sheet Cloth-Like Kitchen Paper Towels, 11"" x 5...4.2 out of 5 stars. 689 reviews"
1631656886-7144,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"Genuine Joe 2-Ply Centerpull Paper Towels, 100% Recycled, 600 Sheets Per Roll, P...4.0 out of 5 stars. 4 reviews"
1631656886-7147,https://www.officedepot.com/a/browse/paper-towels/N=5+1170288&cbxRefine=1164221/,"enMotion® by GP PRO 1-Ply Paper Towels, 100% Recycled, 800' Per Roll, Pack Of 6 ...4.8 out of 5 stars. 4 reviews"
