web-scraper-order,web-scraper-start-url,nnn
1631905937-3304,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Ant & Roach Killer, 17.5-Oz Spray Canister"
1631905937-3325,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,P3 Molechaser P7901 Animal Chaser3.5 out of 5 stars. 2 reviews
1631905937-3287,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Ant And Roach Killer, 17.5 Oz."
1631905937-3432,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"OFF! Botanicals Insect Repellent Spray, 4 Oz, Pack Of 8 Bottles"
1631905937-3377,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Bedbug Detectors And Traps, Box Of 8 Traps"
1631905937-3422,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Max Bedbug & Flea Killer, 22 Oz"
1631905937-3404,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"OFF! Deep Woods Insect Repellent, 6-Oz Spray Canister4.5 out of 5 stars. 158 reviews"
1631905937-3389,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"OFF! Deep Woods Insect Repellent Towelettes, 12 Towelettes Per Box, Carton Of 12...4.3 out of 5 stars. 34 reviews"
1631905937-3444,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"OFF! Botanicals Insect Repellent, 0.123 Oz, 10 Wipes Per Pack, Carton Of 8 Packs"
1631905937-3344,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Roach Baits, Double Control, 0.63 Oz, Pack Of 72 Baits"
1631905937-3447,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Wasp/Hornet Killer Spray - Spray - Kills Hornet, Wasp, Mud Dauber, Yellow J..."
1631905937-3414,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"CRC Bee Blast™ Wasp And Hornet Spray, 20 Oz Aerosol Can, Pack Of 12 Cans"
1631905937-3433,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Max Bug Barrier, 128 Oz, Pack Of 4 Bottles"
1631905937-3307,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Enforcer Flying Insect Killer - Spray - Kills Mosquitoes, Cockroaches, Flies, Gn..."
1631905937-3361,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,Raid Ant Baits - Ants - 0.24 oz - Tan - 8 / Box
1631905937-3338,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Max Foaming Crack & Crevice Bedbug Killer, 7.44 Oz, Pack Of 6 Container..."
1631905937-3450,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"OFF! Deep Woods Sportsmen Insect Repellent, 30% DEET, 6 Oz, Carton Of 12 Bottles"
1631905937-3411,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Ant & Roach Killer, 17.5-Oz Spray"
1631905937-3309,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"PIC Wire Fly Swatter - 4.8"" Width x 0.1"" Height x 20.5"" Length - 12.2 out of 5 stars. 5 reviews"
1631905937-3382,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,PIC Plastic Mouse Trap (Reusable Simple Set)
1631905937-3319,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"OFF! FamilyCare Insect Repellent Spray, 6 Oz4.3 out of 5 stars. 97 reviews"
1631905937-3335,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Ant Gel, 1.06-Oz Tube"
1631905937-3386,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Max Foaming Crack & Crevice Bedbug Killer, 7.44 Oz, Pack Of 6 Container...0.0 out of 5 stars."
1631905937-3416,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"PIC Fly Stick - Stick - Kills Flies, Mosquitoes, Moths, Gnats"
1631905937-3313,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,Raid Ant Baits - Ants - 0.24 oz - Tan - 8 / Box4.0 out of 5 stars. 4 reviews
1631905937-3429,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Bare Ground Pest Control Garscentria, 768 Oz"
1631905937-3436,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Ant & Roach Killer, 17.5 Oz, Lavender Scent, Case Of 12 Canisters"
1631905937-3413,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Combat Bait Stations Ant Killer - Ants - 0.21 oz - Black, Silver - 6 / Box"
1631905937-3434,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Max Bug Barrier, 30 Oz, Pack Of 6 Spray Bottles"
1631905937-3440,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"OFF! Botanicals Insect Repellent Spray, 6 Oz, Pack Of 12 Cans"
1631905937-3451,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Ant/Roach Killer Spray - Spray - Kills Ants, Cockroaches, Waterbug, Palmett..."
1631905937-3362,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Misty® Wasp & Hornet Killer IIb Spray, 16 Oz, Pack Of 12 Cans"
1631905937-3345,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,P3 Solar Animal Chaser
1631905937-3354,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,PIC Mousetrap - 2 / Pack
1631905937-3398,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid® Ant Bait, III, 0.24 Oz, 8 Bait Cartridges Per Box, Pack Of 12 Boxes0.0 out of 5 stars."
1631905937-3431,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Green Gobbler Fruit Fly Killer, 32 Oz, Pack Of 3 Bottles"
1631905937-3402,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,PIC Mousetrap - 2 / Pack0.0 out of 5 stars.
1631905937-3370,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Catchmaster Fly Trap, 3.2 Oz"
1631905937-3384,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,Raid™ Pantry & Floor Moth Trap
1631905937-3381,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Max Foaming Crack & Crevice Bedbug Killer, 17.5 Oz"
1631905937-3443,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid® Yard Guard Fogger, 16 Oz, Case Of 12 Cans"
1631905937-3403,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Enforcer® Dual-Action Insect Killer, 17 Oz, Pack Of 12 Cans0.0 out of 5 stars."
1631905937-3372,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,Fly Ribbon
1631905937-3385,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Insect Killer, Multi Insect, 15 Oz, Pack Of 12 Bottles4.5 out of 5 stars. 206 reviews"
1631905937-3456,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"PIC Ant Control, 12pk - Ants, Ants, Ants, Ants, Ants - 12 Pack"
1631905937-3455,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"OFF! FamilyCare Insect Repellent Spray, 6 Oz, Pack Of 12 Bottles"
1631905937-3311,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,"Raid Ant And Roach Killer, 17.5 Oz.4.3 out of 5 stars. 581 reviews"
1631905937-3316,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,PIC Glue Mouse & Rat Boards - 2 / Pack4.0 out of 5 stars. 2 reviews
1631905937-3400,https://www.officedepot.com/a/browse/insect-repellent-and-sunscreen/N=5+1476517/,Raid Ant Baits - Ants - Clear - 48 / Carton0.0 out of 5 stars.
