web-scraper-order,web-scraper-start-url,cat,cat-href,name
"1632656791-3124","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Fire Extinguishers","https://www.officedepot.com/a/browse/fire-extinguishers/N=5+654535/","ProLine Carbon Dioxide Fire Extinguishers - BC Type, 5 lb Cap. Wt.0.0 out of 5 stars."
"1632656791-3115","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Fire Extinguishers","https://www.officedepot.com/a/browse/fire-extinguishers/N=5+654535/","Kidde Pro Line Dry Chemical Fire Extinguisher, 4A-60B:C5.0 out of 5 stars. 2 reviews"
"1632656791-3123","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Fire Extinguishers","https://www.officedepot.com/a/browse/fire-extinguishers/N=5+654535/","Halotron I Fire Extinguishers, For Class B and C Fires, 11 lb Cap. Wt.0.0 out of 5 stars."
"1632656791-3116","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Fire Extinguishers","https://www.officedepot.com/a/browse/fire-extinguishers/N=5+654535/","Kidde ABC Fire Control Extinguisher0.0 out of 5 stars."
"1632656791-3108","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Fire Extinguishers","https://www.officedepot.com/a/browse/fire-extinguishers/N=5+654535/","Kidde Pro Line Dry Chemical Fire Extinguisher, 1A-10B:C4.8 out of 5 stars. 6 reviews"
"1632656791-3114","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Fire Extinguishers","https://www.officedepot.com/a/browse/fire-extinguishers/N=5+654535/","ProLine Carbon Dioxide Fire Extinguishers - BC Type, 20 lb Cap. Wt.0.0 out of 5 stars."
"1632657315-3232","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Detectors","https://www.officedepot.com/a/browse/detectors/N=5+654533/","Kidde Fire Ionization Smoke Alarm - Ionize4.0 out of 5 stars. 1 review"
"1632656791-3110","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Fire Extinguishers","https://www.officedepot.com/a/browse/fire-extinguishers/N=5+654535/","Kidde 1-A 10 B:C Full Home Fire Extinguisher, 2.5 Lb, 14-7/16"" x 4-5/8""0.0 out of 5 stars."
"1632657315-3229","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Detectors","https://www.officedepot.com/a/browse/detectors/N=5+654533/","Direct Plug & Battery Operated CO Alarms, LED Display, Electrochemical1.0 out of 5 stars. 1 review"
"1632657315-3234","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Detectors","https://www.officedepot.com/a/browse/detectors/N=5+654533/","ALC Indoor Wireless Motion Detector, ALC-AHSS310.0 out of 5 stars."
"1632657315-3235","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Detectors","https://www.officedepot.com/a/browse/detectors/N=5+654533/","Tatco Visitor Bell Chime2.1 out of 5 stars. 12 reviews"
"1632657315-3225","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Detectors","https://www.officedepot.com/a/browse/detectors/N=5+654533/","Kidde Fire Night Hawk Combo Smoke/Carbon Monoxide Alarm,White5.0 out of 5 stars. 1 review"
"1632656791-3107","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Fire Extinguishers","https://www.officedepot.com/a/browse/fire-extinguishers/N=5+654535/","Kidde Pro Line Dry Chemical Fire Extinguisher, 3A-40B:C4.3 out of 5 stars. 4 reviews"
"1632656791-3122","https://www.officedepot.com/a/browse/fire-gas-and-water-protection/N=5+654532/","Fire Extinguishers","https://www.officedepot.com/a/browse/fire-extinguishers/N=5+654535/","Halotron I Fire Extinguishers, For Class B and C Fires, 2 1/2 lb Cap. Wt.5.0 out of 5 stars. 1 review"
