web-scraper-order,web-scraper-start-url,cat,cat-href,name
"1632653743-847","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","3M™ PA30IS Loose-Fitting Respirator Hoods, Pack Of 100.0 out of 5 stars."
"1632653770-914","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Respirator Accessories","https://www.officedepot.com/a/browse/respirator-accessories/N=5+1458954/","3M™ L-Series Headgear Sweat Pads, Case Of 100.0 out of 5 stars."
"1632653825-1073","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 7700 Series Half Mask Respirator, Medium4.7 out of 5 stars. 3 reviews"
"1632653825-1079","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 7700 Series Half Mask Respirator, Small0.0 out of 5 stars."
"1632653851-1145","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Disposable Respirators & Dust Masks","https://www.officedepot.com/a/browse/disposable-respirators-and-dust-masks/N=5+654568/","Moldex 2840 R95 Particulate Half-Facepiece Respirators, Medium/Large0.0 out of 5 stars."
"1632653851-1148","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Disposable Respirators & Dust Masks","https://www.officedepot.com/a/browse/disposable-respirators-and-dust-masks/N=5+654568/","3M™ Performance Disposable Paint Prep Respirator N95, White, Pack Of 200.0 out of 5 stars."
"1632653825-1088","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 6000 Series Half/Full Facepiece Lens Assembly, Clear0.0 out of 5 stars."
"1632653825-1084","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 5000 Series Organic Vapors/Acid Gases Half-Facepiece Respirator, Medium5.0 out of 5 stars. 4 reviews"
"1632653743-854","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","Moldex 7600 Multi-Gas/Vapor Smart Cartridge, Black0.0 out of 5 stars."
"1632653825-1086","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 8000 Series Assembled Respirators With P100 Cartridges, Medium0.0 out of 5 stars."
"1632653743-860","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","3M™ 2000 Series P100 Acid Gase Filters, Pack Of 20.0 out of 5 stars."
"1632653825-1077","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 5000 Series Organic Vapors Half-Facepiece Respirator, Large0.0 out of 5 stars."
"1632653770-912","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Respirator Accessories","https://www.officedepot.com/a/browse/respirator-accessories/N=5+1458954/","3M™ HEPA Filter For GVP Belt-Mounted PAPR Systems, Box Of 80.0 out of 5 stars."
"1632653825-1075","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 5000 Series Organic Vapors Half-Facepiece Respirator, Medium0.0 out of 5 stars."
"1632653743-862","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","3M™ 8000 Series Organic Gas/Vapor Cartridge0.0 out of 5 stars."
"1632653825-1092","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 5000 Series Organic Vapors/P95 Half-Facepiece Respirator, Large0.0 out of 5 stars."
"1632653770-908","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Respirator Accessories","https://www.officedepot.com/a/browse/respirator-accessories/N=5+1458954/","3M™ Lens Covers for 7800S Full-Face Respirator, Clear, Case Of 1000.0 out of 5 stars."
"1632653743-863","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","Moldex 7200 Acid Gas/Vapor Cartridge, White0.0 out of 5 stars."
"1632653743-857","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","3M™ P100 Multi Gas/Vapor Cartridge Filter, Pack Of 20.0 out of 5 stars."
"1632653795-921","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Full Face Respirators","https://www.officedepot.com/a/browse/full-face-respirators/N=5+654567/","3M™ 9000 Series Respirator Facepiece, Medium5.0 out of 5 stars. 1 review"
"1632653770-911","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Respirator Accessories","https://www.officedepot.com/a/browse/respirator-accessories/N=5+1458954/","3M™ Head Harness Assembly For 6700/6800/6900 Face Pieces, Black0.0 out of 5 stars."
"1632653743-856","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","3M™ PA30IS Combo Filters, Pack Of 60.0 out of 5 stars."
"1632653825-1091","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 8000 Series Facepiece, Small0.0 out of 5 stars."
"1632653743-864","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","3M™ 8000 Series Multi-Gas/Vapor Smart Cartridge0.0 out of 5 stars."
"1632653743-859","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","Moldex 7100 Organic Vapors Gas/Vapor Cartridge, Black0.0 out of 5 stars."
"1632653851-1151","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Disposable Respirators & Dust Masks","https://www.officedepot.com/a/browse/disposable-respirators-and-dust-masks/N=5+654568/","Disposable Particulate Respirator with Exhalation Valve, White - 10 / Box0.0 out of 5 stars."
"1632653743-858","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","3M™ 6000 & 7000 Series N95 Non-Oil Based Particle Filters, Pack Of 100.0 out of 5 stars."
"1632653795-920","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Full Face Respirators","https://www.officedepot.com/a/browse/full-face-respirators/N=5+654567/","3M™ 7600 Series Full Facepiece Respirator, Medium-Large5.0 out of 5 stars. 1 review"
"1632653795-922","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Full Face Respirators","https://www.officedepot.com/a/browse/full-face-respirators/N=5+654567/","3M™ 6000 Series Full Facepiece Respirator, Small0.0 out of 5 stars."
"1632653743-851","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","3M™ PA30IS Respirator System With Hood0.0 out of 5 stars."
"1632653825-1090","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 7000 Series Respirator Facepiece, Medium3.0 out of 5 stars. 2 reviews"
"1632653825-1071","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 8271 Particulate Respirator Masks, Box Of 105.0 out of 5 stars. 2 reviews"
"1632653795-919","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Full Face Respirators","https://www.officedepot.com/a/browse/full-face-respirators/N=5+654567/","3M™ Versaflo™ Heavy Industry PAPR Kit, 10""H x 14 3/8""W x 22 5/8""D, Black0.0 out of 5 stars."
"1632653770-913","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Respirator Accessories","https://www.officedepot.com/a/browse/respirator-accessories/N=5+1458954/","3M™ Personal Safety Division Quantitative Fit Test Adapter For 6000 AN0.0 out of 5 stars."
"1632653825-1082","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ N100 Particulate Respirator0.0 out of 5 stars."
"1632653770-910","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Respirator Accessories","https://www.officedepot.com/a/browse/respirator-accessories/N=5+1458954/","3M™ 7000 Series Full Facepiece Respirator, Medium0.0 out of 5 stars."
"1632653825-1087","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 6000 Series Half-Facepiece Respirator Assembly, Large5.0 out of 5 stars. 1 review"
"1632653795-925","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Full Face Respirators","https://www.officedepot.com/a/browse/full-face-respirators/N=5+654567/","Full Facepiece Respirator 6000 Series, Medium0.0 out of 5 stars."
"1632653743-850","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","3M™ 7000 Series Facepiece Cartridge/Filter Adapter0.0 out of 5 stars."
"1632653825-1085","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 8000 Series Facepiece, Large0.0 out of 5 stars."
"1632653825-1080","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","Moldex 7000 Series Half Mask Respirator, Medium, Multicolor0.0 out of 5 stars."
"1632653825-1089","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 5500 Series Low-Maintenance Half Mask Respirator, Medium3.0 out of 5 stars. 2 reviews"
"1632653825-1074","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 8000 Series Assembled Respirator With Organic Vapors/N95 Cartridges, Large0.0 out of 5 stars."
"1632653825-1081","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Half Mask Respirators","https://www.officedepot.com/a/browse/half-mask-respirators/N=5+1458953/","3M™ 5000 Series Organic Vapors/Acid Gases Half-Facepiece Respirator, Large5.0 out of 5 stars. 2 reviews"
"1632653770-909","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Respirator Accessories","https://www.officedepot.com/a/browse/respirator-accessories/N=5+1458954/","3M™ 6000 Series Inhalation Gaskets, Red, Bag Of 200.0 out of 5 stars."
"1632653743-846","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","6000 Series Gas /Vapor Cartridges, Acid Gases/Organic Vapor, Yellow0.0 out of 5 stars."
"1632653851-1149","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Disposable Respirators & Dust Masks","https://www.officedepot.com/a/browse/disposable-respirators-and-dust-masks/N=5+654568/","Gerson R95 Oil Particulate Respirators, Pack Of 50.0 out of 5 stars."
"1632653743-848","https://www.officedepot.com/a/browse/respiratory-protection/N=5+654565/","Supplied Air Systems","https://www.officedepot.com/a/browse/supplied-air-systems/N=5+654569/","Moldex 7940 P100 Oil/Non-Oil Particulate Filter Disk0.0 out of 5 stars."
