web-scraper-order,web-scraper-start-url,nnn
1632125025-8274,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,"Dell™ Optiplex 7010 Refurbished Desktop PC, Intel® Core™ i5, 4GB Memory, 500GB H..."
1632125025-8898,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,MSI Codex R 11TG-031US Gaming Computer - Intel Core i5 i5-11400F Hexa-core (6 Co...0.0 out of 5 stars.
1632125025-8313,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,MSI Codex R 11TC-032US Gaming Computer - Intel Core i5 i5-11400F Hexa-core (6 Co...
1632125025-8882,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,"HP EliteDesk 800 G1 Mini Refurbished Desktop PC, Intel® Core™ i3, 8GB Memory, 12..."
1632125025-8963,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,"Dell™ Optiplex 5040 Refurbished Desktop PC, Intel® Core™ i5, 8GB Memory, 256GB S..."
1632125025-8190,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,"Dell™ Optiplex 9010 Refurbished Desktop PC, Intel® Core™ i7, 16GB Memory, 512GB ..."
1632125025-8426,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,Lenovo ThinkCentre M80s 11CU000HUS Desktop Computer - Intel Core i5 10th Gen i5-...
1632125025-8158,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,"HP Slim S01-aF1006 Desktop PC, Intel® Pentium® Silver, 8GB Memory, 256GB Solid S..."
1632125025-8733,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,Acer Veriton X4660G Desktop Computer - Intel Core i3 8th Gen i3-8100 Quad-core (...
1632125025-8434,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,"Lenovo® ThinkCentre M91 Refurbished Desktop PC, Intel® Core™ i7, 16GB Memory, 2T..."
1632125025-8251,https://www.officedepot.com/a/browse/computer-towers/N=5+1461994/,"HP Pro 6300 SFF Refurbished Desktop PC, Intel® Core™ i5, 8GB Memory, 120GB Solid..."
