web-scraper-order,web-scraper-start-url,name
1632344591-1973,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur² - Hard drive - encrypted - 4 TB - external (portable) - USB ...
1632344591-2098,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,Fantom Drives FD GFORCE Mini 1TB Portable Hard Drive0.0 out of 5 stars.
1632344591-1966,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur² - Hard drive - encrypted - 3 TB - external (portable) - USB ...
1632344591-1896,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,Seagate Backup Plus Hub STEL4000100 4 TB Desktop Hard Drive - External - USB 3.0...
1632344591-1881,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"WD Drive™ For Chromebook, 2TB, Midnight Blue WDBB7B0020BBL-WESN"
1632344591-1956,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Seagate One Touch STKB1000400 1 TB Portable Hard Drive - 2.5"" External - Black -..."
1632344591-1894,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,Toshiba Canvio Basics 1 TB Hard Drive - External - Black - USB 3.0 - 1 Year Warr...
1632344591-2099,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Advance Portable External Hard Drive, 4TB, Red0.0 out of 5 stars."
1632344591-2023,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur DT² - Hard drive - encrypted - 8 TB - external (portable) - U...
1632344591-2001,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,Glyph BlackBox Pro BBPR4000 4TB External Hard Drive
1632344591-2049,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Advance Portable External Hard Drive, 2TB, White"
1632344591-2065,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,EDGE DiskGO 160 GB Portable Hard Drive - External - USB 2.0 - 3 Year Warranty
1632344591-2042,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Apricorn Aegis Padlock 1TB External Hard Drive, A25-3PL256-1000F"
1632344591-1917,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"LaCie Rugged Mini 1TB External Hard Drive, 3015585.0 out of 5 stars. 2 reviews"
1632344591-1921,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Advance Portable External Hard Drive, 4TB, Black0.0 out of 5 stars."
1632344591-1898,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Verbatim 4TB Store 'n' Go Portable Hard Drive, USB 3.0 - Diamond Black - USB 3.0..."
1632344591-1876,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Western Digital® My Passport 2TB Portable External Hard Drive, WDBYVG0020BBK-WES..."
1632344591-2055,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur PRO² - Hard drive - encrypted - 5 TB - external (portable) - ...
1632344591-2019,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"WD My Passport® Wireless Pro 2TB External Hard Drive, 256MB Cache, USB 3.0, Blac..."
1632344591-1893,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Ready Portable External Hard Drive, 2TB"
1632344591-2029,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur PRO² - Hard drive - encrypted - 3 TB - external (portable) - ...
1632344591-1967,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Glyph Studio S3000 3TB External Hard Drive, eSATA"
1632344591-2052,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,Glyph BlackBox BB500 500GB External Hard Drive
1632344591-1993,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"iStorage diskAshur2 500 GB Portable Hard Drive - 2.5"" External - Ocean Blue - TA..."
1632344591-1971,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"PQI 1TB External Hard Drive, 16MB Cache, USB 3.0, H568V, Black"
1632344591-2077,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,Seagate STEA2000403 2 TB Portable Hard Drive - External - Green - USB 3.0 - 2 Ye...
1632344591-1961,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur2 1 TB Hard Drive - External - Racing Green - TAA Compliant - ...
1632344591-2053,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Seagate One Touch STKC5000400 5 TB Portable Hard Drive - 2.5"" External - Black -..."
1632344591-2008,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,CRU 500 GB Hard Drive - Internal/External - SATA (SATA/600) - USB 3.0 - 5400rpm ...
1632344591-2006,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Verbatim® Store 'n' Save 4TB Hard Drive For Desktops, USB 3.0, Diamond Black"
1632344591-1931,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Slim Portable External Hard Drive, 1TB, Silver"
1632344591-2045,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"LaCie Rugged Mini  4TB Portable External Hard Drive, LAC9000633, Orange"
1632344591-1942,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Seagate One Touch STKB1000402 1 TB Portable Hard Drive - 2.5"" External - Light B...0.0 out of 5 stars."
1632344591-1938,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Gaming Portable External Hard Drive, 2TB, Black0.0 out of 5 stars."
1632344591-2070,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur DT² - Hard drive - encrypted - 16 TB - external (desktop) - U...
1632344591-2040,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,Fantom Drives FD GFORCE 1TB External Hard Drive
1632344591-1994,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"iStorage diskAshur2 500 GB Portable Hard Drive - 2.5"" External - Racing Green - ..."
1632344591-1914,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Verbatim® Store 'n' Save 3TB External Hard Drive, USB 3.0, S8529909, Black0.0 out of 5 stars."
1632344591-2095,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Gaming Portable External Hard Drive, 1TB, Black"
1632344591-1999,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur² - Hard drive - encrypted - 500 GB - external (portable) - US...
1632344591-1929,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Advance Portable External Hard Drive, 2TB, Red"
1632344591-2085,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur DT² - Hard drive - encrypted - 1 TB - external (portable) - U...
1632344591-2014,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur PRO² - Hard drive - encrypted - 500 GB - external (portable) ...
1632344591-1982,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,Toshiba Canvio Basics HDTB440XK3CA 4 TB Portable Hard Drive - External - Matte B...
1632344591-2101,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Apricorn Aegis Padlock DT ADT-3PL256-4000 4 TB Desktop Hard Drive - 3.5"" Externa...5.0 out of 5 stars. 1 review"
1632344591-1943,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur DT² - Hard drive - encrypted - 8 TB - external (desktop) - US...0.0 out of 5 stars.
1632344591-1925,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Advance Portable External Hard Drive, 1TB"
1632344591-1906,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Seagate 4TB External Desktop Hard Drive, STEB4000100"
1632344591-1975,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"SKILCRAFT® 2.5"" Portable Hard Drive, 500GB (AbilityOne 7045-01-568-9695)"
1632344591-2032,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"BUSlink Disk-On-The-Go USB 2.0 250 GB External Hard Drive, DL-250-U2"
1632344591-1937,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,Seagate STEA2000417 2 TB Portable Hard Drive - External - White - USB 3.0 - 3 Ye...5.0 out of 5 stars. 1 review
1632344591-1935,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Advance Portable External Hard Drive, 2TB0.0 out of 5 stars."
1632344591-2046,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Toshiba Canvio Flex Portable External Hard Drive, 1TB, Silver"
1632344591-2035,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Glyph Studio S4000 4TB External Hard Drive, eSATA"
1632344591-2026,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Seagate 8 TB Desktop Hard Drive - 3.5"" External - USB 3.0 - 1 Year Warranty"
1632344591-1878,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"WD My Book® 4TB External Hard Drive, USB 2.0/3.0, WDBBGB0040HBK-NESN"
1632344591-2011,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur DT² - Hard drive - encrypted - 2 TB - external (desktop) - US...
1632344591-2057,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Seagate One Touch STKC5000403 4.88 TB Portable Hard Drive - 2.5"" External - Red ..."
1632344591-1977,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,"Fantom Drives 2TB External Hard Drive, GFP2000Q3, Black"
1632344591-2074,https://www.officedepot.com/a/browse/external-hard-drives/N=5+1461964/,iStorage diskAshur DT² - Hard drive - encrypted - 2 TB - external (portable) - U...
