web-scraper-order,web-scraper-start-url,cat,cat-href,nnn
1632679566-10067,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Inkjet Printers   (26),https://www.officedepot.com/a/browse/hp-inkjet-printers/N=5+690300/,HP OfficeJet Pro 9015e Wireless Color All-in-One Printer With HP+4.0 out of 5 stars. 836 reviews
1632679580-10097,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP OfficeJet Pro 9025e Wireless Color All-in-One Printer With HP+3.8 out of 5 stars. 220 reviews
1632679542-10027,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet M209dwe Wireless Black And White Printer With HP+
1632679580-10100,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP ENVY 6055e Wireless Color All-in-One Printer With HP+3.9 out of 5 stars. 190 reviews
1632679580-10123,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet M681dh Color Laser All-In-One Printer3.8 out of 5 stars. 6 reviews
1632679542-10032,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Pro MFP M227fdw Wireless Monochrome (Black And White) Laser All-In-O...
1632679542-10008,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Pro M501dn Monochrome (Black And White) Laser Printer4.4 out of 5 stars. 30 reviews
1632679542-10029,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP Color LaserJet Enterprise M652dn - Printer - color - Duplex - laser - A4/Lega...
1632679542-10002,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP Neverstop 1001nw Wireless Monochrome (Black And White) Laser Printer With Car...3.9 out of 5 stars. 50 reviews
1632679580-10134,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP LaserJet Pro M182nw Wireless Color Laser All-In-One Printer4.2 out of 5 stars. 158 reviews
1632679542-10054,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet M653dh Desktop Laser Printer - Color
1632679542-10018,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise M406dn Monochrome (Black And White) Laser Printer3.1 out of 5 stars. 9 reviews
1632679542-10026,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet M652 M652dn Desktop Laser Printer - Color - 50 ppm Mono / 50 ppm Col...
1632679580-10094,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP All-In-One Printers   (56),https://www.officedepot.com/a/browse/hp-all-in-one-printers/N=5+690299/,HP OfficeJet Pro 6978 Wireless Color Inkjet All-In-One Printer4.3 out of 5 stars. 2575 reviews
1632679542-10046,https://www.officedepot.com/a/browse/hp-printers/N=5+690298/?cm_sp=brand-_-all-printers-online-store-hp-_-hp,HP Laser Printers   (70),https://www.officedepot.com/a/browse/hp-laser-printers/N=5+690301/,HP LaserJet Enterprise MFP M480f Color Laser All-In-One Printer
