web-scraper-order,web-scraper-start-url,category,category-href,name
1632252775-721,https://www.officedepot.com/cm/brand/lenovo-performance,Gaming Desktops,https://www.officedepot.com/a/browse/lenovo-gaming-desktops/N=5+1461995&cbxRefine=302309/?cm_sp=technology-_-gaming-desktops_shop-all-lenovo-gaming-desktops_-_-brand_lenovo-performance_main_7_6_0&promo_name=technology&promo_id=technology-gaming-desktops-shop-all-lenovo-gaming-desktops&promo_creative=gaming-desktops_shop-all-lenovo-gaming-desktops&promo_position=brand_lenovo-performance_main_7_6_0,Lenovo ThinkStation P620 30E0006YUS Workstation - 1 x AMD Ryzen Threadripper PRO...0.0 out of 5 stars.
1632252755-632,https://www.officedepot.com/cm/brand/lenovo-performance,Monitors,https://www.officedepot.com/a/browse/lenovo-monitors-and-accessories/N=5+1462029&cbxRefine=302309?cm_sp=technology-_-monitors_shop-all-lenovo-monitors_-_-brand_lenovo-performance_main_7_7_0&promo_name=technology&promo_id=technology-monitors-shop-all-lenovo-monitors&promo_creative=monitors_shop-all-lenovo-monitors&promo_position=brand_lenovo-performance_main_7_7_0,Lenovo Privacy Filter for ThinkPad L380 Yoga from 3M - For LCD Notebook
1632252948-1805,https://www.officedepot.com/cm/brand/lenovo-performance,Laptops,https://www.officedepot.com/a/browse/lenovo-laptop-computers/N=5+1462020&cbxRefine=302309?cm_sp=technology-_-laptops_shop-all-lenovo-laptops_-_-brand_lenovo-performance_main_7_4_0&promo_name=technology&promo_id=technology-laptops-shop-all-lenovo-laptops&promo_creative=laptops_shop-all-lenovo-laptops&promo_position=brand_lenovo-performance_main_7_4_0,"Lenovo ThinkPad P14s Gen 1 20S4003SUS 14"" Mobile Workstation - Full HD - 1920 x ...0.0 out of 5 stars."
1632252948-1622,https://www.officedepot.com/cm/brand/lenovo-performance,Laptops,https://www.officedepot.com/a/browse/lenovo-laptop-computers/N=5+1462020&cbxRefine=302309?cm_sp=technology-_-laptops_shop-all-lenovo-laptops_-_-brand_lenovo-performance_main_7_4_0&promo_name=technology&promo_id=technology-laptops-shop-all-lenovo-laptops&promo_creative=laptops_shop-all-lenovo-laptops&promo_position=brand_lenovo-performance_main_7_4_0,"Lenovo ThinkPad L14 Gen1 20U5000CUS 14"" Notebook - HD - 1366 x 768 - AMD Ryzen 3...0.0 out of 5 stars."
1632252689-553,https://www.officedepot.com/cm/brand/lenovo-performance,Accessories,https://www.officedepot.com/a/browse/lenovo-computer-accessories/N=5+1461889&cbxRefine=302309/?cm_sp=technology-_-computer-and-tablet-accessories_shop-all-lenovo-computer-and-tablet-accessories_-_-brand_lenovo-performance_main_7_10_0&promo_name=technology&promo_id=technology-computer-and-tablet-accessories-shop-all-lenovo-computer-and-tablet-accessories&promo_creative=computer-and-tablet-accessories_shop-all-lenovo-computer-and-tablet-accessories&promo_position=brand_lenovo-performance_main_7_10_0,Lenovo Preferred Pro II USB Keyboard US Euro - Cable Connectivity - USB Interfac...
1632252948-1641,https://www.officedepot.com/cm/brand/lenovo-performance,Laptops,https://www.officedepot.com/a/browse/lenovo-laptop-computers/N=5+1462020&cbxRefine=302309?cm_sp=technology-_-laptops_shop-all-lenovo-laptops_-_-brand_lenovo-performance_main_7_4_0&promo_name=technology&promo_id=technology-laptops-shop-all-lenovo-laptops&promo_creative=laptops_shop-all-lenovo-laptops&promo_position=brand_lenovo-performance_main_7_4_0,"Lenovo ThinkPad T14 Gen 1 20S0003QUS 14"" Touchscreen Notebook - Full HD - 1920 x...0.0 out of 5 stars."
1632252948-1787,https://www.officedepot.com/cm/brand/lenovo-performance,Laptops,https://www.officedepot.com/a/browse/lenovo-laptop-computers/N=5+1462020&cbxRefine=302309?cm_sp=technology-_-laptops_shop-all-lenovo-laptops_-_-brand_lenovo-performance_main_7_4_0&promo_name=technology&promo_id=technology-laptops-shop-all-lenovo-laptops&promo_creative=laptops_shop-all-lenovo-laptops&promo_position=brand_lenovo-performance_main_7_4_0,"Lenovo ThinkPad E14 20RA004XUS 14"" Notebook - 1920 x 1080 - Core i5 i5-10210U - ...4.6 out of 5 stars. 309 reviews"
1632252948-1689,https://www.officedepot.com/cm/brand/lenovo-performance,Laptops,https://www.officedepot.com/a/browse/lenovo-laptop-computers/N=5+1462020&cbxRefine=302309?cm_sp=technology-_-laptops_shop-all-lenovo-laptops_-_-brand_lenovo-performance_main_7_4_0&promo_name=technology&promo_id=technology-laptops-shop-all-lenovo-laptops&promo_creative=laptops_shop-all-lenovo-laptops&promo_position=brand_lenovo-performance_main_7_4_0,"Lenovo ThinkPad P15v Gen 1 20TRS01A00 15.6"" Mobile Workstation - Intel Core i7-1...0.0 out of 5 stars."
1632252948-1560,https://www.officedepot.com/cm/brand/lenovo-performance,Laptops,https://www.officedepot.com/a/browse/lenovo-laptop-computers/N=5+1462020&cbxRefine=302309?cm_sp=technology-_-laptops_shop-all-lenovo-laptops_-_-brand_lenovo-performance_main_7_4_0&promo_name=technology&promo_id=technology-laptops-shop-all-lenovo-laptops&promo_creative=laptops_shop-all-lenovo-laptops&promo_position=brand_lenovo-performance_main_7_4_0,"Lenovo ThinkPad T14s Gen 1 20T0002NUS 14"" Touchscreen Notebook - Full HD - 1920 ...0.0 out of 5 stars."
1632252755-693,https://www.officedepot.com/cm/brand/lenovo-performance,Monitors,https://www.officedepot.com/a/browse/lenovo-monitors-and-accessories/N=5+1462029&cbxRefine=302309?cm_sp=technology-_-monitors_shop-all-lenovo-monitors_-_-brand_lenovo-performance_main_7_7_0&promo_name=technology&promo_id=technology-monitors-shop-all-lenovo-monitors&promo_creative=monitors_shop-all-lenovo-monitors&promo_position=brand_lenovo-performance_main_7_7_0,"Lenovo D24-20 - LED monitor - 23.8"" (23.8"" viewable) - 1920 x 1080 Full HD (1080...5.0 out of 5 stars. 1 review"
