web-scraper-order,web-scraper-start-url,name
1632323135-26039,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,DreamGear Nintendo Switch Starter Bundle5.0 out of 5 stars. 2 reviews
1632323135-26051,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,My Arcade GAMER MINI - 160 built-in games - handheld electronic game0.0 out of 5 stars.
1632323135-26042,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,DreamGear Bionik Nintendo Switch TETRA POWER Charge Dock4.0 out of 5 stars. 1 review
1632323135-26038,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,CorelDRAW Graphics Suite 2021 (Mac)
1632323135-26048,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,"Nintendo Game Traveler Slim Travel Case For Nintendo Switch Lite, 5-1/2""H x 9""W ...0.0 out of 5 stars."
1632323135-26055,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,Corel Painter Essentials 8
1632323135-26054,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,"DreamGear Nintendo 3DS 20-In-1 Essentials Kit, Blue0.0 out of 5 stars."
1632323135-26040,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,"Corel® PaintShop™ Pro 2021 Ultimate, For Windows®, Disc/Product Key"
1632323135-26060,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,"Retro-Bit Go Retro! Portable, Red/White4.4 out of 5 stars. 16 reviews"
1632323135-26058,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,Corel  PaintShop Pro 2021 (Windows)
1632323135-26057,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,Arcade1Up Pac-Man HDMI™ Game Console With Wireless Controller4.0 out of 5 stars. 18 reviews
1632323135-26049,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,CorelDRAW Graphics Suite 2021 (Windows)
1632323135-26059,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,Atari Blast From Past Retro Gift Pack5.0 out of 5 stars. 1 review
1632323135-26052,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,"Corel® Painter Essentials 8, For Windows®/Mac, Product Key"
1632323135-26044,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,DreamGear Nintendo Switch Rapid Charge Kit0.0 out of 5 stars.
1632323135-26047,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,Nintendo Game Traveler The Legend Of Zelda: Breath Of The Wild Deluxe Travel Cas...0.0 out of 5 stars.
1632323135-26046,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,"CorelDRAW® Graphics Suite 2021, For Windows/Mac, Disc Download"
1632323135-26053,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,dreamGEAR Micro Arcade Collector's Pack0.0 out of 5 stars.
1632323135-26045,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,"Hori Pokémon Sword & Shield Tough Pouch For Nintendo Switch Lite, Blue/Red0.0 out of 5 stars."
1632323135-26056,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,DreamGear 20-In-1 Essentials Kit For Nintendo 3DS XL0.0 out of 5 stars.
1632323135-26043,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,Corel  PaintShop Pro 2021 Ultimate (Windows)
1632323135-26050,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,"DreamGear Essentials Bundle Kit For Nintendo Switch, Black0.0 out of 5 stars."
1632323135-26041,https://www.officedepot.com/a/browse/video-games/N=5+1462092/,"DreamGear Nintendo Switch POWER Plate, Black5.0 out of 5 stars. 1 review"
