web-scraper-order,web-scraper-start-url,cat,cat-href,name
1632328955-30025,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,"Ubiquiti POE-50-60W Power over Ethernet Injector - 120 V AC, 230 V AC Input - 50..."
1632328955-30015,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,Cooler Master V550 SFX Gold Full-Modular 80 Plus Gold SFX Power Supply - SFX - 1...
1632329004-30378,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,"EVGA SuperNOVA 850 P2 Power Supply - Internal - 120 V AC, 230 V AC Input - 3.3 V..."
1632329004-30406,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,"Altronix SMP5PMCTX Proprietary Power Supply - 110 V AC, 220 V AC Input - 12 V DC...0.0 out of 5 stars."
1632328955-30138,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,Altronix AL1024ULXPD16CB Proprietary Power Supply - Wall Mount - 110 V AC Input ...
1632328955-30048,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,HPE 2650 Watts Platinum Hot Plug Power Supply - 220 V AC
1632329004-30437,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,iStarUSA IS-700S2UP ATX12V & EPS12V Power Supply - 700W Rack-mountable0.0 out of 5 stars.
1632328955-30024,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,PylePro 8 Outlet Rack Mount Power Supply Center w/Each Outlet Switch - 8 - 120 V...
1632329004-30390,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,Altronix ALTV244UL Proprietary Power Supply - Wall Mount - 110 V AC Input - 24 V...0.0 out of 5 stars.
1632329004-30403,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,"EVGA SuperNOVA 550 G3 Power Supply - Internal - 120 V AC, 230 V AC Input - 3.3 V...5.0 out of 5 stars. 1 review"
1632329004-30397,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,Altronix AL400ULPD8CB Proprietary Power Supply - Wall Mount - 110 V AC Input - 1...0.0 out of 5 stars.
1632329004-30457,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,"EVGA 750W Power Supply - Internal - 120 V AC, 230 V AC Input - 3.3 V DC @ 24 A, ...3.0 out of 5 stars. 2 reviews"
1632329004-30415,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,Altronix AL168300CB Proprietary Power Supply - Wall Mount - 110 V AC Input - 16 ...0.0 out of 5 stars.
1632328955-30044,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,"Cooler Master 80 PLUS Bronze Certified Power Supply - Internal - 120 V AC, 230 V..."
1632329004-30384,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,Altronix AL400UL Proprietary Power Supply - Wall Mount - 110 V AC Input - 24 V D...
1632328955-30128,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,"Altronix AL600ULXB Proprietary Power Supply - 110 V AC Input - 12 V DC, 24 V DC ..."
1632329004-30456,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,"EVGA SuperNOVA 1000 G5 Power Supply - Internal - 120 V AC, 230 V AC Input - 3.3 ...0.0 out of 5 stars."
1632329004-30441,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,Altronix SMP10PM24P8 Proprietary Power Supply - Wall Mount - 110 V AC Input - 24...0.0 out of 5 stars.
1632328955-30097,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,Cisco Catalyst 4500E Series UPOE 12V Passthrough Splitter - 12 V DC Input - 12 V...
1632328955-30091,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,"Altronix AL400UL Proprietary Power Supply - 110 V AC Input - 12 V DC @ 4 A, 24 V..."
1632329004-30436,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,"EVGA SuperNOVA 650 P2 Power Supply - Internal - 120 V AC, 230 V AC Input - 3.3 V...0.0 out of 5 stars."
1632328955-30140,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,Altronix AL1012ULXPD16CB Proprietary Power Supply - Wall Mount - 110 V AC Input ...
1632329004-30442,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,"EVGA 600 BA Power Supply - Desktop - 120 V AC, 230 V AC Input - 3.3 V DC @ 20 A,...0.0 out of 5 stars."
1632329004-30472,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,"EVGA 650 GQ Power Supply - 120 V AC, 230 V AC Input - 3.3 V @ 24 A, 5 V @ 24 A, ...0.0 out of 5 stars."
1632328955-30022,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,Corsair RMx Series RM650x 80 PLUS Gold Fully Modular ATX Power Supply - Internal...
1632328513-29409,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Redundant Power Supplies,https://www.officedepot.com/a/browse/redundant-power-supplies/N=5+1461932/,Jackery Explorer 1500 Portable Power Station
1632329004-30371,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Internal PC Power Supplies,https://www.officedepot.com/a/browse/internal-pc-power-supplies/N=5+1461928/,HPE Platinum Plus - Power supply - hot-plug / redundant (plug-in module) - Flex ...0.0 out of 5 stars.
1632328955-30180,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,"EVGA 750 BQ Power Supply - Internal - 120 V AC, 230 V AC Input - 3.3 V DC @ 24 A..."
1632328955-30123,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,Cooler Master MasterWatt 550 Semi-Fanless Modular 80 PLUS Bronze Certified Power...
1632328955-30119,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,"Ubiquiti POE-48-24W Power over Ethernet Injector - 120 V AC, 230 V AC Input - 48..."
1632328955-30063,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,"Microsemi PD-9606G PoE Injector Hub - 120 V AC, 230 V AC Input - 57 V DC Output ..."
1632328955-30076,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,"EnGenius 802.3at/af Compatible Gigabit Single Port Poe Adapter - 120 V AC, 230 V..."
1632328955-30017,https://www.officedepot.com/a/browse/computer-power-supplies/N=5+1461927/,Power Injectors & Splitters,https://www.officedepot.com/a/browse/power-injectors-and-splitters/N=5+1461930/,"EVGA 1000 GQ Power Supply - 120 V AC, 230 V AC Input - 3.3 V @ 24 A, 5 V @ 24 A,..."
