web-scraper-order,web-scraper-start-url,name
"1632408797-4461","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","iLive Platinum Wireless Under Cabinet Speaker With Amazon Alexa3.9 out of 5 stars. 39 reviews"
"1632408797-4453","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","JBL Link 10 JBLLINK10USBLK Voice Assistant, Black3.7 out of 5 stars. 220 reviews"
"1632408797-4458","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","Lenovo® Smart Display Tablet With Google Assistant, 8""0.0 out of 5 stars."
"1632408797-4457","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","Amazon Echo Show, White4.7 out of 5 stars. 3 reviews"
"1632408797-4460","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","JBL Link 10 JBLLINK10WHT Voice Assistant, White3.8 out of 5 stars. 215 reviews"
"1632408797-4451","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","Amazon Echo, Echo Dot (3rd Generation), Charcoal4.8 out of 5 stars. 179 reviews"
"1632408797-4456","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","iLive Platinum Waterproof ISBWV418B Bluetooth® Alexa Speaker3.4 out of 5 stars. 26 reviews"
"1632408797-4452","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","Amazon Echo, Smart Plug For Alexa, White4.6 out of 5 stars. 39 reviews"
"1632408797-4455","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","iLive Platinum 00047323738708 Wi-Fi Alexa Speaker2.9 out of 5 stars. 144 reviews"
"1632408797-4463","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","Google™ Home Smart Speaker, White/Slate4.7 out of 5 stars. 62 reviews"
"1632408797-4462","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","Google Nest HubMax Smart Home Assistant - 9.9"" Width x 4"" Depth x 7.2"" Height - ...4.0 out of 5 stars. 327 reviews"
"1632408797-4454","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","Google Nest HubMax Smart Home Assistant - 9.9"" Width x 4"" Depth x 7.2"" Height - ...4.0 out of 5 stars. 327 reviews"
"1632408797-4459","https://www.officedepot.com/a/browse/voice-assistants/N=5+1215475/?cm_sp=technology-_-voice-assistants_no_brand_no_offer-_-category_smart-home--734014_main_18_1_0&promo_name=technology&promo_id=technology-voice-assistants-no_brand&promo_creative=voice-assistants_no_brand&promo_position=category_smart-home--734014_main_18_1_0","Lenovo® Smart Clock, ZA4R0002US0.0 out of 5 stars."
