web-scraper-order,web-scraper-start-url,name
1632729174-1686,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB Type-C To USB Type-A Braided Charging Cable, 3', Black, 45838"
1632729174-1801,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB-Type-A-To-Lightning Braided Aluminum Charge And Sync Cable, 3', White..."
1632729174-1770,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite 6ft Hi-Speed USB 2.0 to USB B Cable Coiled USB A-B M/M 6' - USB for S...
1632729174-1771,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Tripp Lite USB-C to Serial Adapter (DB9) - Keyspan, High-Speed (M/M), Detachable..."
1632729174-1698,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"j5create USB 3.1 Type-C 3-Port Hub, Silver, JCH451"
1632729174-1747,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite 6ft USB 2.0 Hi-Speed Cable A Male to USB Type-C USB-C Male - USB - 60...
1632729174-1793,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Lenovo USB-C to USB-C Cable 2m - 6.56 ft USB Data Transfer Cable for Monitor, Do..."
1632729174-1663,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"j5create USB Type-C 4-Port Hub, Silver, JCH343"
1632729174-1684,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® Micro USB To USB 2.0 Type-A Cable, 6', Black, 45379"
1632729174-1717,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite 10ft USB 2.0 Hi-Speed A/B Cable M/M 28/24 AWG 480 Mbps Beige 10' - US...
1632729174-1740,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,StarTech.com 3 ft USB to Type M Barrel 5V DC Power Cable - Charge your 5V DC dev...
1632729174-1748,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,C2G 3m USB Cable - USB A to USB B Cable - M/M - Type A Male USB - Type B Male US...
1632729174-1733,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Atvia® USB-Type-C-To-USB-Type-C Premium Braided Charging Cable, 6', Gray, 45833"
1632729174-1772,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB Type-A To Lightning Charge And Sync Cable, 9', White, 45902"
1632729174-1788,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Tripp Lite Safe-IT USB-A Antibacterial Extension Cable M/F, USB 2.0, White, 6 ft..."
1632729174-1704,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"j5create USB 3.1 Type-C To Type-A Adapter, 4"", White, JUCX05"
1632729174-1799,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite USB C to DisplayPort Adapter Converter 4K White USB Type C to DP - 1 ...
1632729174-1757,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,VisionTek - USB adapter - USB-C (M) to USB Type A (F) - USB 3.0 (pack of 3)
1632729174-1773,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,C2G 2m USB Cable - USB A to USB B Cable - M/M - Type A USB - Type B USB - 6ft - ...
1632729174-1821,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,C2G 10ft Select VGA Video Extension Cable M/F - 10 ft VGA Video Cable for Video ...
1632729174-1711,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,HP Thunderbolt Dock G2 Combo Cable - 2.30 ft Power/Thunderbolt 3 A/V/Power/Data ...
1632729174-1809,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,DIAMOND Multimedia USB 3.0 to Displayport 4K UHD Video Graphics Adapter - Displa...
1632729174-1791,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Belkin VGA Splitter Video Cable - 1 ft VGA Video Cable for Video Device - HD-15 ...
1632729174-1803,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,StarTech.com 2m 6 ft USB C to Micro USB Cable - M/M - USB 2.0 - USB-C to Micro U...
1632729174-1695,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Microsoft Surface USB-C to HDMI Adapter - Type C USB - HDMI
1632729174-1675,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"j5create® HDMI-To-VGA Adapter, 6"", JDA213"
1632729174-1781,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite 3ft USB 3.1 Gen 2 USB-C to Micro-B Cable M/M 10 Gbps Fast Charge - US...
1632729174-1700,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® Lightning To USB Type-A Cable, 6', Navy, 45403"
1632729174-1810,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Manhattan HDMI Male to VGA Female Converter with Optional USB Micro-B Power Port...
1632729174-1768,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite USB C Cable USB 3.1 Gen 2 w/ 5A Rating 20V M/M USB Type C USB Type-C ...
1632729174-1780,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Tripp Lite USB C to HDMI Multiport Video Adapter Converter 4K x 2Kw/ USB-A Hub, ..."
1632729174-1823,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,VisionTek USB 3.1 Type C to Type C 1 Meter with Power Delivery (M/M) -Up to 100W...
1632729174-1785,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Belkin PRO Series - Serial extension cable - DB-9 (M) to DB-9 (F) - 10 ft - mold...
1632729174-1720,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB To Lightning Cable, 6"", Black, 45841"
1632729174-1682,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB-Type-C-To-USB-Type-C Premium Braided Charging Cable, 6', Gold, 47236"
1632729174-1680,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® DVI Dual-Link Monitor Cable, 10'"
1632729174-1734,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Tripp Lite USB C to HDMI Video Adapter Converter, 4K x 2K, M/F, USB-C to HDMI, U..."
1632729174-1694,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB Type-C To USB Type-A Cable, 6', Black, 45380"
1632729174-1774,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Tripp Lite Keyspan High Speed USB to Serial Adapter - Type A Male, DB-9 Male"""
1632729174-1782,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Professional Cable Black - USB A to Mini B 5 pin, 6 Feet - 6 ft USB Data Transfe..."
1632729174-1767,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,StarTech.com 0.5m USB C to USB B Printer Cable - M/M - USB 2.0 - USB C to USB B ...
1632729174-1723,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite 3ft USB 2.0 High Speed Reversible Connector Cable Universal M/M - (Re...
1632729174-1741,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite USB C to USB-A Cable 3A Rating USB-IF Cert M/M USB Type C 13ft - 1 x ...
1632729174-1736,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite 6ft VGA Monitor Y Splitter Cable High Resolution HD15 M/2xF 6' - 6 ft...
1632729174-1697,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,C2G 3m USB 3.0 Cable - USB A to USB A - M/M - 9.84 ft USB Data Transfer Cable - ...
1632729174-1658,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB 2.0 Printer Cable, 6ft, Black, 26855"
1632729174-1707,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,StarTech.com StarTech.com 6 ft VGA Monitor Cable - HD15 M/M - Display cable - HD...
1632729174-1819,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite 10ft USB 2.0 Hi-Speed Cable A Male to USB Micro-B M/M - USB - 10 ft -...
1632729174-1812,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite Thunderbolt 3 Cable 20 Gbps Passive 5A 100W PD 4K USB C M/M 1.5M - Fi...
1632729174-1692,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Belkin® 3.1 USB-A To USB-C Cable, 3', Black"
1632729174-1756,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,StarTech.com 2.5ft Retractable USB Combo Cable - USB to Micro USB and Mini USB -...
1632729174-1667,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB 2.0 Printer Cable, 3ft, Black, 26862"
1632729174-1824,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Comprehensive Pro AV/IT Active USB A Male to B Male 50ft - Matte Black
1632729174-1721,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Tripp Lite USB C to HDMI Video Adapter Converter 4Kx2K M/F, USB-C to HDMI, USB T..."
1632729174-1825,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Tripp Lite USB-C to DVI Adapter w/PD Charging - USB 3.1, Thunderbolt 3, 1080p, B..."
1632729174-1794,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa™ USB A To 4-Pin Mini-B Device Cable, 10', Gray"
1632729174-1735,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,HP Standard Power Cord - 6ft
1632729174-1691,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB to Parallel Printer Adapter Cable, 6'"
1632729174-1731,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Belkin 3.0 USB-C to USB-A Adapter - 5"" USB Data Transfer Cable for MacBook, Flas..."
1632729174-1728,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,C2G 15ft 18 AWG Universal Computer Power Cord (NEMA 5-15P to IEC320C13) - Replac...
1632729174-1779,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,StarTech.com 3m 10ft USB C to USB B Printer Cable - M/M - USB 2.0 - USB C to USB...
1632729174-1804,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,StarTech.com 6 ft Black SuperSpeed USB 3.0 Cable A to A - M/M - Type A Male USB ...
1632729174-1816,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"C2G 6ft USB to DB25 Parallel Printer Adapter Cable - RJ-45, 110-punchdown"""
1632729174-1753,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Belkin Premium Printer Cable - USB cable - USB Type B (M) to USB (M) - USB 2.0 -...
1632729174-1705,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite USB C to USB-A Cable 3.1 10 Gbps USB-IF Certified USB Type C M/M 3ft ...
1632729174-1745,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Belkin BOOST↑CHARGE™ USB-C to USB-A Cable - 3.28 ft USB/USB-C Data Transfer Cabl...
1632729174-1798,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Lenovo USB-C to USB-A Adapter - 5.51"" USB Data Transfer Cable - First End: 1 x T..."
1632729174-1742,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,C2G 1m USB Cable - USB A to USB A - M/M - Type A Male USB - Type A Male USB - 3....
1632729174-1759,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB-Type-A-To-Lightning Braided Aluminum Charge And Sync Cable, 3', Black..."
1632729174-1738,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,V7 USB 2.0 Cable - 10ft - Type A Male USB - Type B Male USB - Black
1632729174-1758,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,StarTech.com USB 3.0 to 2.5 SATA III Hard Drive Adapter Cable w/ UASP
1632729174-1657,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"j5create USB 3.0-To-Dual HDMI Cable, 12.5"", Silver, JUA365"
1632729174-1687,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,V7 V7N2USB2AB-16F USB Cable Adapter - 16 ft USB Data Transfer Cable for Digital ...
1632729174-1702,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Belkin USB Extender Cable - Type A Male - Type A Female USB - 3ft
1632729174-1743,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® Braided USB Type-C Charge And Sync Cable, 9', Black, 45836"
1632729174-1726,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite 25ft USB 2.0 Hi-Speed Active Repeater Cable USB-A to USB-B M/M - USB ...
1632729174-1727,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,C2G 6ft USB 2.0 One B Male to Two A Male Y-Cable - Type B Male USB - Type A Male...
1632729174-1784,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,StarTech.com 20 ft Standard Computer Power Cord - NEMA5-15P to C13
1632729174-1713,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB Type-C To USB Type-A Cable, 6', Emerald, 45398"
1632729174-1797,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,Tripp Lite 1ft USB 3.0 SuperSpeed Device Cable USB-A to USB Micro-B M/M Black - ...
1632729174-1778,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Lenovo USB-C Cable 1m - 3.28 ft USB Data Transfer Cable for Notebook, Monitor - ..."
1632729174-1678,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB 3.0 to Micro B Cable, 3’, Blue, 27517"
1632729174-1814,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Tripp Lite USB C to USB Type C Cable 3.1 Gen 1, 5 Gbps 3A Rating M/M 10ft - 640 ..."
1632729174-1681,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® VGA Monitor Extension Cable, 10’, Black, 26838"
1632729174-1671,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® USB Type-C-To-Ethernet Adapter Cable, 4.7"", White, 41510"
1632729174-1665,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,"Ativa® Universal AC Replacement Power Cord, 6'"
1632729174-1795,https://www.officedepot.com/a/browse/peripheral-device-cables/N=5+648908/,OtterBox USB-C to USB-C Cable - 6.56 ft USB Data Transfer Cable - First End: 1 x...
