web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,name
1632300564-10477,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Full Wastebasket Indicator				
																				
																			
																			 
																				
																					(212)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=1390825/,"Securio By HSM B34S 27-Sheet Strip-Cut Shredder, 33-5/16""H x 21-7/16""W x 17-5/16..."
1632303724-17823,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,,https://www.officedepot.com/a/browse/shredders/Ne=100&N=5+1205526&cbxRefine=1205498/,"HSM shredstar X14 14 Sheet Cross-Cut Shredder, HSM1057W"
1632300671-10780,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Manual Reverse				
																				
																			
																			 
																				
																					(239)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=1182633/,Fellowes® Powershred® LX 190 20-Sheet Cross-Cut Paper Shredder4.9 out of 5 stars. 11 reviews
1632301566-14169,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"HSM				
																				
																			
																			 
																				
																					(64)",https://www.officedepot.com/a/browse/hsm-shredders/N=5+509777&cbxRefine=512804/,"HSM SECURIO P40i 37-Sheet Cross-Cut Shredder, White, HSM18830.0 out of 5 stars."
1632302381-17504,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,,https://www.officedepot.com/a/browse/shredders/Ne=100&N=5+1205526&cbxRefine=1382827/,GBC ShredMaster PSX10-06 Super Cross-Cut Paper Shredder - Non-continuous Shredde...
1632306244-18318,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Scanners & Accessories (257),https://www.officedepot.com/a/browse/scanners-and-accessories/N=5+1040462/,Scanners (167),https://www.officedepot.com/a/browse/scanners/N=5+1040464/,Ambir nScan 940gt Sheetfed Scanner - 600 dpi Optical - 48-bit Color - 16-bit Gra...
1632300905-11716,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Credit Cards				
																				
																			
																			 
																				
																					(233)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=869843/,Aurora AU2280XA Professional Grade 22-Sheet Cross-Cut Shredder0.0 out of 5 stars.
1632300905-11675,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Credit Cards				
																				
																			
																			 
																				
																					(233)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=869843/,"Formax OnSite FD 8704CC 45-Sheet Cross-Cut Multimedia Office Shredder, Gray0.0 out of 5 stars."
1632300802-11262,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"CDs/DVDs				
																				
																			
																			 
																				
																					(159)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=869841/,"Securio By HSM B32S 24-Sheet Strip-Cut Shredder, 31-1/4""H x 19-5/8""W x 15-3/4""D,...0.0 out of 5 stars."
1632303724-17802,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,,https://www.officedepot.com/a/browse/shredders/Ne=100&N=5+1205526&cbxRefine=1205498/,"Aurora Professional 8 Sheet Cross-Cut Shredder With Pullout Basket, AU840XA"
1632317185-23135,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Cash Registers & Supplies (247),https://www.officedepot.com/a/browse/cash-registers-and-supplies/N=5+658802/,Cash Register Supplies (245),https://www.officedepot.com/a/browse/cash-register-supplies/N=5+658804/,"Sparco Cash Drawer With Removable Tray, 3.8"" x 17.8"" x 15.8"", Black/Gray0.0 out of 5 stars."
1632315609-20640,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projector Accessories (867),https://www.officedepot.com/a/browse/projector-accessories/N=5+1123274/,Projector Screens (290),https://www.officedepot.com/a/browse/projector-screens/N=5+1123280/,Elite Screens Manual Series0.0 out of 5 stars.
1632316751-21589,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Projector Accessories (867),https://www.officedepot.com/a/browse/projector-accessories/N=5+1123274/,Projector Lamps (361),https://www.officedepot.com/a/browse/projector-lamps/N=5+1123276/,eReplacements Projector Lamp - Projector Lamp - 4000 Hour Economy Mode
1632300720-11028,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"12				
																				
																			
																			 
																				
																					(19)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=1230212/,Business Source Light Duty 12 Sheet Cross-Cut Shredder4.3 out of 5 stars. 4 reviews
1632301213-12660,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Micro-Cut				
																				
																			
																			 
																				
																					(80)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=579857/,"Formax FD 8400HS-1 8-Sheet High-Security Shredder, FD8400HS-10.0 out of 5 stars."
1632300564-10327,https://www.officedepot.com/a/browse/office-equipment/N=5+509740/,Shredders (401),https://www.officedepot.com/a/browse/shredders/N=5+509777/,"Full Wastebasket Indicator				
																				
																			
																			 
																				
																					(212)",https://www.officedepot.com/a/browse/shredders/N=5+509777&cbxRefine=1390825/,"Fellowes® Powershred® LX 210 16 Sheet Micro-Cut Paper Shredder, White, 50153014.9 out of 5 stars. 8 reviews"
