web-scraper-order,web-scraper-start-url,nnn
1632717187-763,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,RCA Device Remote Control0.0 out of 5 stars.
1632717187-756,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"Roku Voice Remote - For TV, Sound Bar Speaker, Streaming Media Player - Black4.7 out of 5 stars. 6 reviews"
1632717187-770,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,Jabra Headset Call Control Cable - for Headset0.0 out of 5 stars.
1632717187-774,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,Epson Projector Remote Control - For Projector - 20 ft Operating Distance0.0 out of 5 stars.
1632717187-755,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,NVIDIA SHIELD - Remote control - infrared - for Shield TV PRO5.0 out of 5 stars. 1 review
1632717187-757,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,Linear PRO Access MegaCode ACT-31B Key Ring Transmitter0.0 out of 5 stars.
1632717187-754,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"Logitech® Spotlight Universal Presentation Remote, Slate, 910-0046544.7 out of 5 stars. 31 reviews"
1632717187-767,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"One For All Smart Control 8 - For TV, Set-top Box, Blu-ray Disc Player, DVD Play...0.0 out of 5 stars."
1632717187-773,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"Optoma BR-3067B - Remote control - for Optoma EH300, HD25-LV0.0 out of 5 stars."
1632717187-768,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"Optoma BR-5043N - Remote control - for Optoma S303, X3030.0 out of 5 stars."
1632717187-758,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"One For All LG TV Replacement Remote - For TV, LCD TV, LED-LCD TV, Plasma TV, OL...4.7 out of 5 stars. 19 reviews"
1632717187-760,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,Kensington Presentation Remote - 1 Pack0.0 out of 5 stars.
1632717187-776,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"Adesso SlimTouch WKB-4010UB Universal Remote Control - For PC, Smart TV, Gaming ...0.0 out of 5 stars."
1632717187-762,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"NEC RMT-PJ37 - Remote control - for NEC NP-PA1004, PA1004UL-B-41, PA521, PA571, ...0.0 out of 5 stars."
1632717187-769,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"NEC RMT-PJ31 - Remote control - for NEC M260, M300, NP-M260, NP-M300, P350, P4200.0 out of 5 stars."
1632717187-759,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"Logitech® Spotlight Universal Presentation Remote, Gold, 910-0048605.0 out of 5 stars. 3 reviews"
1632717187-766,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,Mobile Edge MEAPE3 Device Remote Control - For PC - 60 ft Operating Distance0.0 out of 5 stars.
1632717187-771,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,Philips Universal Companion Remote For Roku4.2 out of 5 stars. 23 reviews
1632717187-761,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"One For All Samsung TV Replacement Remote - For TV, LCD TV, LED-LCD TV, Plasma T...4.9 out of 5 stars. 18 reviews"
1632717187-765,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,Philips Universal Companion Remote For Fire TV4.6 out of 5 stars. 10 reviews
1632717187-772,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"Jabra Engage Link MS - Remote control - cable - for Engage 50 Mono, 50 Stereo, 6...0.0 out of 5 stars."
1632717187-764,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,Canon RS-60E3 Remote - Digital Camera - 2 ft4.8 out of 5 stars. 12 reviews
1632717187-775,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"RCA 6 Device Universal Remote with DBS Support RCR6473N - DVD Player, DVR, TV, S...0.0 out of 5 stars."
1632717187-777,https://www.officedepot.com/a/browse/tv-universal-remotes/N=5+536536/,"One For All Vizio TV Replacement Remote - For TV, LCD TV, LED-LCD TV, Plasma TV,...5.0 out of 5 stars. 20 reviews"
