web-scraper-order,web-scraper-start-url,cat,cat-href,subcat,subcat-href,name
1632432344-30968,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand Antistatic Reclosable Poly Bags, 2 mils, 4"" x 8"", Pink, Pack..."
1632433990-32163,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Binders & Accessories,https://www.officedepot.com/a/browse/binders-and-accessories/N=5+6470/,Binders,https://www.officedepot.com/a/browse/binders/N=5+1035700/,"Office Depot® Brand Durable D-Ring View Binders, 3"" Rings, White, Pack Of 6 Bind..."
1632438551-33510,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Copy & Printer Paper,https://www.officedepot.com/a/browse/copy-and-printer-paper/N=5+530973/,Copy & Multipurpose Paper,https://www.officedepot.com/a/browse/copy-and-multipurpose-paper/N=5+582798/,"Office Depot® Brand Copy And Print Paper, Letter Size (8-1/2"" x 11""), 20 Lb, Whi..."
1632438444-33000,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,File Folders,https://www.officedepot.com/a/browse/file-folders/N=5+7238/,"Office Depot® Brand Heavy-Duty Top-Tab File Folders, 3/4"" Expansion, Letter Size..."
1632432344-30740,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand Antistatic Reclosable Poly Bags, 2 mils, 6"" x 9"", Pink, Pack...0.0 out of 5 stars."
1632433990-32164,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Binders & Accessories,https://www.officedepot.com/a/browse/binders-and-accessories/N=5+6470/,Binders,https://www.officedepot.com/a/browse/binders/N=5+1035700/,"Office Depot® Brand Heavy-Duty Easy-Open D-Ring View Binders, 3"" Rings, White, P..."
1632434100-32248,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Tape & Adhesives,https://www.officedepot.com/a/browse/tape-and-adhesives/N=5+371578/,Industrial Tape,https://www.officedepot.com/a/browse/industrial-tape/N=5+1204934/,"Office Depot® Brand PTFE Glass Cloth Tape, 3 Mils, 3"" Core, 4"" x 54', Brown"
1632438444-32934,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,File Folders,https://www.officedepot.com/a/browse/file-folders/N=5+7238/,"Office Depot® Brand Manila File Jackets, Reinforced Tab, 8 1/2"" x 11"", Box of 10..."
1632438444-32909,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,File Folders,https://www.officedepot.com/a/browse/file-folders/N=5+7238/,"Office Depot® Brand 2-Pocket Textured Paper Folders, Red, Pack Of 25"
1632432344-30488,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand Resealable Polypropylene Bags, 11"" x 14"", Clear, Pack Of 1,0..."
1632429966-28909,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Notebooks & Pads,https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+531006/,Spiral & Wireless Notebooks,https://www.officedepot.com/a/browse/spiral-and-wireless-notebooks/N=5+531010/,"Office Depot® Brand Stellar Poly Notebook, 8"" x 10-1/2"", 1 Subject, Wide Ruled, ..."
1632430227-29202,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Notebooks & Pads,https://www.officedepot.com/a/browse/notebooks-and-pads/N=5+531006/,Composition Books,https://www.officedepot.com/a/browse/composition-books/N=5+531007/,"Office Depot® Brand Fashion Composition Notebook, 7-1/2"" x 9-3/4"", Wide Ruled, 1..."
1632432344-31280,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,"Mailing, Packing & Shipping",https://www.officedepot.com/a/browse/mailing-packing-and-shipping/N=5+530227/,Poly Bags,https://www.officedepot.com/a/browse/poly-bags/N=5+530262/,"Office Depot® Brand 4 Mil Reclosable Poly Bags 5"" x 15"", Box of 1,000"
1632434754-32270,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Sticky Notes & Flags,https://www.officedepot.com/a/browse/sticky-notes-and-flags/N=5+549851/,Sticky Notes,https://www.officedepot.com/a/browse/sticky-notes/N=5+573076/,"Office Depot® Brand Sticky Notes, 1-1/2"" x 2"", Assorted Vivid Colors, 100 Sheets..."
1632438466-33160,https://www.officedepot.com/a/browse/private-brand/N=5+6201/?cm_sp=office_supplies-_-office-depot-brands_exclusive-brands_-_-brand_exclusives_main_4_1_0&promo_name=office_supplies&promo_id=office_supplies-office-depot-brands-exclusive-brands&promo_creative=office-depot-brands_exclusive-brands&promo_position=brand_exclusives_main_4_1_0,Filing & Folders,https://www.officedepot.com/a/browse/filing-and-folders/N=5+7199/,Expanding File Folders,https://www.officedepot.com/a/browse/expanding-file-folders/N=5+7211/,"Office Depot® Brand Polypropylene File Folder, 5 Pocket, Expansion 3"", 8 1/2"" x ...4.8 out of 5 stars. 30 reviews"
