web-scraper-order,web-scraper-start-url,nnn
1631866852-70,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound® The Prestige Lectern, Medium Oak"
1631866852-58,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound? The Power Plus Lectern, Mahogany"
1631866852-71,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,Oklahoma Sound? The Aristocrat Sound Lectern With Tie Clip/Lavalier Wireless Mic...
1631866852-54,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Safco® Tabletop Lectern, Cherry"
1631866852-65,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound® The Aristocrat Sound Lectern With Sound, Mahogany"
1631866852-5,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound? The Orator Lectern & Wireless Headset Microphone, Mahogany"
1631866852-81,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Flash Furniture Foldable Tabletop Lectern, 19""H x 27""W x 16-1/4""D, Mahogany"
1631866852-66,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"AmpliVox SW3250 - Wireless Pinnacle Multimedia Lectern - Sculpted Base - 47"" Hei..."
1631866852-86,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,Oklahoma Sound® The Aristocrat Sound Lectern With Sound & Wireless Tie Clip/...
1631866852-60,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound® Prestige Sound Lectern With Wireless Handheld Microphone, Mahoga..."
1631866852-61,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"AmpliVox SW505A - Wireless Executive Adjustable Column Lectern - 45"" Height x 25..."
1631866852-79,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound? Prestige Sound Lectern With Wireless Headset Microphone, Mahogan..."
1631866852-64,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Safco® Scoot™ Multipurpose Lectern, Black"
1631866852-77,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound® Tabletop & Base Combo Non-Sound Lectern, Mahogany/Walnut"
1631866852-78,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound? The Orator Fixed Height Lectern, Mahogany"
1631866852-1,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Safco® Impromptu® Lectern, Gray"
1631866852-74,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,Oklahoma Sound® Tabletop & Base Combo Sound Lectern With Tie Clip/Lavalier W...
1631866852-6,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"AmpliVox SW450 - Wireless Presidential Plus Lectern - 46.50"" Height x 25.50"" Wid..."
1631866852-80,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound® The Power Plus Lectern With Wireless Headset Microphone, Medium ..."
1631866852-39,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,AmpliVox SW505 - Wireless Executive Sound Column Lectern - Rectangle Top - Sculp...
1631866852-53,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,Oklahoma Sound? Tabletop & Base Combo Sound Lectern With Headset Wireless Mi...
1631866852-87,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Lorell® Impromptu Lectern With Modesty Panel, 45""H, Walnut"
1631866852-59,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound® The Aristocrat Sound Lectern With Sound, Medium Oak"
1631866852-22,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Safco® Lectern Base/Media Cart, Mahogany"
1631866852-24,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"AmpliVox Multimedia Smart Computer Wireless Lectern, Mahogany"
1631866852-48,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,Advantus Brass Engraved Gavel Set - Brass
1631866852-11,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound? The Prestige Lectern, Mahogany"
1631866852-88,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound? The Orator Lectern & Wireless Tie Clip/Lavalier Microphone, ..."
1631866852-17,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"AmpliVox W242 - Travel-Lite Folding Tabletop Lectern - Rectangle Top - 20"" Table..."
1631866852-47,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound Portable Presentation Lectern Stand, Medium Oak"
1631866852-7,https://www.officedepot.com/a/browse/tabletop-podiums-and-lecterns/N=5+531960/,"Oklahoma Sound® The Orator Lectern, Medium Oak"
