web-scraper-order,web-scraper-start-url,nnn
1631867057-98,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"South Shore Axess Printer Cart, Royal Cherry"
1631867057-136,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"South Shore Axess Printer Cart, Chocolate"
1631867057-111,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Canon ST-25 Printer Stand - 9.4"" Height x 13.8"" Width x 6.3"" Depth"
1631867057-181,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Magellan 36""W Tech Station Printer Stand 2.0, Blonde Ash4.3 out of 5 stars. 673 reviews"
1631867057-103,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Sauder® Clifford Place Credenza, Grand Walnut"
1631867057-182,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Plank 27""W Storage Cabinet/Printer Stand, Coastal Oak4.8 out of 5 stars. 30 reviews"
1631867057-162,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Sauder® Edge Water Utility Stand, Estate Black4.2 out of 5 stars. 36 reviews"
1631867057-179,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Magellan 36""W Tech Station Printer Stand 2.0, Classic Cherry4.3 out of 5 stars. 673 reviews"
1631867057-149,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Mayline Laminate Utility Cabinet, Mahogany"
1631867057-113,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Lexmark Swivel Cabinet - 10.4"" Height x 18.7"" Width x 23.6"" Depth"
1631867057-92,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Magellan 29""W Tech Station Printer Stand, Espresso"
1631867057-147,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Sauder® Costa Credenza, Coffee Oak"
1631867057-143,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Mount-It Desktop Printer Stand With Drawer, 7.625""H x 19.3""W x 13""D, Black, MI-7..."
1631867057-94,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Magellan 36""W Tech Station Printer Stand 2.0, Espresso"
1631867057-117,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"HP Color LaserJet Printer Cabinet - 11.5"" Height x 34.8"" Width x 34.2"" Depth"
1631867057-189,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Xerox Storage Cart - Printer cart - for Phaser 6700, 7100, 7800"
1631867057-176,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Sauder® Shoal Creek Utility Stand, 24-1/4""H x 35-1/4""W x 20-5/8""D, Jamocha Wood4.4 out of 5 stars. 5 reviews"
1631867057-187,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Sauder® Costa Credenza, Chalked Chestnut"
1631867057-106,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Sauder® Costa 65""W Office Credenza, Washed Walnut"
1631867057-114,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Sauder® Shoal Creek Utility Stand, 24-1/4""H x 35-1/4""W x 20-5/8""D, Jamocha Wood"
1631867057-164,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"South Shore Axess Printer Cart, Pure White4.6 out of 5 stars. 5 reviews"
1631867057-160,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"South Shore Axess Printer Cart, Royal Cherry4.8 out of 5 stars. 31 reviews"
1631867057-124,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Magellan 36""W Tech Station Printer Stand 2.0, Classic Cherry"
1631867057-122,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Magellan 36""W Tech Station Printer Stand 2.0, Gray"
1631867057-135,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Safco® Wave Under Desk Printer Stand, Light Gray"
1631867057-102,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"South Shore Axess Printer Cart, Pure White"
1631867057-161,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Safco® Scoot™ Under-Desk Printer Stand, 14-1/2""H x 20-1/4""W x 16-1/2""D, Black/Si...3.9 out of 5 stars. 19 reviews"
1631867057-141,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Safco® Scoot Desk-Side Printer Stand, 26-1/2""H x 26-1/2""W x 20-1/2""D, Black/Silv..."
1631867057-175,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Lexmark Swivel Cabinet - 10.4"" Height x 18.7"" Width x 23.6"" Depth0.0 out of 5 stars."
1631867057-168,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Sauder® Costa 65""W Office Credenza, Washed Walnut0.0 out of 5 stars."
1631867057-170,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,HP LaserJet Printer Cabinet0.0 out of 5 stars.
1631867057-166,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Safco® Wave Under Desk Printer Stand, Light Gray4.3 out of 5 stars. 14 reviews"
1631867057-100,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Sauder® Edge Water Utility Stand, Estate Black"
1631867057-127,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Plank 27""W Storage Cabinet/Printer Stand, Coastal Oak"
1631867057-188,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,Canon Stand for IPF5100 Large Format Printer
1631867057-178,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Magellan 29""W Tech Station Printer Stand, Espresso4.4 out of 5 stars. 452 reviews"
1631867057-159,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Chase 27""W Storage Cabinet/Printer Stand, Coastal Gray3.6 out of 5 stars. 18 reviews"
1631867057-138,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"South Shore Axess Printer Cart On Wheels, Royal Cherry"
1631867057-115,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Sauder® Carson Forge Technology Pier, Washington Cherry"
1631867057-95,https://www.officedepot.com/a/browse/printer-stands/N=5+501487/,"Realspace® Magellan 36""W Tech Station Printer Stand 2.0, Blonde Ash"
