web-scraper-order,web-scraper-start-url,nnn
1631867197-943,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Baxton Studio Hill TV Stand, White/Oak Brown0.0 out of 5 stars."
1631867197-335,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Southern Enterprises Jaymes Metal/Glass Corner TV Stand For Flat-Screen TVs, 23""..."
1631867197-698,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Bush Furniture Key West Tall TV Stand With Coffee Table And Set Of 2 End Tables,...0.0 out of 5 stars."
1631867197-744,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Sauder® North Avenue Entertainment Credenza For 55"" TV, 24""H x 57-1/4""W x 17-5/8...5.0 out of 5 stars. 1 review"
1631867197-435,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Sauder® Palladia Credenza For 70"" TVs, 33-1/8""H x 70-1/8""W x 19-1/2""D, Select Ch...5.0 out of 5 stars. 1 review"
1631867197-544,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Bush Furniture Key West Tall TV Stand With Coffee Table, Console Table And Set O...0.0 out of 5 stars."
1631867197-708,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Baxton Studio Multi-Tone TV Stand, 18-1/8""H x 70-15/16""W x 13-13/16""D, Gray/Oak ...0.0 out of 5 stars."
1631867197-520,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Bush Furniture Key West Tall TV Stand With Coffee Table, Console Table And Set O..."
1631867197-1027,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Mount-It MI-1874 Digital Signage TV Floor Stand For 32"" - 55"" Displays, Black4.6 out of 5 stars. 38 reviews"
1631867197-918,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Bush Furniture Broadview TV Stand For TVs Up To 55"", Espresso Oak, Standard Deli...0.0 out of 5 stars."
1631867197-895,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Mount-It MI-864 Entertainment Center For 32 - 60"" TVs, 50""H x 48""W x 18""D, Black4.8 out of 5 stars. 25 reviews"
1631867197-917,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Sauder® Cannery Bridge Display Cabinet For 42"" TVs, 30-3/8""H x 41-1/8""W x 17-1/2...0.0 out of 5 stars."
1631867197-755,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Baxton Studio Contemporary TV Stand, 20-1/8""H x 47-1/4""W x 15-5/8""D, Rustic Oak/...0.0 out of 5 stars."
1631867197-807,https://www.officedepot.com/a/browse/tv-stands/N=5+1256879/,"Monarch Specialties Luca TV Stand, 20""H x 47-3/4""W x 15-3/4""D, Gray0.0 out of 5 stars."
