web-scraper-order,web-scraper-start-url,name
1632582551-397,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Baxton Studio 9493 Armchair, Light Pink"
1632582551-431,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"LumiSource Tania Accent Chair, Gold/Champagne0.0 out of 5 stars."
1632582551-382,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Lorell® Distressed Soft Touch Lounge Chair, Black"
1632582551-163,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Baxton Studio 9518 Armchair, Beige"
1632582551-206,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Serta® Artesia Collection Arm Chair, Slate Gray/Chestnut"
1632582551-233,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Axe Six Work Smart™ Davis Loveseat, Klein Azure/Medium Espresso0.0 out of 5 stars."
1632582551-198,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Serta® Sierra Collection Loveseat, Slate Gray/Chestnut"
1632582551-413,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Elle Décor Simone Double-Track Arm Sofa, Taupe/Espresso0.0 out of 5 stars."
1632582551-200,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Baxton Studio Arvid Dining Nook Set, Dark Brown/Walnut Brown"
1632582551-90,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Office Star™ Avenue Six Mill Lane Loveseat, Navy"
1632582551-236,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Ave Six Laguna Loveseat, Oyster/Dark Espresso0.0 out of 5 stars."
1632582551-313,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"LumiSource Rafael Lounge Chair, Black/Yellow0.0 out of 5 stars."
1632582551-280,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Serta® Artesia Collection Arm Chair, Smoke Gray/Chestnut"
1632582551-128,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Elle Décor Natalie Mid-Century Modern Arm Chair, Beige/Chestnut"
1632582551-120,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"StyleWorks Paris Lounge Chair, Ruby"
1632582551-279,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Office Star™ Avenue Six Chatou Chair, Midnight Blue"
1632582551-272,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Baxton Studio 9515 Armchair, Charcoal"
1632582551-121,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Lorell Argyle Lounge Fabric Swivel Chair, Gray"
1632582551-88,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Ave Six Pacific Loveseat, Espresso/Chrome"
1632582551-152,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Mayline® Santa Cruz Bonded Leather Lounge Seating Sofa, White/White"
1632582551-240,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Serta® RTA Monaco Bonded Leather Sofa, 72""W, Brown0.0 out of 5 stars."
1632582551-337,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Office Star™ Club Chair, Dillon Black/Chrome0.0 out of 5 stars."
1632582551-131,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Serta® RTA Trinidad Collection Fabric Loveseat Sofa, 61""W, Chocolate"
1632582551-366,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Flash Furniture Hercules Imperial Bonded LeatherSoft™ Loveseat, Brown"
1632582551-199,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Serta® Copenhagen Deep-Seating Loveseat, Beige/Espresso"
1632582551-421,https://www.officedepot.com/a/browse/sofas-and-lounge-chairs/N=5+1436114/,"Flash Furniture Hercules Imperial Bonded LeatherSoft™ Loveseat, Black"
