web-scraper-order,web-scraper-start-url,nnn
1631566421-6225,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Lorell® Millenia Pneumatic Task Stool, Black3.0 out of 5 stars. 2 reviews"
1631566421-6083,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Ergonomic Mesh Mid-Back Drafting Chair, White5.0 out of 5 stars. 1 review"
1631566421-6395,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Balt® Trax Adjustable Height Stool, Black"
1631566421-6216,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Mesh Mid-Back Drafting Chair, Navy/Black1.0 out of 5 stars. 1 review"
1631566421-6227,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Vibrant Drafting Stool, Violet/Chrome0.0 out of 5 stars."
1631566421-6356,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Mesh Drafting Stool, Black2.5 out of 5 stars. 2 reviews"
1631566421-6343,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Office Star™ WorkSmart Deluxe Mid-Back Dillon Fabric Drafting Chair, Gray0.0 out of 5 stars."
1631566421-6386,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture HERCULES Big And Tall Leather Drafting Chair, Black"
1631566421-6092,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Drafting Stool, Adjustable Arms, Black, B1616-BK4.3 out of 5 stars. 10 reviews"
1631566421-6336,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Mid-Back Mesh Drafting Chair, Black"
1631566421-6304,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Office Star™ Sunnydale Fabric Mid-Back Office Chair, Fog"
1631566421-6155,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Bush Business Furniture Accord Drafting Stool With Chrome Foot Ring, Black Fabri...4.0 out of 5 stars. 1 review"
1631566421-6141,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Office Star Versailles Velvet Mid-Back Office Chair, Smoke/Chrome"
1631566421-6182,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,Sculptured Seat and Back Drafting Chair with Adjustable Foot ring. Pneumatic Hei...
1631566421-6311,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Vibrant Drafting Stool, Candy Heart/Chrome0.0 out of 5 stars."
1631566421-6266,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Office Star Milo Mid-Back Office Chair, Blush/Chrome"
1631566421-6387,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Drafting Stool, Adjustable Arms, Black/Chrome, B1691-BK"
1631566421-6348,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Koplus Tonique Mesh Drafting Chair, Midnight Black0.0 out of 5 stars."
1631566421-6316,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Raynor® Eurotech Apollo VDFT9800 Drafting Stool, Red Insight Real Red"
1631566421-6310,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,Office Star Space Series 15 Air Grid/Mesh Drafting Chair0.0 out of 5 stars.
1631566421-6097,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"OFM Posture Series Fabric Task Chair With Drafting Kit, Black4.6 out of 5 stars. 5 reviews"
1631566421-6204,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Ergonomic Mesh Mid-Back Drafting Chair, Black4.0 out of 5 stars. 2 reviews"
1631566421-6237,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Hercules Big And Tall Fabric Drafting Chair, Black0.0 out of 5 stars."
1631566421-6179,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"HON® Prominent High-Back Task Stool, Black"
1631566421-6075,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Ergonomic Mesh Mid-Back Drafting Chair, Dark Gray0.0 out of 5 stars."
1631566421-6260,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Koplus Switch Fabric Drafting Chair, Royal Black/White"
1631566421-6235,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Vibrant Drafting Stool, White/Chrome4.0 out of 5 stars. 2 reviews"
1631566421-6164,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"HON® Solve Fabric Mid-Back Task Chair, Ink/Titanium0.0 out of 5 stars."
1631566421-6152,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Lorell® Millenia Pneumatic Task Stool, Blue0.0 out of 5 stars."
1631566421-6320,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Ergonomic Drafting Chair, Navy/Black"
1631566421-6403,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"HON® Solve Task Stool, Black"
1631566421-6258,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Mesh Drafting Stool With Loop Arms, Black"
1631566421-6389,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Safco® Metro™ Extended Height Chair, Chrome/Black"
1631566421-6178,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,null
1631566421-6181,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Drafting Stool, With Arms, Black/Chrome, B1617-BK"
1631566421-6288,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Space Seating Ergonomic Nylon AirGrid Mid-Back Drafting Chair, Black0.0 out of 5 stars."
1631566421-6166,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Vari Drafting Chair, Black1.0 out of 5 stars. 1 review"
1631566421-6331,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture HERCULES Big And Tall Mesh Drafting Chair With Adjustable Arms, ..."
1631566421-6183,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Office Star™ Deluxe Mesh-Back Drafting Chair With Foot Ring, Black"
1631566421-6080,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,Sculptured Seat and Back Vinyl Drafting Chair with Adjustable Foot ring. Pneumat...4.1 out of 5 stars. 14 reviews
1631566421-6117,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Drafting Stool, No Arms, Blue/Chrome, B1615-BE4.2 out of 5 stars. 9 reviews"
1631566421-6229,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture HERCULES Big And Tall Fabric Drafting Chair, Black3.0 out of 5 stars. 1 review"
1631566421-6342,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Fabric Drafting Stool, Black/Chrome3.0 out of 5 stars. 2 reviews"
1631566421-6313,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Safco® Apprentice II Extended-Height Vinyl Chair, Black/Chrome0.0 out of 5 stars."
1631566421-6154,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,Deluxe AirGrid® Back Drafting Chair with Mesh Seat and Adjustable Footring and N...0.0 out of 5 stars.
1631566421-6287,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Office Star™ ProGrid Mesh Mid-Back Drafting Chair, Coal/Black0.0 out of 5 stars."
1631566421-6115,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"OFM Mesh Comfort Series Ergonomic Fabric Task Chair With Arms And Drafting Kit, ...0.0 out of 5 stars."
1631566421-6223,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Mesh High-Back Drafting Chair, Black0.0 out of 5 stars."
1631566421-6113,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Eurotech Apollo Drafting Stool, Black3.9 out of 5 stars. 13 reviews"
1631566421-6126,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Ergonomic Adjustable Drafting Chair, Black"
1631566421-6392,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,Boss Stand Up Fabric Drafting Stool with Foot Rest Black - Blue Crepe Fabric Sea...
1631566421-6372,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Safco® Shell Extended-Height Chair, Black/White"
1631566421-6365,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Drafting Stool With Antimicrobial Protection, Adjustable Arms, Footring, Bl..."
1631566421-6171,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Brenton Studio® Cosimo Fabric Mid-Back Drafting Stool, Black/Chrome"
1631566421-6306,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"HON® Solve Fabric Mid-Back Task Chair, Midnight/Titanium2.0 out of 5 stars. 1 review"
1631566421-6270,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Ergonomic Adjustable Drafting Chair, Burgundy/Black4.0 out of 5 stars. 2 reviews"
1631566421-6248,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Drafting Stool, Adjustable Arms, Blue, B1616-BE"
1631566421-6172,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Ergonomic Mesh Mid-Back Drafting Chair, Dark Gray"
1631566421-6108,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Drafting Stool, With Arms, Black/Chrome, B1617-BK4.4 out of 5 stars. 17 reviews"
1631566421-6245,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Flash Furniture Mid-Back Mesh Ergonomic Drafting Chair, Dark Gray"
1631566421-6272,https://www.officedepot.com/a/browse/drafting-chairs/N=5+593064/,"Boss Drafting Stool, Adjustable Arms, Blue, B1616-BE4.5 out of 5 stars. 2 reviews"
