web-scraper-order,web-scraper-start-url,nnn
1631464710-452,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear Racing S-Line SL5000 Gaming Chair, Black/Blue4.6 out of 5 stars. 161 reviews"
1631464710-275,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear Racing P-Line PL4500 High-Back Gaming Chair, Black/Green"
1631464710-698,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear Racing P-Line PL4500 High-Back Gaming Chair, Black/Carbon4.6 out of 5 stars. 55 reviews"
1631464710-398,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Flash Furniture X30 Ergonomic LeatherSoft Gaming Racing Chair, Red3.0 out of 5 stars. 1 review"
1631464710-422,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Realspace® DRG High-Back Gaming Chair, Black/Gray4.0 out of 5 stars. 183 reviews"
1631464710-650,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Arozzi Primo Ergonomic Faux Leather High-Back Gaming Chair, Black0.0 out of 5 stars."
1631464710-393,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,Flash Furniture X10 Ergonomic LeatherSoft High-Back Racing Gaming Chair With Fli...4.7 out of 5 stars. 7 reviews
1631464710-606,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Respawn 400 Racing-Style Big And Tall Bonded Leather Gaming Chair, Gray/Black4.1 out of 5 stars. 26 reviews"
1631464710-729,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear PL 1000 Series Ergonomic Faux Leather High-Back Gaming Chair, Black4.6 out of 5 stars. 171 reviews"
1631464710-716,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Arozzi Verona Pro V2 High-Back Gaming Chair, Carbon Black0.0 out of 5 stars."
1631464710-313,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"GameFitz Ergonomic Faux Leather Gaming Chair, Black/Red"
1631464710-603,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"AKRacing™ Master Max Gaming Chair, Blue5.0 out of 5 stars. 1 review"
1631464710-573,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"GameFitz Ergonomic Faux Leather Gaming Chair, Black/Blue0.0 out of 5 stars."
1631464710-372,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Lorell® Bucket High-Back Gaming Chair, Red/Black"
1631464710-738,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Respawn 100 Racing-Style Bonded Leather Gaming Chair, White/Black4.5 out of 5 stars. 52 reviews"
1631464710-401,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Essentials By OFM Racing-Style Bonded Leather High-Back Gaming Chair, Blue/Black3.5 out of 5 stars. 4 reviews"
1631464710-600,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"HHGears XL 500 PC Gaming Racing Chair With Headrest, Black0.0 out of 5 stars."
1631464710-774,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Raynor® Energy Competition Gaming Chair, Black/Red0.0 out of 5 stars."
1631464710-706,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"AKRacing™ Core SX Gaming Chair, Black0.0 out of 5 stars."
1631464710-322,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Arozzi Verona Ergonomic Faux Leather High-Back Gaming Chair, Black/Blue"
1631464710-491,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear Racing S-Line SL2000 Gaming Chair, Black/White0.0 out of 5 stars."
1631464710-429,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Respawn 110 Racing-Style Bonded Leather Gaming Chair, White/Black4.8 out of 5 stars. 28 reviews"
1631464710-780,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Respawn 100 Racing-Style Bonded Leather Gaming Chair, Red/Black4.5 out of 5 stars. 52 reviews"
1631464710-752,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Arozzi Primo Premium Ergonomic Fabric High-Back Gaming Chair, Dark Gray0.0 out of 5 stars."
1631464710-330,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Arozzi Milano Enhanced Gaming Racing-Style Chair, Black/White"
1631464710-509,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"AKRacing™ Core Series EX Gaming Chair, Red/Black0.0 out of 5 stars."
1631464710-345,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Arozzi Enzo Ergonomic Fabric High-Back Gaming Chair, Light Gray/Black"
1631464710-620,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"AKRacing™ Core LX Gaming Chair, White0.0 out of 5 stars."
1631464710-232,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Respawn 110 Racing-Style Bonded Leather Gaming Chair, Gray/Black"
1631464710-659,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,Flash Furniture X10 Ergonomic LeatherSoft High-Back Racing Gaming Chair With Fli...4.8 out of 5 stars. 8 reviews
1631464710-702,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear Racing S-Line SL2000 Gaming Chair, Black/Purple4.6 out of 5 stars. 130 reviews"
1631464710-453,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"AKRacing™ Core Series EX Gaming Chair, Black1.0 out of 5 stars. 1 review"
1631464710-388,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Ace X Rocker Dash Wireless Floor Rocker Gaming Chair, Blue/Black0.0 out of 5 stars."
1631464710-537,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Arozzi Enzo Ergonomic Fabric High-Back Gaming Chair, Light Gray/Black0.0 out of 5 stars."
1631464710-592,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"X Rocker Flash 2.0 High Tech Audio Wired Gaming Chair, Black/Gray/Red5.0 out of 5 stars. 1 review"
1631464710-482,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear Racing P-Line PL4500 High-Back Gaming Chair, Black/Blue4.6 out of 5 stars. 55 reviews"
1631464710-354,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Arozzi Forte Ergonomic Faux Leather High-Back Gaming Chair, Black/Blue"
1631464710-268,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"OFM Essentials 3086 Racing-Style Bonded Leather High-Back Gaming Chair, Black/Wh..."
1631464710-550,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Arozzi Verona V2 High-Back Chair, Black/Red/Black4.3 out of 5 stars. 7 reviews"
1631464710-271,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear Triigger 350 Bonded Leather Ergonomic Gaming Chair, Black/Red"
1631464710-267,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Lorell® Bucket High-Back Gaming Chair, Black/Blue"
1631464710-394,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Arozzi Vernazza Premium Ergonomic Fabric High-Back Gaming Chair, Blue/Black0.0 out of 5 stars."
1631464710-281,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear Racing P-Line PL6000 Gaming Chair, Black/Green"
1631464710-377,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"HHGears XL 800 PC Gaming Racing Chair With Headrest, Red/Black0.0 out of 5 stars."
1631464710-407,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Ace X Rocker Classic Sound Office Chair, Black/Gray0.0 out of 5 stars."
1631464710-672,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear Racing S-Line SL2000 Gaming Chair, Black/Carbon4.6 out of 5 stars. 295 reviews"
1631464710-732,https://www.officedepot.com/a/browse/gaming-chairs/N=5+1302556/,"Vertagear Racing S-Line SL4000 Gaming Chair, Black/Carbon4.7 out of 5 stars. 67 reviews"
