web-scraper-order,web-scraper-start-url,nnn
1631697309-1414,https://www.officedepot.com/a/browse/sauder-barrister-lane/N=5+501588+871039/?cm_sp=furniture-_-sauder-barrister-lane-collection_transitional-home-office_-_-collections_home-and-small-office-all-collections_main_5_1_0&promo_name=furniture&promo_id=furniture-sauder-barrister-lane-collection-transitional-home-office&promo_creative=sauder-barrister-lane-collection_transitional-home-office&promo_position=collections_home-and-small-office-all-collections_main_5_1_0,"Sauder® Barrister Lane Storage Cabinet, 4 Shelves, Salt Oak0.0 out of 5 stars."
1631697309-1406,https://www.officedepot.com/a/browse/sauder-barrister-lane/N=5+501588+871039/?cm_sp=furniture-_-sauder-barrister-lane-collection_transitional-home-office_-_-collections_home-and-small-office-all-collections_main_5_1_0&promo_name=furniture&promo_id=furniture-sauder-barrister-lane-collection-transitional-home-office&promo_creative=sauder-barrister-lane-collection_transitional-home-office&promo_position=collections_home-and-small-office-all-collections_main_5_1_0,"Sauder® Barrister Lane Cubby Bookcase, Tall, Iron Oak0.0 out of 5 stars."
1631697309-1408,https://www.officedepot.com/a/browse/sauder-barrister-lane/N=5+501588+871039/?cm_sp=furniture-_-sauder-barrister-lane-collection_transitional-home-office_-_-collections_home-and-small-office-all-collections_main_5_1_0&promo_name=furniture&promo_id=furniture-sauder-barrister-lane-collection-transitional-home-office&promo_creative=sauder-barrister-lane-collection_transitional-home-office&promo_position=collections_home-and-small-office-all-collections_main_5_1_0,"Sauder® Barrister Lane Corner Entertainment Stand For 42"" TVs, Iron Oak0.0 out of 5 stars."
1631697309-1405,https://www.officedepot.com/a/browse/sauder-barrister-lane/N=5+501588+871039/?cm_sp=furniture-_-sauder-barrister-lane-collection_transitional-home-office_-_-collections_home-and-small-office-all-collections_main_5_1_0&promo_name=furniture&promo_id=furniture-sauder-barrister-lane-collection-transitional-home-office&promo_creative=sauder-barrister-lane-collection_transitional-home-office&promo_position=collections_home-and-small-office-all-collections_main_5_1_0,"Sauder® Barrister Lane Cubby Bookcase, Salt Oak4.8 out of 5 stars. 4 reviews"
1631697309-1413,https://www.officedepot.com/a/browse/sauder-barrister-lane/N=5+501588+871039/?cm_sp=furniture-_-sauder-barrister-lane-collection_transitional-home-office_-_-collections_home-and-small-office-all-collections_main_5_1_0&promo_name=furniture&promo_id=furniture-sauder-barrister-lane-collection-transitional-home-office&promo_creative=sauder-barrister-lane-collection_transitional-home-office&promo_position=collections_home-and-small-office-all-collections_main_5_1_0,"Sauder® Barrister Lane Cubby Bookcase, Tall, Scribed Oak0.0 out of 5 stars."
1631697309-1415,https://www.officedepot.com/a/browse/sauder-barrister-lane/N=5+501588+871039/?cm_sp=furniture-_-sauder-barrister-lane-collection_transitional-home-office_-_-collections_home-and-small-office-all-collections_main_5_1_0&promo_name=furniture&promo_id=furniture-sauder-barrister-lane-collection-transitional-home-office&promo_creative=sauder-barrister-lane-collection_transitional-home-office&promo_position=collections_home-and-small-office-all-collections_main_5_1_0,"Sauder® Barrister Lane Storage Cabinet, 4 Shelves, Iron Oak5.0 out of 5 stars. 1 review"
1631697309-1411,https://www.officedepot.com/a/browse/sauder-barrister-lane/N=5+501588+871039/?cm_sp=furniture-_-sauder-barrister-lane-collection_transitional-home-office_-_-collections_home-and-small-office-all-collections_main_5_1_0&promo_name=furniture&promo_id=furniture-sauder-barrister-lane-collection-transitional-home-office&promo_creative=sauder-barrister-lane-collection_transitional-home-office&promo_position=collections_home-and-small-office-all-collections_main_5_1_0,"Sauder® Barrister Lane Entertainment/Storage Credenza For 80"" TVs, Iron Oak0.0 out of 5 stars."
1631697309-1417,https://www.officedepot.com/a/browse/sauder-barrister-lane/N=5+501588+871039/?cm_sp=furniture-_-sauder-barrister-lane-collection_transitional-home-office_-_-collections_home-and-small-office-all-collections_main_5_1_0&promo_name=furniture&promo_id=furniture-sauder-barrister-lane-collection-transitional-home-office&promo_creative=sauder-barrister-lane-collection_transitional-home-office&promo_position=collections_home-and-small-office-all-collections_main_5_1_0,"Sauder® Barrister Lane Side Table, Square, Black/Salt Oak5.0 out of 5 stars. 1 review"
1631697309-1416,https://www.officedepot.com/a/browse/sauder-barrister-lane/N=5+501588+871039/?cm_sp=furniture-_-sauder-barrister-lane-collection_transitional-home-office_-_-collections_home-and-small-office-all-collections_main_5_1_0&promo_name=furniture&promo_id=furniture-sauder-barrister-lane-collection-transitional-home-office&promo_creative=sauder-barrister-lane-collection_transitional-home-office&promo_position=collections_home-and-small-office-all-collections_main_5_1_0,"Sauder® Barrister Lane Cubby Bookcase, Scribed Oak0.0 out of 5 stars."
1631697309-1407,https://www.officedepot.com/a/browse/sauder-barrister-lane/N=5+501588+871039/?cm_sp=furniture-_-sauder-barrister-lane-collection_transitional-home-office_-_-collections_home-and-small-office-all-collections_main_5_1_0&promo_name=furniture&promo_id=furniture-sauder-barrister-lane-collection-transitional-home-office&promo_creative=sauder-barrister-lane-collection_transitional-home-office&promo_position=collections_home-and-small-office-all-collections_main_5_1_0,"Sauder® Barrister Lane Cubby Bookcase, Iron Oak0.0 out of 5 stars."
