web-scraper-order,web-scraper-start-url,nnn
1631716933-2024,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water Utility Stand, Chalked Chestnut3.7 out of 5 stars. 3 reviews"
1631716933-2022,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water Utility Stand, Estate Black4.2 out of 5 stars. 36 reviews"
1631716933-2018,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water 66""W Executive Desk, Chalked Chestnut4.4 out of 5 stars. 26 reviews"
1631716933-2033,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water Lift-Top Desk, Estate Black0.0 out of 5 stars."
1631716933-2019,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water 66""W Executive Desk, Estate Black4.7 out of 5 stars. 3 reviews"
1631716933-2023,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water 59""W Computer Desk, Chalked Chestnut4.3 out of 5 stars. 18 reviews"
1631716933-2025,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water 33""W Lateral 2-Drawer File Cabinet, Estate Black4.0 out of 5 stars. 2 reviews"
1631716933-2026,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water SmartCenter® Secretary, 1 Adjustable Shelf, Estate Black0.0 out of 5 stars."
1631716933-2030,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder Edge Water Highboy TV Stand For TVs Up To 47"", Estate Black0.0 out of 5 stars."
1631716933-2028,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder Edge Water Entertainment Credenza TV Stand For TVs Up To 55"", Estate Blac...5.0 out of 5 stars. 1 review"
1631716933-2020,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water 33""W Lateral 2-Drawer File Cabinet, Chalked Chestnut3.5 out of 5 stars. 4 reviews"
1631716933-2031,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water Computer Desk With Hutch, Estate Black2.0 out of 5 stars. 2 reviews"
1631716933-2029,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water 71 7/8"" 5 Shelf Cottage Library with Doors, Black/Dark Finish...0.0 out of 5 stars."
1631716933-2034,https://www.officedepot.com/a/browse/sauder-edge-water/N=5+501588+537006/?cm_sp=furniture-_-sauder-edge-water-collection_mid-century-home-office_-_-collections_home-and-small-office-all-collections_main_16_1_0&promo_name=furniture&promo_id=furniture-sauder-edge-water-collection-mid-century-home-office&promo_creative=sauder-edge-water-collection_mid-century-home-office&promo_position=collections_home-and-small-office-all-collections_main_16_1_0,"Sauder® Edge Water Lift-Top Coffee Table, Estate Black0.0 out of 5 stars."
