web-scraper-order,web-scraper-start-url,nnn
1631633023-646,https://www.officedepot.com/a/browse/computer-desks/N=5+579905/?cm_sp=furniture-_-desks_computer_desks_shopbycategory-_-category_desks--501545_main_2_1_0&promo_name=furniture&promo_id=furniture-desks-computer_desks&promo_creative=desks_computer_desks&promo_position=category_desks--501545_main_2_1_0,"Lorell SOHO Table Desk - 47"" x 23.5"" x 30"" - 1 - Band Edge - Material: Steel Leg...0.0 out of 5 stars."
1631633023-200,https://www.officedepot.com/a/browse/computer-desks/N=5+579905/?cm_sp=furniture-_-desks_computer_desks_shopbycategory-_-category_desks--501545_main_2_1_0&promo_name=furniture&promo_id=furniture-desks-computer_desks&promo_creative=desks_computer_desks&promo_position=category_desks--501545_main_2_1_0,"Sauder® Clifford Place Mid-Century Executive Desk, Walnut4.2 out of 5 stars. 204 reviews"
1631633023-415,https://www.officedepot.com/a/browse/computer-desks/N=5+579905/?cm_sp=furniture-_-desks_computer_desks_shopbycategory-_-category_desks--501545_main_2_1_0&promo_name=furniture&promo_id=furniture-desks-computer_desks&promo_creative=desks_computer_desks&promo_position=category_desks--501545_main_2_1_0,"Bush Furniture Salinas Mission Desk With Hutch, Lateral File Cabinet And 5 Shelf...0.0 out of 5 stars."
1631633023-461,https://www.officedepot.com/a/browse/computer-desks/N=5+579905/?cm_sp=furniture-_-desks_computer_desks_shopbycategory-_-category_desks--501545_main_2_1_0&promo_name=furniture&promo_id=furniture-desks-computer_desks&promo_creative=desks_computer_desks&promo_position=category_desks--501545_main_2_1_0,"Sauder® Palladia Computer Desk With Hutch, Vintage Oak4.5 out of 5 stars. 2 reviews"
1631633023-531,https://www.officedepot.com/a/browse/computer-desks/N=5+579905/?cm_sp=furniture-_-desks_computer_desks_shopbycategory-_-category_desks--501545_main_2_1_0&promo_name=furniture&promo_id=furniture-desks-computer_desks&promo_creative=desks_computer_desks&promo_position=category_desks--501545_main_2_1_0,"Bush® Furniture Salinas Small Computer Desk with Hutch, Shiplap Gray/Pure White,...0.0 out of 5 stars."
1631633023-1024,https://www.officedepot.com/a/browse/computer-desks/N=5+579905/?cm_sp=furniture-_-desks_computer_desks_shopbycategory-_-category_desks--501545_main_2_1_0&promo_name=furniture&promo_id=furniture-desks-computer_desks&promo_creative=desks_computer_desks&promo_position=category_desks--501545_main_2_1_0,"Sauder® Beginnings Computer Desk, Cinnamon Cherry"
1631633023-289,https://www.officedepot.com/a/browse/computer-desks/N=5+579905/?cm_sp=furniture-_-desks_computer_desks_shopbycategory-_-category_desks--501545_main_2_1_0&promo_name=furniture&promo_id=furniture-desks-computer_desks&promo_creative=desks_computer_desks&promo_position=category_desks--501545_main_2_1_0,"Sauder® Heritage Hill 65""W Double-Pedestal Desk, Classic Cherry4.3 out of 5 stars. 1069 reviews"
1631633023-246,https://www.officedepot.com/a/browse/computer-desks/N=5+579905/?cm_sp=furniture-_-desks_computer_desks_shopbycategory-_-category_desks--501545_main_2_1_0&promo_name=furniture&promo_id=furniture-desks-computer_desks&promo_creative=desks_computer_desks&promo_position=category_desks--501545_main_2_1_0,"Realspace® Magellan 59""W Manager's Desk, Espresso4.3 out of 5 stars. 1642 reviews"
1631633023-852,https://www.officedepot.com/a/browse/computer-desks/N=5+579905/?cm_sp=furniture-_-desks_computer_desks_shopbycategory-_-category_desks--501545_main_2_1_0&promo_name=furniture&promo_id=furniture-desks-computer_desks&promo_creative=desks_computer_desks&promo_position=category_desks--501545_main_2_1_0,"Bush Furniture Key West Secretary Desk With Keyboard Tray And Storage Cabinet, L...0.0 out of 5 stars."
1631633023-868,https://www.officedepot.com/a/browse/computer-desks/N=5+579905/?cm_sp=furniture-_-desks_computer_desks_shopbycategory-_-category_desks--501545_main_2_1_0&promo_name=furniture&promo_id=furniture-desks-computer_desks&promo_creative=desks_computer_desks&promo_position=category_desks--501545_main_2_1_0,"Lorell® Essentials 22""D Vertical 2-Drawer Fixed Pedestal Box/File Cabinet, Metal..."
