web-scraper-order,web-scraper-start-url,nnn
"1631731536-4985","https://www.officedepot.com/a/browse/standing-desk-converters/N=5+1205513/?cm_sp=furniture-_-desks_standing_desk_converter_shopbycategory-_-category_desks--501545_main_2_12_0&promo_name=furniture&promo_id=furniture-desks-standing_desk_converter&promo_creative=desks_standing_desk_converter&promo_position=category_desks--501545_main_2_12_0","VersaDesk Power Pro Sit-To-Stand Height-Adjustable Electric Desk Riser, Cherry5.0 out of 5 stars. 5 reviews"
"1631731536-4982","https://www.officedepot.com/a/browse/standing-desk-converters/N=5+1205513/?cm_sp=furniture-_-desks_standing_desk_converter_shopbycategory-_-category_desks--501545_main_2_12_0&promo_name=furniture&promo_id=furniture-desks-standing_desk_converter&promo_creative=desks_standing_desk_converter&promo_position=category_desks--501545_main_2_12_0","FlexiSpot M2 Height-Adjustable Standing Desk Riser With Removable Keyboard Tray,...4.8 out of 5 stars. 77 reviews"
"1631731536-4916","https://www.officedepot.com/a/browse/standing-desk-converters/N=5+1205513/?cm_sp=furniture-_-desks_standing_desk_converter_shopbycategory-_-category_desks--501545_main_2_12_0&promo_name=furniture&promo_id=furniture-desks-standing_desk_converter&promo_creative=desks_standing_desk_converter&promo_position=category_desks--501545_main_2_12_0","VersaDesk Power Pro Corner Push-Button Electric Height-Adjustable Sit-to-Stand D..."
"1631731536-4898","https://www.officedepot.com/a/browse/standing-desk-converters/N=5+1205513/?cm_sp=furniture-_-desks_standing_desk_converter_shopbycategory-_-category_desks--501545_main_2_12_0&promo_name=furniture&promo_id=furniture-desks-standing_desk_converter&promo_creative=desks_standing_desk_converter&promo_position=category_desks--501545_main_2_12_0","Lorell® Portable Desk Riser, 19""W, Silver"
"1631731536-4981","https://www.officedepot.com/a/browse/standing-desk-converters/N=5+1205513/?cm_sp=furniture-_-desks_standing_desk_converter_shopbycategory-_-category_desks--501545_main_2_12_0&promo_name=furniture&promo_id=furniture-desks-standing_desk_converter&promo_creative=desks_standing_desk_converter&promo_position=category_desks--501545_main_2_12_0","VariDesk Pro Plus 36 White Manual Standing Desk Converter, 36""W, White4.0 out of 5 stars. 1 review"
"1631731536-4997","https://www.officedepot.com/a/browse/standing-desk-converters/N=5+1205513/?cm_sp=furniture-_-desks_standing_desk_converter_shopbycategory-_-category_desks--501545_main_2_12_0&promo_name=furniture&promo_id=furniture-desks-standing_desk_converter&promo_creative=desks_standing_desk_converter&promo_position=category_desks--501545_main_2_12_0","Kantek Sit-to-Stand Desk Riser, Black0.0 out of 5 stars."
"1631731536-4855","https://www.officedepot.com/a/browse/standing-desk-converters/N=5+1205513/?cm_sp=furniture-_-desks_standing_desk_converter_shopbycategory-_-category_desks--501545_main_2_12_0&promo_name=furniture&promo_id=furniture-desks-standing_desk_converter&promo_creative=desks_standing_desk_converter&promo_position=category_desks--501545_main_2_12_0","FlexiSpot GoRiser ML2 Sit-Stand Converter, Black"
"1631731536-4889","https://www.officedepot.com/a/browse/standing-desk-converters/N=5+1205513/?cm_sp=furniture-_-desks_standing_desk_converter_shopbycategory-_-category_desks--501545_main_2_12_0&promo_name=furniture&promo_id=furniture-desks-standing_desk_converter&promo_creative=desks_standing_desk_converter&promo_position=category_desks--501545_main_2_12_0","VersaDesk Power Pro Sit-To-Stand Height-Adjustable Electric Desk Riser, Cherry"
"1631731536-5088","https://www.officedepot.com/a/browse/standing-desk-converters/N=5+1205513/?cm_sp=furniture-_-desks_standing_desk_converter_shopbycategory-_-category_desks--501545_main_2_12_0&promo_name=furniture&promo_id=furniture-desks-standing_desk_converter&promo_creative=desks_standing_desk_converter&promo_position=category_desks--501545_main_2_12_0","Victor® High Rise™ DCX710 Height-Adjustable Standing Desk Riser, 31"", Gray/Black0.0 out of 5 stars."
"1631731536-4876","https://www.officedepot.com/a/browse/standing-desk-converters/N=5+1205513/?cm_sp=furniture-_-desks_standing_desk_converter_shopbycategory-_-category_desks--501545_main_2_12_0&promo_name=furniture&promo_id=furniture-desks-standing_desk_converter&promo_creative=desks_standing_desk_converter&promo_position=category_desks--501545_main_2_12_0","FlexiSpot AlcoveRiser Sit-To-Stand Desk Converter, 42""W, Black"
