web-scraper-order,web-scraper-start-url,nnn
"1631730182-3391","https://www.officedepot.com/a/browse/student-desks/N=5+1186187/?cm_sp=furniture-_-desks_studentdesks_shopbycategory-_-category_desks--501545_main_2_8_0&promo_name=furniture&promo_id=furniture-desks-studentdesks&promo_creative=desks_studentdesks&promo_position=category_desks--501545_main_2_8_0","Realspace® 28""W Mobile Sit-to-Stand Compact Desk, White5.0 out of 5 stars. 2 reviews"
"1631730182-3600","https://www.officedepot.com/a/browse/student-desks/N=5+1186187/?cm_sp=furniture-_-desks_studentdesks_shopbycategory-_-category_desks--501545_main_2_8_0&promo_name=furniture&promo_id=furniture-desks-studentdesks&promo_creative=desks_studentdesks&promo_position=category_desks--501545_main_2_8_0","Victor High Rise Collection Height-Adjustable Wood Laptop Stand With Storage Cup...5.0 out of 5 stars. 1 review"
"1631730182-3328","https://www.officedepot.com/a/browse/student-desks/N=5+1186187/?cm_sp=furniture-_-desks_studentdesks_shopbycategory-_-category_desks--501545_main_2_8_0&promo_name=furniture&promo_id=furniture-desks-studentdesks&promo_creative=desks_studentdesks&promo_position=category_desks--501545_main_2_8_0","Sauder® Beginnings Computer Desk, Cinnamon Cherry"
"1631730182-3598","https://www.officedepot.com/a/browse/student-desks/N=5+1186187/?cm_sp=furniture-_-desks_studentdesks_shopbycategory-_-category_desks--501545_main_2_8_0&promo_name=furniture&promo_id=furniture-desks-studentdesks&promo_creative=desks_studentdesks&promo_position=category_desks--501545_main_2_8_0","Safco® Zenergy Ball Chair, Red0.0 out of 5 stars."
"1631730182-3564","https://www.officedepot.com/a/browse/student-desks/N=5+1186187/?cm_sp=furniture-_-desks_studentdesks_shopbycategory-_-category_desks--501545_main_2_8_0&promo_name=furniture&promo_id=furniture-desks-studentdesks&promo_creative=desks_studentdesks&promo_position=category_desks--501545_main_2_8_0","Safco® AlphaBetter 2.0 Height-Adjustable Student Sit/Stand Desk With Pendulum Ba...0.0 out of 5 stars."
"1631730182-3562","https://www.officedepot.com/a/browse/student-desks/N=5+1186187/?cm_sp=furniture-_-desks_studentdesks_shopbycategory-_-category_desks--501545_main_2_8_0&promo_name=furniture&promo_id=furniture-desks-studentdesks&promo_creative=desks_studentdesks&promo_position=category_desks--501545_main_2_8_0","Essentials By OFM 2-Drawer Office Desk, Harvest4.5 out of 5 stars. 16 reviews"
"1631730182-3592","https://www.officedepot.com/a/browse/student-desks/N=5+1186187/?cm_sp=furniture-_-desks_studentdesks_shopbycategory-_-category_desks--501545_main_2_8_0&promo_name=furniture&promo_id=furniture-desks-studentdesks&promo_creative=desks_studentdesks&promo_position=category_desks--501545_main_2_8_0","Ameriwood™ Home Parsons Desk With Drawer, Teal0.0 out of 5 stars."
"1631730182-3494","https://www.officedepot.com/a/browse/student-desks/N=5+1186187/?cm_sp=furniture-_-desks_studentdesks_shopbycategory-_-category_desks--501545_main_2_8_0&promo_name=furniture&promo_id=furniture-desks-studentdesks&promo_creative=desks_studentdesks&promo_position=category_desks--501545_main_2_8_0","Monarch Specialties Minimalist Metal Computer Desk, White2.0 out of 5 stars. 1 review"
"1631730182-3403","https://www.officedepot.com/a/browse/student-desks/N=5+1186187/?cm_sp=furniture-_-desks_studentdesks_shopbycategory-_-category_desks--501545_main_2_8_0&promo_name=furniture&promo_id=furniture-desks-studentdesks&promo_creative=desks_studentdesks&promo_position=category_desks--501545_main_2_8_0","Essentials By OFM 2-Drawer Office Desk, Espresso4.5 out of 5 stars. 17 reviews"
"1631730182-3601","https://www.officedepot.com/a/browse/student-desks/N=5+1186187/?cm_sp=furniture-_-desks_studentdesks_shopbycategory-_-category_desks--501545_main_2_8_0&promo_name=furniture&promo_id=furniture-desks-studentdesks&promo_creative=desks_studentdesks&promo_position=category_desks--501545_main_2_8_0","Flash Furniture Contemporary Laminate Computer Desk, Black0.0 out of 5 stars."
