web-scraper-order,web-scraper-start-url,nnn
"1631730716-4042","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Lorell® Fortress Series 42""W Steel Pedestal Return Desk, Right, Black/Walnut0.0 out of 5 stars."
"1631730716-3931","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Realspace® Plank 47""W Writing Desk, Coastal Oak4.3 out of 5 stars. 103 reviews"
"1631730716-4489","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Baxton Studio Kian 2-Drawer Study Desk, Light Brown/Gray0.0 out of 5 stars."
"1631730716-4510","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Allermuir Crate 48""W Desk, Oak/Black0.0 out of 5 stars."
"1631730716-4080","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Ameriwood Home Owen 41""W Computer Desk With Storage, White0.0 out of 5 stars."
"1631730716-4047","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Inval Contemporary Curved Top Desk, Espresso-Wengue2.5 out of 5 stars. 4 reviews"
"1631730716-4529","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","kathy ireland® Home by Bush Furniture Connecticut 48""W Writing Desk with 2 Drawe...0.0 out of 5 stars."
"1631730716-4092","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Baxton Studio Kian 4-Drawer Study Desk, Light Brown/Gray0.0 out of 5 stars."
"1631730716-4208","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Kathy Ireland Home by Bush® Furniture Cottage Grove 48""W Farmhouse Writing Desk ...0.0 out of 5 stars."
"1631730716-4515","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Linon Marley 51""W 3-Drawer Rattan Desk, Natural5.0 out of 5 stars. 2 reviews"
"1631730716-4152","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","kathy ireland® Home by Bush Furniture Ironworks 60""W Writing Desk With 2-Drawer ...0.0 out of 5 stars."
"1631730716-3951","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Ameriwood™ Home Parsons Desk, White4.0 out of 5 stars. 2 reviews"
"1631730716-4485","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Kathy Ireland Home by Bush® Furniture Cottage Grove 48""W Farmhouse Writing Desk,...0.0 out of 5 stars."
"1631730716-4172","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Eurostyle Halle 48""W Writing Desk, Walnut0.0 out of 5 stars."
"1631730716-4146","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Lumisource Avery Mid-Century Modern Desk, Walnut/Black0.0 out of 5 stars."
"1631730716-4132","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Ameriwood Home Owen 41""W Computer Desk With Storage, Black0.0 out of 5 stars."
"1631730716-4581","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","kathy ireland® Home by Bush Furniture Ironworks 60""W Writing Desk with File Cabi...0.0 out of 5 stars."
"1631730716-4013","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Lorell Folding Desk - Weathered Charcoal Laminate Rectangle Top - Black Base x 4...0.0 out of 5 stars."
"1631730716-4643","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Lumisource Pia Industrial Desk, Vintage Cream/Espresso0.0 out of 5 stars."
"1631730716-4438","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Bush Furniture Key West 48""W Writing Desk, Shiplap Gray/Pure White, Standard Del...0.0 out of 5 stars."
"1631730716-4378","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","LumiSource Harvey 48""W Desk, Walnut/Black0.0 out of 5 stars."
"1631730716-4299","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Lorell® Fortress Series 42""W Steel Pedestal Return Desk, Left, Putty/Oak0.0 out of 5 stars."
"1631730716-4679","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Lorell® Fortress 48""W Right-Pedestal Teacher's Desk, Black Maple0.0 out of 5 stars."
"1631730716-4692","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Bush Furniture Key West 48""W Writing Desk With 2 Drawer Mobile File Cabinet And ...0.0 out of 5 stars."
"1631730716-4531","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Ameriwood Home Tyler 48""W Kids Craft Desk, White0.0 out of 5 stars."
"1631730716-4334","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Boahaus Modern Computer Writing Desk With Bookcase, White0.0 out of 5 stars."
"1631730716-3901","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Realspace® DeJori 51""W Writing Desk, Charcoal3.5 out of 5 stars. 77 reviews"
"1631730716-4151","https://www.officedepot.com/a/browse/writing-desks/N=5+579917/?cm_sp=furniture-_-desks_writing_desks_shopbycategory-_-category_desks--501545_main_2_10_0&promo_name=furniture&promo_id=furniture-desks-writing_desks&promo_creative=desks_writing_desks&promo_position=category_desks--501545_main_2_10_0","Allermuir Crate 65""W Tall Right-Hand L-Shaped Desk, Walnut/Black0.0 out of 5 stars."
