web-scraper-order,web-scraper-start-url,nnn
1631905668-2818,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,Nearly Natural 5-1/2'H Real-Touch Polyethylene Cornstalk Dracaena Plant With Pla...5.0 out of 5 stars. 1 review
1631905668-2760,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural 22""H Polyester Morning Glory And Cherry Blossoms With Metal Plant..."
1631905668-2749,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural 23""H Peperomia Plant With Pot, Green/Black"
1631905668-2913,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural Faux Limes, 2"" x 3"", Green, Set Of 12 Limes"
1631905668-2721,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural 12-1/2""H Puff Ivy With Ledge Basket, Green/Brown"
1631905668-2718,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural 5-1/2'H Polyethylene Cornstalk Dracaena Plant With Clay Planter, ..."
1631905668-2704,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural 29""H Double Giant Boston Fern Hanging Basket, Green/Brown"
1631905668-2711,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural 22""H Artificial Triple Phalaenopsis Orchid With Glass Vase, White..."
1631905668-2801,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural 4-1/2'H Artificial Dracaena Tree With Planter, Green/White"
1631905668-2866,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural 4'H Silk Ficus Tree With Plastic Pot, Green/Black4.0 out of 5 stars. 1 review"
1631905668-2819,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,Nearly Natural 4-1/2' Polyester Artificial Bamboo Tree in Tower Planter0.0 out of 5 stars.
1631905668-2842,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural 4'H Silk Ficus Tree With Plastic Pot, Green/Black"
1631905668-2861,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Nearly Natural 3'H Philodendron With Hanging Basket, Green/Brown0.0 out of 5 stars."
1631905668-2813,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,"Office Depot® Brand 4-1/2""H Rubber Artificial Mixed Succulent With Stand, 4-1/2""..."
1631905668-2790,https://www.officedepot.com/a/browse/artificial-plants/N=5+1257007/,Nearly Natural 4 1/2'H Silk Fishtail Palm Tree With Pot
